symbol,action_id,action_type,announcement_date,record_date,ex_date,tradable_date,accounting_effective_date,accounting_semantics,share_credit_date,cash_payment_date,share_ratio,cash_ratio,ratio_source,source_url,source_grade,raw_hash,retrieved_at,historical_announcement_available_at,available_at,status,alpha_use
600622.SH,cninfo:distribution:a3d32aea2ea016f223b387118049f654,cash_and_share_distribution,2017-06-23,2017-06-29,2017-06-30,2017-07-03,2017-06-30,Economic pending entitlement on evidenced ex-date; not an assertion of broker credit timestamp,,2017-06-30,0.30000000000000004,0.21000000000000002,registered official p_sysapi1139; primary purpose of backfill is explicit listing/payment date,https://static.cninfo.com.cn/finalpage/2017-06-23/1203641936.PDF,OFFICIAL_EX_POST_EXECUTION_FACT,3c1723540f8eb4d177b646da089142c11a58f082c0f4f16257c850b504ded246,2026-09-07T14:40:08.236516+00:00,2017-06-24 00:00:00,2026-09-07T14:40:08.236516+00:00,OFFICIAL_EXECUTION_DATES_VERIFIED_ACCOUNT_INTEGRATION_PENDING,PROHIBITED
603429.SH,cninfo:distribution:ec76f0788017d714050f77984da1cb8b,share_distribution,2017-09-14,2017-09-19,2017-09-20,2017-09-21,2017-09-20,Economic pending entitlement on evidenced ex-date; not an assertion of broker credit timestamp,,,1.0,0.0,registered official p_sysapi1139; primary purpose of backfill is explicit listing/payment date,https://static.cninfo.com.cn/finalpage/2017-09-14/1203972392.PDF,OFFICIAL_EX_POST_EXECUTION_FACT,ba9bf81fd45c3c83841d7d9eb7363b22f634e26496a06cdd47caa30d847b91e2,2026-09-07T14:41:40.648472+00:00,2017-09-15 00:00:00,2026-09-07T14:41:40.648472+00:00,OFFICIAL_EXECUTION_DATES_VERIFIED_ACCOUNT_INTEGRATION_PENDING,PROHIBITED
603429.SH,cninfo:distribution:40f91c334bbdaa29a4c30b7897085ba9,cash_and_share_distribution,2018-05-30,2018-06-04,2018-06-05,2018-06-06,2018-06-05,Economic pending entitlement on evidenced ex-date; not an assertion of broker credit timestamp,,2018-06-05,0.3999999999999999,0.2,registered official p_sysapi1139; primary purpose of backfill is explicit listing/payment date,https://static.cninfo.com.cn/finalpage/2018-05-30/1205013672.PDF,OFFICIAL_EX_POST_EXECUTION_FACT,c64de1bf98355dfdc47c11032902a557571a707410f856e9941469633d6aa110,2026-09-07T14:41:45.833470+00:00,2018-05-31 00:00:00,2026-09-07T14:41:45.833470+00:00,OFFICIAL_EXECUTION_DATES_VERIFIED_ACCOUNT_INTEGRATION_PENDING,PROHIBITED
600622.SH,cninfo:distribution:8b4cdc0792aace4f6d4ab097969837c5,cash_and_share_distribution,2018-06-08,2018-06-14,2018-06-15,2018-06-19,2018-06-15,Economic pending entitlement on evidenced ex-date; not an assertion of broker credit timestamp,,2018-06-15,0.30000000000000004,0.21000000000000002,registered official p_sysapi1139; primary purpose of backfill is explicit listing/payment date,https://static.cninfo.com.cn/finalpage/2018-06-08/1205044423.PDF,OFFICIAL_EX_POST_EXECUTION_FACT,f19011a3aabce6c252b0844f44fd61854481144673d2a906e1d39b5a4703c81b,2026-09-07T14:41:47.450793+00:00,2018-06-09 00:00:00,2026-09-07T14:41:47.450793+00:00,OFFICIAL_EXECUTION_DATES_VERIFIED_ACCOUNT_INTEGRATION_PENDING,PROHIBITED
603429.SH,cninfo:distribution:7a4cfc10e855cae000d251154b06a34b,cash_and_share_distribution,2019-04-11,2019-04-16,2019-04-17,2019-04-18,2019-04-17,Economic pending entitlement on evidenced ex-date; not an assertion of broker credit timestamp,,2019-04-17,0.30000000000000004,0.2,registered official p_sysapi1139; primary purpose of backfill is explicit listing/payment date,https://static.cninfo.com.cn/finalpage/2019-04-11/1206006321.PDF,OFFICIAL_EX_POST_EXECUTION_FACT,8490f730fe873d1c2e9f4dd56bb67486afbdf1dce979c5cc397b869c766792ae,2026-09-07T14:41:48.990378+00:00,2019-04-12 00:00:00,2026-09-07T14:41:48.990378+00:00,OFFICIAL_EXECUTION_DATES_VERIFIED_ACCOUNT_INTEGRATION_PENDING,PROHIBITED
600622.SH,cninfo:distribution:c0701173a6857e86792a7346ba6377af,cash_and_share_distribution,2019-06-11,2019-06-17,2019-06-18,2019-06-19,2019-06-18,Economic pending entitlement on evidenced ex-date; not an assertion of broker credit timestamp,,2019-06-18,0.30000000000000004,0.16,registered official p_sysapi1139; primary purpose of backfill is explicit listing/payment date,https://static.cninfo.com.cn/finalpage/2019-06-11/1206345008.PDF,OFFICIAL_EX_POST_EXECUTION_FACT,e863233eb18d21338f13e7aa96355a919aab28dc924208a2daa268779be389c6,2026-09-07T14:41:50.617992+00:00,2019-06-12 00:00:00,2026-09-07T14:41:50.617992+00:00,OFFICIAL_EXECUTION_DATES_VERIFIED_ACCOUNT_INTEGRATION_PENDING,PROHIBITED
600195.SH,cninfo:distribution:3f7b79cb73437359dd197d43fa3f852e,cash_and_share_distribution,2019-07-09,2019-07-15,2019-07-16,2019-07-17,2019-07-16,Economic pending entitlement on evidenced ex-date; not an assertion of broker credit timestamp,,2019-07-16,0.3999999999999999,0.242,registered official p_sysapi1139; primary purpose of backfill is explicit listing/payment date,https://static.cninfo.com.cn/finalpage/2019-07-09/1206431922.PDF,OFFICIAL_EX_POST_EXECUTION_FACT,76fb13da00a6db25e8c8fe33b2900770be921057f9d5390b791f5234bd4cbcd8,2026-09-07T14:41:52.350271+00:00,2019-07-10 00:00:00,2026-09-07T14:41:52.350271+00:00,OFFICIAL_EXECUTION_DATES_VERIFIED_ACCOUNT_INTEGRATION_PENDING,PROHIBITED
603429.SH,cninfo:distribution:53e529c64a66a02b65c2a52ab6610be6,cash_and_share_distribution,2020-05-26,2020-06-01,2020-06-02,2020-06-03,2020-06-02,Economic pending entitlement on evidenced ex-date; not an assertion of broker credit timestamp,,2020-06-02,0.3999999999999999,0.26,registered official p_sysapi1139; primary purpose of backfill is explicit listing/payment date,https://static.cninfo.com.cn/finalpage/2020-05-26/1207857486.PDF,OFFICIAL_EX_POST_EXECUTION_FACT,0860fbcf2bd945b46f2f3c78628e634ffad4a670a7416a3b44a8f7686174b676,2026-09-07T14:41:53.971943+00:00,2020-05-27 00:00:00,2026-09-07T14:41:53.971943+00:00,OFFICIAL_EXECUTION_DATES_VERIFIED_ACCOUNT_INTEGRATION_PENDING,PROHIBITED
600570.SH,cninfo:distribution:f8cc798402623c99d57b7576ec0d34b9,cash_and_share_distribution,2020-05-29,2020-06-04,2020-06-05,2020-06-08,2020-06-05,Economic pending entitlement on evidenced ex-date; not an assertion of broker credit timestamp,,2020-06-05,0.30000000000000004,0.53,registered official p_sysapi1139; primary purpose of backfill is explicit listing/payment date,https://static.cninfo.com.cn/finalpage/2020-05-29/1207872496.PDF,OFFICIAL_EX_POST_EXECUTION_FACT,c6e0392568a7b3243fbdc3bba59d631fa1a1dcd8b54cbae22866d078075f5067,2026-09-07T14:41:55.694496+00:00,2020-05-30 00:00:00,2026-09-07T14:41:55.694496+00:00,OFFICIAL_EXECUTION_DATES_VERIFIED_ACCOUNT_INTEGRATION_PENDING,PROHIBITED
603368.SH,cninfo:distribution:0d715e740cf32b9921fa6b9ba9c13b31,cash_and_share_distribution,2020-06-18,2020-06-23,2020-06-24,2020-06-29,2020-06-24,Economic pending entitlement on evidenced ex-date; not an assertion of broker credit timestamp,,2020-06-24,0.3999999999999999,0.6799999999999999,registered official p_sysapi1139; primary purpose of backfill is explicit listing/payment date,https://static.cninfo.com.cn/finalpage/2020-06-18/1207935650.PDF,OFFICIAL_EX_POST_EXECUTION_FACT,0e383c257aae871915873c875f0bcdd5afb09a07cdfd85b8eea062f63602620c,2026-09-07T14:41:57.412736+00:00,2020-06-19 00:00:00,2026-09-07T14:41:57.412736+00:00,OFFICIAL_EXECUTION_DATES_VERIFIED_ACCOUNT_INTEGRATION_PENDING,PROHIBITED
603138.SH,cninfo:distribution:cd340d02dc10873a91bcb4f5aa8149c7,cash_and_share_distribution,2020-06-20,2020-06-29,2020-06-30,2020-07-01,2020-06-30,Economic pending entitlement on evidenced ex-date; not an assertion of broker credit timestamp,,2020-06-30,0.19999999999999996,0.04,registered official p_sysapi1139; primary purpose of backfill is explicit listing/payment date,https://static.cninfo.com.cn/finalpage/2020-06-20/1207944343.PDF,OFFICIAL_EX_POST_EXECUTION_FACT,5969ce241843e8ee1e4a47feaf04ca82fa984288cf511ce767e0c89fdd515787,2026-09-07T14:41:59.003255+00:00,2020-06-21 00:00:00,2026-09-07T14:41:59.003255+00:00,OFFICIAL_EXECUTION_DATES_VERIFIED_ACCOUNT_INTEGRATION_PENDING,PROHIBITED
