strategy,scope,max_abs_cash_nav_exposure_diff,prefix_status,status,final_nav
OGR,NATIVE_CONTINUOUS_2018_2023,3.4924596548080444e-09,PASS_ACCOUNT_PREFIX,PASS,1128256.951844012
IFCGR,NATIVE_CONTINUOUS_2018_2023,3.6088749766349792e-09,PASS_ACCOUNT_PREFIX,PASS,1123173.430234658
