gap,period,mcb_mode,policy,classification,opportunity_count,units
OGR,2018_2021,independent,P0,DAILY_CAP,889,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,independent,P0,MAX_K,490,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,independent,P0,SEGMENTATION_IDLE,419,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,independent,P0,STRUCTURAL_IDLE,961,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2018_2021,independent,P1,DAILY_CAP,889,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,independent,P1,MAX_K,741,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,independent,P1,STRUCTURAL_IDLE,973,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2018_2021,independent,P2,DAILY_CAP,889,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,independent,P2,MAX_K,715,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,independent,P2,FAMILY_CAP_BLOCK,28,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,independent,P2,STRUCTURAL_IDLE,971,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2018_2021,independent,P3_D4,DAILY_CAP,889,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,independent,P3_D4,MAX_K,715,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,independent,P3_D4,FAMILY_CAP_BLOCK,28,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,independent,P3_D4,STRUCTURAL_IDLE,971,TRADING_DAYS_WITH_NO_REJECTED_VALID_REQUEST; cash is not assumed shareable
OGR,2018_2021,independent,P3_D5,DAILY_CAP,889,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,independent,P3_D5,MAX_K,715,NATIVE_REQUEST_CHECKPOINTS
OGR,2018_2021,independent,P3_D5,FAMILY_CAP_BLOCK,28,NATIVE_REQUEST_CHECKPOINTS
