gap,period,mcb_mode,policy,initial_nav,final_nav,total_return,CAGR,annual_return,Sharpe,gross_pnl,fees,net_pnl,MaxDD,drawdown_start,drawdown_trough,drawdown_recovery,longest_drawdown_days,worst_portfolio_day,CVaR5,worst_21_day,worst_63_day,worst_month,worst_quarter,average_gross_exposure,median_exposure,p90_exposure,p95_exposure,max_exposure,average_cash,average_cash_ratio,capital_days,pre_capital_intent_count,funded_trade_count,funded_opportunity_rate,shared_funded_trade_count,shared_funded_opportunity_rate,shared_funded_pnl,all_shared_funding_count,base_entitlement_shortfall_count,base_entitlement_shortfall_amount,max_strategy_exposure,max_family_exposure,max_security_exposure,max_simultaneously_active_strategies,max_simultaneously_losing_strategies,demand_share,gap_share,smv6_share,CAGR_per_average_exposure,net_pnl_per_capital_day,structural_idle_days,structural_idle_cash_daily_diagnostic,segmentation_idle_count,global_demand_conflict_count,family_cap_block_count,drawdown_gate_block_count,raw_native_intent_count,confirmation_tag_count,observed_checkpoint_MaxDD,max_demand_exposure,MCB_net_pnl,CAGR_delta,MaxDD_delta,CVaR5_delta,average_gross_exposure_delta,capital_days_delta,funded_trade_count_delta,funded_opportunity_rate_delta,net_pnl_delta,observed_checkpoint_MaxDD_delta,shared_funded_pnl_comparison,shared_funded_trade_count_comparison,incremental_pnl_per_added_capital_day,maxdd_admissible,checkpoint_risk_budget_status,risk_status,exposure_only_cagr_benchmark,cagr_above_exposure_only_benchmark,segmentation_idle_removed_count,segmentation_idle_removed_notional,previously_rejected_requests_no_longer_in_actual_state,D,MDD_gate_overshoot
OGR,2018_2021,independent,P2,4904782.129191859,6883744.011260118,0.403476001572026,0.0884318650033297,"{""2018"": 0.07374365116731219, ""2019"": 0.09232813823602792, ""2020"": 0.10208784726111708, ""2021"": 0.08576302352556242}",1.6162008012225275,2173636.9613426416,194675.079274382,1978961.8820682596,0.0423983888631672,2020-07-13,2020-07-16,2021-05-31,321,-0.0254333929124441,-0.0080713309175472,-0.0279039540747168,-0.0281989857574394,-0.0171443857759041,-0.0175806941185114,0.1377856887725908,0.0642570406862017,0.3948963292357955,0.5097810905887127,0.7649296646600667,5029909.301119451,0.8622143112274092,1141608643.698478,1761,1733,0.9840999432140829,9,0.005110732538330494,15936.770792089656,10,0,0,0.3515019742934014,0.6110168137986428,0.1070385004001935,4,4,0.1062621113676573,0.0029262519123739,0.0285973254925595,0.6418073298547186,0.0017334853699574,971,5036600.339805817,0,0,28,0,1761.0,0.0,0.04303874009778119,0.6110168137986428,507180.14656144916,-1.0035054749599204e-05,0.0005308833088448969,-4.2071675479799994e-05,0.0005477057664325935,5183390.638058901,8,0.17952904769169487,-253.8687283778563,0.0005039848065687691,15936.770792089656,9,-4.897734824649955e-05,True,ADMISSIBLE,ADMISSIBLE,0.08879486457704845,-0.0003629995737187558,9,304771.5184045469,382,,
OGR,2018_2021,independent,P3_D4,4904782.129191859,6883744.011260118,0.403476001572026,0.0884318650033297,"{""2018"": 0.07374365116731219, ""2019"": 0.09232813823602792, ""2020"": 0.10208784726111708, ""2021"": 0.08576302352556242}",1.6162008012225275,2173636.9613426416,194675.079274382,1978961.8820682596,0.0423983888631672,2020-07-13,2020-07-16,2021-05-31,321,-0.0254333929124441,-0.0080713309175472,-0.0279039540747168,-0.0281989857574394,-0.0171443857759041,-0.0175806941185114,0.1377856887725908,0.0642570406862017,0.3948963292357955,0.5097810905887127,0.7649296646600667,5029909.301119451,0.8622143112274092,1141608643.698478,1761,1733,0.9840999432140829,9,0.005110732538330494,15936.770792089656,10,0,0,0.3515019742934014,0.6110168137986428,0.1070385004001935,4,4,0.1062621113676573,0.0029262519123739,0.0285973254925595,0.6418073298547186,0.0017334853699574,971,5036600.339805817,0,0,28,0,1761.0,0.0,0.04303874009778119,0.6110168137986428,507180.14656144916,-1.0035054749599204e-05,0.0005308833088448969,-4.2071675479799994e-05,0.0005477057664325935,5183390.638058901,8,0.17952904769169487,-253.8687283778563,0.0005039848065687691,15936.770792089656,9,-4.897734824649955e-05,True,ADMISSIBLE,ADMISSIBLE,0.08879486457704845,-0.0003629995737187558,9,304771.5184045469,382,0.04,0.0023983888631671987
OGR,2018_2021,independent,P3_D5,4904782.129191859,6883744.011260118,0.403476001572026,0.0884318650033297,"{""2018"": 0.07374365116731219, ""2019"": 0.09232813823602792, ""2020"": 0.10208784726111708, ""2021"": 0.08576302352556242}",1.6162008012225275,2173636.9613426416,194675.079274382,1978961.8820682596,0.0423983888631672,2020-07-13,2020-07-16,2021-05-31,321,-0.0254333929124441,-0.0080713309175472,-0.0279039540747168,-0.0281989857574394,-0.0171443857759041,-0.0175806941185114,0.1377856887725908,0.0642570406862017,0.3948963292357955,0.5097810905887127,0.7649296646600667,5029909.301119451,0.8622143112274092,1141608643.698478,1761,1733,0.9840999432140829,9,0.005110732538330494,15936.770792089656,10,0,0,0.3515019742934014,0.6110168137986428,0.1070385004001935,4,4,0.1062621113676573,0.0029262519123739,0.0285973254925595,0.6418073298547186,0.0017334853699574,971,5036600.339805817,0,0,28,0,1761.0,0.0,0.04303874009778119,0.6110168137986428,507180.14656144916,-1.0035054749599204e-05,0.0005308833088448969,-4.2071675479799994e-05,0.0005477057664325935,5183390.638058901,8,0.17952904769169487,-253.8687283778563,0.0005039848065687691,15936.770792089656,9,-4.897734824649955e-05,True,ADMISSIBLE,ADMISSIBLE,0.08879486457704845,-0.0003629995737187558,9,304771.5184045469,382,0.05,0.0
OGR,2018_2021,independent,P3_D6,4904782.129191859,6883744.011260118,0.403476001572026,0.0884318650033297,"{""2018"": 0.07374365116731219, ""2019"": 0.09232813823602792, ""2020"": 0.10208784726111708, ""2021"": 0.08576302352556242}",1.6162008012225275,2173636.9613426416,194675.079274382,1978961.8820682596,0.0423983888631672,2020-07-13,2020-07-16,2021-05-31,321,-0.0254333929124441,-0.0080713309175472,-0.0279039540747168,-0.0281989857574394,-0.0171443857759041,-0.0175806941185114,0.1377856887725908,0.0642570406862017,0.3948963292357955,0.5097810905887127,0.7649296646600667,5029909.301119451,0.8622143112274092,1141608643.698478,1761,1733,0.9840999432140829,9,0.005110732538330494,15936.770792089656,10,0,0,0.3515019742934014,0.6110168137986428,0.1070385004001935,4,4,0.1062621113676573,0.0029262519123739,0.0285973254925595,0.6418073298547186,0.0017334853699574,971,5036600.339805817,0,0,28,0,1761.0,0.0,0.04303874009778119,0.6110168137986428,507180.14656144916,-1.0035054749599204e-05,0.0005308833088448969,-4.2071675479799994e-05,0.0005477057664325935,5183390.638058901,8,0.17952904769169487,-253.8687283778563,0.0005039848065687691,15936.770792089656,9,-4.897734824649955e-05,True,ADMISSIBLE,ADMISSIBLE,0.08879486457704845,-0.0003629995737187558,9,304771.5184045469,382,0.06,0.0
OGR,2018_2021,confirmation_tag,P2,4904782.129191859,6496493.739135216,0.3245223881546024,0.0727902699478768,"{""2018"": 0.07540224418584174, ""2019"": 0.06932015746174658, ""2020"": 0.07406584633990443, ""2021"": 0.07238246612858323}",1.485131220590595,1755467.320252624,163755.7103092668,1591711.6099433573,0.0426042401872664,2020-07-13,2020-07-16,2021-05-31,321,-0.0258113121465337,-0.0074243866404835,-0.029412154864907,-0.0307938329533247,-0.0203771615105931,-0.0153654842172566,0.1246058450423367,0.056532615545903,0.3447278925138318,0.4262598976078036,0.7136822225964985,4975459.82199532,0.8753941549576633,1003394767.1318164,1454,1454,1.0,8,0.005502063273727648,10812.733863537189,10,0,0,0.3659160164518932,0.5494771173607258,0.1069989791581417,4,4,0.092085804138893,0.0029430052425434,0.0295770356609002,0.5841641692100819,0.0015863264012161,973,4975459.82199532,0,0,0,0,1937.0,483.0,0.04305607230936093,0.5494771173607258,123638.62642647442,-0.0004183213247758999,0.0005516587578404952,-0.0001646756512618001,0.0020589072197886027,19475075.033964038,28,0.1799884991374353,-10138.838546329178,0.0005234943201328779,10812.733863537189,8,-0.0005206058784701625,True,ADMISSIBLE,ADMISSIBLE,0.07443856649520847,-0.0016482965473316735,8,282292.7695273705,305,,
OGR,2018_2021,confirmation_tag,P3_D4,4904782.129191859,6496493.739135216,0.3245223881546024,0.0727902699478768,"{""2018"": 0.07540224418584174, ""2019"": 0.06932015746174658, ""2020"": 0.07406584633990443, ""2021"": 0.07238246612858323}",1.485131220590595,1755467.320252624,163755.7103092668,1591711.6099433573,0.0426042401872664,2020-07-13,2020-07-16,2021-05-31,321,-0.0258113121465337,-0.0074243866404835,-0.029412154864907,-0.0307938329533247,-0.0203771615105931,-0.0153654842172566,0.1246058450423367,0.056532615545903,0.3447278925138318,0.4262598976078036,0.7136822225964985,4975459.82199532,0.8753941549576633,1003394767.1318164,1454,1454,1.0,8,0.005502063273727648,10812.733863537189,10,0,0,0.3659160164518932,0.5494771173607258,0.1069989791581417,4,4,0.092085804138893,0.0029430052425434,0.0295770356609002,0.5841641692100819,0.0015863264012161,973,4975459.82199532,0,0,0,0,1937.0,483.0,0.04305607230936093,0.5494771173607258,123638.62642647442,-0.0004183213247758999,0.0005516587578404952,-0.0001646756512618001,0.0020589072197886027,19475075.033964038,28,0.1799884991374353,-10138.838546329178,0.0005234943201328779,10812.733863537189,8,-0.0005206058784701625,True,ADMISSIBLE,ADMISSIBLE,0.07443856649520847,-0.0016482965473316735,8,282292.7695273705,305,0.04,0.0026042401872663976
OGR,2018_2021,confirmation_tag,P3_D5,4904782.129191859,6496493.739135216,0.3245223881546024,0.0727902699478768,"{""2018"": 0.07540224418584174, ""2019"": 0.06932015746174658, ""2020"": 0.07406584633990443, ""2021"": 0.07238246612858323}",1.485131220590595,1755467.320252624,163755.7103092668,1591711.6099433573,0.0426042401872664,2020-07-13,2020-07-16,2021-05-31,321,-0.0258113121465337,-0.0074243866404835,-0.029412154864907,-0.0307938329533247,-0.0203771615105931,-0.0153654842172566,0.1246058450423367,0.056532615545903,0.3447278925138318,0.4262598976078036,0.7136822225964985,4975459.82199532,0.8753941549576633,1003394767.1318164,1454,1454,1.0,8,0.005502063273727648,10812.733863537189,10,0,0,0.3659160164518932,0.5494771173607258,0.1069989791581417,4,4,0.092085804138893,0.0029430052425434,0.0295770356609002,0.5841641692100819,0.0015863264012161,973,4975459.82199532,0,0,0,0,1937.0,483.0,0.04305607230936093,0.5494771173607258,123638.62642647442,-0.0004183213247758999,0.0005516587578404952,-0.0001646756512618001,0.0020589072197886027,19475075.033964038,28,0.1799884991374353,-10138.838546329178,0.0005234943201328779,10812.733863537189,8,-0.0005206058784701625,True,ADMISSIBLE,ADMISSIBLE,0.07443856649520847,-0.0016482965473316735,8,282292.7695273705,305,0.05,0.0
OGR,2018_2021,confirmation_tag,P3_D6,4904782.129191859,6496493.739135216,0.3245223881546024,0.0727902699478768,"{""2018"": 0.07540224418584174, ""2019"": 0.06932015746174658, ""2020"": 0.07406584633990443, ""2021"": 0.07238246612858323}",1.485131220590595,1755467.320252624,163755.7103092668,1591711.6099433573,0.0426042401872664,2020-07-13,2020-07-16,2021-05-31,321,-0.0258113121465337,-0.0074243866404835,-0.029412154864907,-0.0307938329533247,-0.0203771615105931,-0.0153654842172566,0.1246058450423367,0.056532615545903,0.3447278925138318,0.4262598976078036,0.7136822225964985,4975459.82199532,0.8753941549576633,1003394767.1318164,1454,1454,1.0,8,0.005502063273727648,10812.733863537189,10,0,0,0.3659160164518932,0.5494771173607258,0.1069989791581417,4,4,0.092085804138893,0.0029430052425434,0.0295770356609002,0.5841641692100819,0.0015863264012161,973,4975459.82199532,0,0,0,0,1937.0,483.0,0.04305607230936093,0.5494771173607258,123638.62642647442,-0.0004183213247758999,0.0005516587578404952,-0.0001646756512618001,0.0020589072197886027,19475075.033964038,28,0.1799884991374353,-10138.838546329178,0.0005234943201328779,10812.733863537189,8,-0.0005206058784701625,True,ADMISSIBLE,ADMISSIBLE,0.07443856649520847,-0.0016482965473316735,8,282292.7695273705,305,0.06,0.0
OGR,2022_2023,independent,P2,6623741.901902112,7302259.201895428,0.1024371586396608,0.0500051430223364,"{""2022"": 0.046749435192199984, ""2023"": 0.053200624309137634}",1.2325145305423333,799228.0807769747,120710.78078365892,678517.2999933157,0.0304597890593527,2022-01-19,2022-03-15,2022-05-20,144,-0.0162598953548015,-0.0069289797924304,-0.0183557549492559,-0.0207999519947314,-0.0108371725907091,-0.0121322028655936,0.1409438032739853,0.0644509049705678,0.3989110025177605,0.5805782021472246,0.7932417809269764,6021840.2008993365,0.8590561967260146,706312918.4102321,779,725,0.9306803594351734,2,0.0025673940949935813,7283.171131705778,4,0,0,0.4199740099922752,0.6847005506264494,0.0780520900387124,4,4,0.1204292465692227,0.0011083315393603,0.0194062251654022,0.3547878080537521,0.0009606468780445,481,6049970.307607447,0,0,54,0,779.0,0.0,0.030651176370507516,0.6847005506264494,134759.5375300201,0.0005478159826136988,0.0,-4.837791790199969e-06,0.00027548374962141353,1631128.3787145615,2,0.14905873781355172,7612.371968258172,0.0,7283.171131705778,2,0.004666936133045047,True,ADMISSIBLE,ADMISSIBLE,0.04955418388670306,0.00045095913563333867,2,75814.94608185097,146,,
OGR,2022_2023,independent,P3_D4,6623741.901902112,7302259.201895428,0.1024371586396608,0.0500051430223364,"{""2022"": 0.046749435192199984, ""2023"": 0.053200624309137634}",1.2325145305423333,799228.0807769747,120710.78078365892,678517.2999933157,0.0304597890593527,2022-01-19,2022-03-15,2022-05-20,144,-0.0162598953548015,-0.0069289797924304,-0.0183557549492559,-0.0207999519947314,-0.0108371725907091,-0.0121322028655936,0.1409438032739853,0.0644509049705678,0.3989110025177605,0.5805782021472246,0.7932417809269764,6021840.2008993365,0.8590561967260146,706312918.4102321,779,725,0.9306803594351734,2,0.0025673940949935813,7283.171131705778,4,0,0,0.4199740099922752,0.6847005506264494,0.0780520900387124,4,4,0.1204292465692227,0.0011083315393603,0.0194062251654022,0.3547878080537521,0.0009606468780445,481,6049970.307607447,0,0,54,0,779.0,0.0,0.030651176370507516,0.6847005506264494,134759.5375300201,0.0005478159826136988,0.0,-4.837791790199969e-06,0.00027548374962141353,1631128.3787145615,2,0.14905873781355172,7612.371968258172,0.0,7283.171131705778,2,0.004666936133045047,True,ADMISSIBLE,ADMISSIBLE,0.04955418388670306,0.00045095913563333867,2,75814.94608185097,146,0.04,0.0
