strategy,route,family,event_id,parent_event_id,symbol,decision_at,earliest_execution_at,native_priority,native_requested_quantity,price,fee_rate,lot_size,side,reason,state_requirements,economic_event_definition,board,native_base_cash_limit,native_requested_notional
ATRDR,BULL,DEMAND,V29|BULL|V29B|20180103|300470.SZ,V29B|20180103|300470.SZ,300470.SZ,2018-01-03 15:00:00,2018-01-04 09:30:00,[0],10050.62107372955,1.6549623893800365,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,CHINEXT,500000.0,16666.666666666668
ATRDR,BULL,DEMAND,V29|BULL|V29B|20180103|300251.SZ,V29B|20180103|300251.SZ,300251.SZ,2018-01-03 15:00:00,2018-01-04 09:30:00,[1],4690.124678671681,3.546472856590168,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,CHINEXT,483333.3333333335,16666.666666666668
ATRDR,BULL,DEMAND,V29|BULL|V29B|20180103|600066.SH,V29B|20180103|600066.SH,600066.SH,2018-01-03 15:00:00,2018-01-04 09:30:00,[0],4836.040414367396,3.4394666797069404,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,500000.0,16666.666666666668
ATRDR,BULL,DEMAND,V29|BULL|V29B|20180103|603566.SH,V29B|20180103|603566.SH,603566.SH,2018-01-03 15:00:00,2018-01-04 09:30:00,[1],8162.154821590392,2.0378687038543326,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,483333.3333333335,16666.666666666668
ATRDR,BULL,DEMAND,V29|BULL|V29B|20180103|603885.SH,V29B|20180103|603885.SH,603885.SH,2018-01-03 15:00:00,2018-01-04 09:30:00,[2],5879.5515395458515,2.8290252674981398,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,466666.666666667,16666.666666666668
ATRDR,BULL,DEMAND,V29|BULL|V29B|20180104|600639.SH,V29B|20180104|600639.SH,600639.SH,2018-01-04 15:00:00,2018-01-05 09:30:00,[0],8027.647549381893,2.0707949994076036,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,450000.00000000047,16656.859627071262
ATRDR,BULL,DEMAND,V29|BULL|V29B|20180104|601117.SH,V29B|20180104|601117.SH,601117.SH,2018-01-04 15:00:00,2018-01-05 09:30:00,[1],17524.89381891182,0.9485713622029206,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,433343.14037292916,16656.859627071262
ATRDR,BULL,DEMAND,V29|BULL|V29B|20180104|600597.SH,V29B|20180104|600597.SH,600597.SH,2018-01-04 15:00:00,2018-01-05 09:30:00,[2],9815.608425866356,1.6935896055571793,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,416686.28074585786,16656.859627071262
ATRDR,BULL,DEMAND,V29|BULL|V29B|20180104|002262.SZ,V29B|20180104|002262.SZ,002262.SZ,2018-01-04 15:00:00,2018-01-05 09:30:00,[3],6877.4451384193735,2.4171203212370944,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,400029.42111878656,16656.859627071262
ATRDR,BULL,DEMAND,V29|BULL|V29B|20180104|002088.SZ,V29B|20180104|002088.SZ,002088.SZ,2018-01-04 15:00:00,2018-01-05 09:30:00,[4],6760.267297472159,2.459017028584466,0.002,0,BUY,NATIVE_ELIGIBLE,NATIVE_ADAPTER_ACTUAL_FUNDED_STATE,,MAIN,383372.56149171526,16656.859627071262
