strategy,period,checkpoints,min_cash,max_abs_quantity_diff,max_abs_equity_diff,status,common_account
ATRDR,2018_2021,1699,3020205.491337672,0.0,8.381903171539307e-09,PASS_THROUGH_LAST_VALID_CHECKPOINT,False
ATRDR,2022_2023,1868,3014387.442728205,0.0,1.30385160446167e-08,PASS_THROUGH_LAST_VALID_CHECKPOINT,False
MCB,2018_2021,1643,3012585.877580155,0.0,6.51925802230835e-09,PASS_THROUGH_LAST_VALID_CHECKPOINT,False
MCB,2022_2023,1243,3030291.1256999983,0.0,8.381903171539307e-09,PASS_THROUGH_LAST_VALID_CHECKPOINT,False
OGR,2018_2021,1746,3234258.8903316734,0.0,3.725290298461914e-09,PASS_THROUGH_LAST_VALID_CHECKPOINT,False
OGR,2022_2023,619,3862658.6040129885,0.0,2.7939677238464355e-09,PASS_THROUGH_LAST_VALID_CHECKPOINT,False
IFCGR,2018_2021,1725,3234240.770241795,0.0,4.190951585769653e-09,PASS_THROUGH_LAST_VALID_CHECKPOINT,False
IFCGR,2022_2023,619,3862658.6040129885,0.0,2.7939677238464355e-09,PASS_THROUGH_LAST_VALID_CHECKPOINT,False
SMV6,2018_2021,1287,3000073.063237857,0.0,2.7939677238464355e-09,PASS_THROUGH_LAST_VALID_CHECKPOINT,False
SMV6,2022_2023,610,3114453.9040531507,0.0,3.725290298461914e-09,PASS_THROUGH_LAST_VALID_CHECKPOINT,False
