gap,period,mcb_mode,policy,status,daily_rows,fills,scope
OGR,2018_2021,independent,P0,PASS,973,3544,Full daily physical/sleeve state and native fills unchanged after surgical cleanup
OGR,2022_2023,confirmation_tag,P2,PASS,484,1224,Full daily physical/sleeve state and native fills unchanged after surgical cleanup
