source,sha256,symbol_rows,rows_2017,field_scope
/Users/linmei/Documents/CY/data/staging/CY-036-R1-EXCHANGE-ISSUER-RISK-V29R1-DEV-19901219-20211231-V1/sse_full_history_capture/announcements.parquet,b69af9e0ea707babe6a3ecd2d02c2220e09f4d52502f09025c6df8dec34015c9,0,0,registered title/route metadata; no share tradability field
/Users/linmei/Documents/CY/data/staging/CY-034-EXCHANGE-ISSUER-RISK-V28R1-DEV-20171001-20211231-V1/source_capture/announcements.parquet,65096c160af25b172d6c310804036a4b6dc57031ae45b9b4f9af220f251b9a65,0,0,registered title/route metadata; no share tradability field
/Users/linmei/Documents/CY/data/staging/CY-062-V29R2-ISSUER-FACT-ROLLFORWARD-2022-2026-V1/sse_full_history_capture/announcements.parquet,b82e6a453dfcece08888cc2ca386cad5f0acc3962058a2472f4a0f78df6ae597,0,0,registered title/route metadata; no share tradability field
