strategy,gap,period,max_abs_cash_nav_exposure_diff,status
ATRDR,OGR,2018_2021,1.862645149230957e-09,PASS
MCB,OGR,2018_2021,4.423782229423523e-09,PASS
OGR,OGR,2018_2021,6.28642737865448e-09,PASS
SMV6,OGR,2018_2021,1.3969838619232178e-09,PASS
ATRDR,OGR,2022_2023,8.381903171539307e-09,PASS
MCB,OGR,2022_2023,4.889443516731262e-09,PASS
OGR,OGR,2022_2023,1.862645149230957e-09,PASS
SMV6,OGR,2022_2023,6.984919309616089e-10,PASS
ATRDR,IFCGR,2018_2021,2.1420419216156006e-08,PASS
MCB,IFCGR,2018_2021,5.820766091346741e-09,PASS
IFCGR,IFCGR,2018_2021,3.841705620288849e-09,PASS
SMV6,IFCGR,2018_2021,1.3969838619232178e-09,PASS
ATRDR,IFCGR,2022_2023,8.847564458847046e-09,PASS
MCB,IFCGR,2022_2023,4.889443516731262e-09,PASS
IFCGR,IFCGR,2022_2023,3.725290298461914e-09,PASS
SMV6,IFCGR,2022_2023,6.984919309616089e-10,PASS
