symbol,trade_date,open,close,coordinate_factor,invalid_step_cum,corporate_action_count,corporate_action_valid,corporate_action_blocking,hard_valid,available_at
600622.SH,2017-06-26,21.29,22.04,0.15158457867875563,1.0,0,True,False,True,2017-06-26 15:00:00
600622.SH,2017-06-27,22.21,21.7,0.15158457867875566,1.0,0,True,False,True,2017-06-27 15:00:00
600622.SH,2017-06-28,21.69,20.99,0.15158457867875566,1.0,0,True,False,True,2017-06-28 15:00:00
600622.SH,2017-06-29,21.02,20.82,0.15158457867875566,1.0,0,True,False,True,2017-06-29 15:00:00
600622.SH,2017-06-30,15.85,16.28,0.19385693661496883,2.0,1,False,True,False,2017-06-30 15:00:00
600622.SH,2017-07-03,16.35,16.1,0.19602428124793123,3.0,0,True,False,True,2017-07-03 15:00:00
600195.SH,2019-07-12,15.63,15.74,0.1217880399583173,3.0,0,True,False,True,2019-07-12 15:00:00
600195.SH,2019-07-15,15.35,15.26,0.1217880399583173,3.0,0,True,False,True,2019-07-15 15:00:00
600195.SH,2019-07-16,10.88,10.85,0.1712889852316979,4.0,1,False,True,False,2019-07-16 15:00:00
600195.SH,2019-07-17,10.86,10.47,0.17750577743685977,5.0,0,True,False,True,2019-07-17 15:00:00
600195.SH,2019-07-18,10.52,10.5,0.17750577743685977,5.0,0,True,False,True,2019-07-18 15:00:00
600195.SH,2019-07-19,10.53,11.0,0.1775057774368598,5.0,0,True,False,True,2019-07-19 15:00:00
603368.SH,2020-06-22,33.84,33.72,0.054720561960529386,5.0,0,True,False,True,2020-06-22 15:00:00
603368.SH,2020-06-23,33.75,33.42,0.054720561960529386,5.0,0,True,False,True,2020-06-23 15:00:00
603368.SH,2020-06-24,23.52,23.63,0.07739150151167551,6.0,1,False,True,False,2020-06-24 15:00:00
