strategy,period,eligible_count,intent_count,funded_count,trade_count,initial_cash,initial_positions,final_nav,max_abs_cash_diff,max_abs_position_diff,max_abs_nav_diff,prefix_invariance_status,status,scope
OGR,2018_2021,370,255,255,255,1000000.0,{},1110169.4677651073,3.4924596548080444e-09,1.9554136088117957e-11,3.4924596548080444e-09,PENDING_FULL_PARENT_PREFIX_REGENERATION,PASS,NATIVE_FIXED_GAP_STANDALONE_P0_ACCOUNT_RECONCILIATION
OGR,2022_2023,50,44,44,44,1000000.0,{},1016086.3188282596,9.313225746154785e-10,2.0463630789890885e-12,9.313225746154785e-10,PENDING_FULL_PARENT_PREFIX_REGENERATION,PASS,NATIVE_FIXED_GAP_STANDALONE_P0_ACCOUNT_RECONCILIATION
IFCGR,2018_2021,362,248,248,248,1000000.0,{},1105177.2081431411,3.3760443329811096e-09,1.9099388737231493e-11,3.6088749766349792e-09,PENDING_FULL_PARENT_PREFIX_REGENERATION,PASS,NATIVE_FIXED_GAP_STANDALONE_P0_ACCOUNT_RECONCILIATION
IFCGR,2022_2023,50,44,44,44,1000000.0,{},1016086.3188282596,9.313225746154785e-10,2.0463630789890885e-12,9.313225746154785e-10,PENDING_FULL_PARENT_PREFIX_REGENERATION,PASS,NATIVE_FIXED_GAP_STANDALONE_P0_ACCOUNT_RECONCILIATION
