gap,period,mcb_mode,policy,timestamp,request_count,requested_notional,funded_notional
IFCGR,2018_2021,independent,P0,2019-09-10 09:30:00,151,5029559.569834602,510188.8567041365
OGR,2018_2021,independent,P0,2019-09-10 09:30:00,151,5029559.569834579,510188.8567041366
OGR,2018_2021,independent,P0,2018-11-05 09:30:00,139,4261025.968075111,422741.9577228522
OGR,2018_2021,confirmation_tag,P0,2018-11-05 09:30:00,139,4261025.968075107,422741.9577228521
IFCGR,2018_2021,independent,P0,2018-11-05 09:30:00,139,4260993.251449066,422709.24109680473
IFCGR,2018_2021,confirmation_tag,P0,2018-11-05 09:30:00,139,4260993.251449063,422709.2410968047
OGR,2022_2023,independent,P0,2023-01-31 09:30:00,115,4070844.5586790782,899812.6218998216
IFCGR,2022_2023,independent,P0,2023-01-31 09:30:00,115,4070844.558679077,899812.6218998214
IFCGR,2018_2021,confirmation_tag,P0,2019-09-10 09:30:00,163,3062604.1582247494,280431.72255489737
OGR,2018_2021,confirmation_tag,P0,2019-09-10 09:30:00,163,3062604.158224749,280431.7225548972
OGR,2022_2023,independent,P0,2023-02-02 09:30:00,85,3017874.5698766485,69541.830553923
IFCGR,2022_2023,independent,P0,2023-02-02 09:30:00,85,3017874.5698766476,69541.83055392296
OGR,2022_2023,confirmation_tag,P0,2023-02-02 09:30:00,85,2342500.873485871,41687.416146318195
IFCGR,2022_2023,confirmation_tag,P0,2023-02-02 09:30:00,85,2342500.873485871,41687.416146318195
IFCGR,2022_2023,confirmation_tag,P0,2023-01-31 09:30:00,89,2053838.2744864721,920669.7462362294
OGR,2022_2023,confirmation_tag,P0,2023-01-31 09:30:00,89,2053838.2744864714,920669.7462362286
IFCGR,2018_2021,independent,P0,2019-02-25 09:30:00,60,1818255.0498407066,862210.087004082
OGR,2018_2021,independent,P0,2019-02-25 09:30:00,60,1818255.0498407003,862210.0870040813
IFCGR,2018_2021,independent,P0,2019-09-05 09:30:00,53,1732169.864447479,643170.580686369
OGR,2018_2021,independent,P0,2019-09-05 09:30:00,53,1732169.8644474703,643170.580686368
OGR,2022_2023,independent,P2,2023-01-31 09:30:00,52,1705739.240955736,975627.5679816726
IFCGR,2022_2023,independent,P3_D6,2023-01-31 09:30:00,52,1705739.240955736,975627.5679816724
OGR,2022_2023,independent,P3_D6,2023-01-31 09:30:00,52,1705739.240955736,975627.5679816726
OGR,2022_2023,independent,P3_D4,2023-01-31 09:30:00,52,1705739.240955736,975627.5679816726
IFCGR,2022_2023,independent,P2,2023-01-31 09:30:00,52,1705739.240955736,975627.5679816724
OGR,2022_2023,independent,P3_D5,2023-01-31 09:30:00,52,1705739.240955736,975627.5679816726
IFCGR,2022_2023,independent,P3_D4,2023-01-31 09:30:00,52,1705739.240955736,975627.5679816724
IFCGR,2022_2023,independent,P3_D5,2023-01-31 09:30:00,52,1705739.240955736,975627.5679816724
IFCGR,2018_2021,independent,P0,2019-02-26 09:30:00,63,1689974.3340948583,915220.2300341295
OGR,2018_2021,independent,P0,2019-02-26 09:30:00,63,1689974.3340948555,915220.2300341267
IFCGR,2022_2023,independent,P0,2023-01-20 09:30:00,40,1594348.8759373745,1594348.8759373743
IFCGR,2022_2023,independent,P3_D6,2023-01-20 09:30:00,40,1594348.8759373745,1594348.8759373743
IFCGR,2022_2023,independent,P1,2023-01-20 09:30:00,40,1594348.8759373745,1594348.8759373743
IFCGR,2022_2023,independent,P3_D5,2023-01-20 09:30:00,40,1594348.8759373745,1594348.8759373743
IFCGR,2022_2023,independent,P2,2023-01-20 09:30:00,40,1594348.8759373745,1594348.8759373743
IFCGR,2022_2023,independent,P3_D4,2023-01-20 09:30:00,40,1594348.8759373745,1594348.8759373743
OGR,2022_2023,independent,P1,2023-01-20 09:30:00,40,1594348.8759373743,1594348.8759373743
OGR,2022_2023,independent,P3_D5,2023-01-20 09:30:00,40,1594348.8759373743,1594348.8759373743
OGR,2022_2023,independent,P3_D6,2023-01-20 09:30:00,40,1594348.8759373743,1594348.8759373743
OGR,2022_2023,independent,P2,2023-01-20 09:30:00,40,1594348.8759373743,1594348.8759373743
OGR,2022_2023,independent,P0,2023-01-20 09:30:00,40,1594348.8759373743,1594348.8759373743
OGR,2022_2023,independent,P3_D4,2023-01-20 09:30:00,40,1594348.8759373743,1594348.8759373743
IFCGR,2022_2023,confirmation_tag,P3_D4,2023-01-20 09:30:00,59,1580868.750527071,1580868.750527071
IFCGR,2022_2023,confirmation_tag,P2,2023-01-20 09:30:00,59,1580868.750527071,1580868.750527071
IFCGR,2022_2023,confirmation_tag,P0,2023-01-20 09:30:00,59,1580868.750527071,1580868.750527071
IFCGR,2022_2023,confirmation_tag,P3_D5,2023-01-20 09:30:00,59,1580868.750527071,1580868.750527071
IFCGR,2022_2023,confirmation_tag,P3_D6,2023-01-20 09:30:00,59,1580868.750527071,1580868.750527071
IFCGR,2022_2023,confirmation_tag,P1,2023-01-20 09:30:00,59,1580868.750527071,1580868.750527071
OGR,2022_2023,confirmation_tag,P3_D4,2023-01-20 09:30:00,59,1580868.750527069,1580868.750527069
OGR,2022_2023,confirmation_tag,P2,2023-01-20 09:30:00,59,1580868.750527069,1580868.750527069
OGR,2022_2023,confirmation_tag,P3_D5,2023-01-20 09:30:00,59,1580868.750527069,1580868.750527069
OGR,2022_2023,confirmation_tag,P1,2023-01-20 09:30:00,59,1580868.750527069,1580868.750527069
OGR,2022_2023,confirmation_tag,P3_D6,2023-01-20 09:30:00,59,1580868.750527069,1580868.750527069
OGR,2022_2023,confirmation_tag,P0,2023-01-20 09:30:00,59,1580868.750527069,1580868.750527069
IFCGR,2018_2021,independent,P0,2020-07-10 09:30:00,44,1421255.7210382645,630337.0523770733
OGR,2018_2021,independent,P0,2020-07-10 09:30:00,44,1421255.721038263,630337.0523770719
IFCGR,2022_2023,independent,P1,2023-11-16 09:30:00,27,1405534.5454824418,1405534.5454824416
OGR,2022_2023,independent,P1,2023-11-16 09:30:00,27,1405534.5454824409,1405534.5454824409
IFCGR,2022_2023,independent,P2,2023-11-16 09:30:00,27,1404868.8655736716,1404868.8655736716
IFCGR,2022_2023,independent,P3_D5,2023-11-16 09:30:00,27,1404868.8655736716,1404868.8655736716
OGR,2022_2023,independent,P3_D6,2023-11-16 09:30:00,27,1404868.8655736716,1404868.8655736716
OGR,2022_2023,independent,P3_D5,2023-11-16 09:30:00,27,1404868.8655736716,1404868.8655736716
OGR,2022_2023,independent,P3_D4,2023-11-16 09:30:00,27,1404868.8655736716,1404868.8655736716
IFCGR,2022_2023,independent,P3_D6,2023-11-16 09:30:00,27,1404868.8655736716,1404868.8655736716
OGR,2022_2023,independent,P2,2023-11-16 09:30:00,27,1404868.8655736716,1404868.8655736716
IFCGR,2022_2023,independent,P3_D4,2023-11-16 09:30:00,27,1404868.8655736716,1404868.8655736716
IFCGR,2022_2023,independent,P0,2023-11-16 09:30:00,27,1403285.7946857347,1403285.7946857344
OGR,2022_2023,independent,P0,2023-11-16 09:30:00,27,1403285.7946857347,1403285.7946857347
IFCGR,2018_2021,confirmation_tag,P0,2019-02-25 09:30:00,78,1375083.2135114681,419038.2506748491
OGR,2018_2021,confirmation_tag,P0,2019-02-25 09:30:00,78,1375083.213511468,419038.2506748489
IFCGR,2018_2021,independent,P0,2019-09-09 09:30:00,42,1351503.321283888,320088.2862360659
OGR,2018_2021,independent,P0,2019-09-09 09:30:00,42,1351503.3212838825,320088.2862360661
IFCGR,2022_2023,independent,P1,2023-11-20 09:30:00,31,1348221.3458101484,1348221.3458101484
