strategy,symbol,action_id,raw_quantity_before,new_quantity,total_quantity,cash_dividend,record_to_ex_open_market_move,record_date,ex_date,tradable_date,first_native_exit,exit_before_listing,status
ATRDR,600622.SH,cninfo:distribution:a3d32aea2ea016f223b387118049f654,1333.2221324183536,399.96663972550607,1733.1887721438598,279.97664780785425,-6.666110662090442,2017-06-29,2017-06-30,2017-07-03,2017-07-18 09:30:00,False,PRODUCTION_CONTINUOUS_ACCOUNT_PASS
MCB,603368.SH,cninfo:distribution:0d715e740cf32b9921fa6b9ba9c13b31,844.9869785458321,337.9947914183328,1182.9817699641649,574.5911454111658,158.85755196661245,2020-06-23,2020-06-24,2020-06-29,2020-07-14 09:30:00,False,PRODUCTION_CONTINUOUS_ACCOUNT_PASS
