strategy,route,symbol,action_id,holding_event_id,action_type,holding_overlap,announcement_date,record_date,ex_date,accounting_effective_date,tradable_date,cash_payment_date,share_ratio,cash_ratio,tradable_quantity_before,pending_quantity_before,native_quantity_before,quantity_basis,source,source_grade,available_at,raw_hash,status,first_missing_field
ATRDR,V27,002285.SZ,cninfo:distribution:7fb71b5954f198fdd1f1376d4d3176f3,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20140526|002285.SZ,cash_and_share_distribution,True,2014-05-22,2014-05-27,2014-05-28,,,2014-05-28,0.7999999999999998,0.1,,,10521.889053910216,NATIVE_COORDINATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,official_current_snapshot_date_only_announcement_no_historical_revision_stream,2014-05-23,75fd4970fcf181b9b6fa05028fc9e4cda22ea2b9e0091464a82987e2d8180b4c,EXECUTION_RECONSTRUCTION_REQUIRED,physical_quantity_and_accounting_transition
ATRDR,BULL,002467.SZ,cninfo:distribution:dccd980f2e9d79d14293a2c260643692,V29|BULL|V29B|20140528|002467.SZ,cash_and_share_distribution,True,2014-05-23,2014-05-29,2014-05-30,,,2014-05-30,1.000165,0.4000663,,,7203.688811005853,NATIVE_COORDINATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,official_current_snapshot_date_only_announcement_no_historical_revision_stream,2014-05-24,c329588088c1ff91be8203780a382007efd3ed2de917e31e38ad16eafecf2625,EXECUTION_RECONSTRUCTION_REQUIRED,physical_quantity_and_accounting_transition
ATRDR,BULL,002576.SZ,cninfo:distribution:9339d66f04ca1de52cc380fb7d924da9,V29|BULL|V29B|20140528|002576.SZ,cash_dividend,True,2014-05-23,2014-05-29,2014-05-30,,,2014-05-30,0.0,0.03,,,10798.894962325723,NATIVE_COORDINATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,official_current_snapshot_date_only_announcement_no_historical_revision_stream,2014-05-24,04c02095aaf0501da5617efdf430f9015e5fffaed4b207aa55626a40330edf61,EXECUTION_RECONSTRUCTION_REQUIRED,physical_quantity_and_accounting_transition
ATRDR,V27,002094.SZ,cninfo:distribution:66cd7cc27aca75510097387be86cc131,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20140526|002094.SZ,cash_dividend,True,2014-06-05,2014-06-10,2014-06-11,,,2014-06-11,0.0,0.06,,,13267.285495086197,NATIVE_COORDINATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,official_current_snapshot_date_only_announcement_no_historical_revision_stream,2014-06-06,4bacbb51738e7a5a11f6ce0697dc683ecbf7ce2700c626a60588d9b0bd6e6635,EXECUTION_RECONSTRUCTION_REQUIRED,physical_quantity_and_accounting_transition
ATRDR,V27,002390.SZ,cninfo:distribution:74daa1c639064271fbbce410475b0810,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20140526|002390.SZ,cash_and_share_distribution,True,2014-06-10,2014-06-13,2014-06-16,,,2014-06-16,1.0,0.06,,,5986.172206644323,NATIVE_COORDINATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,official_current_snapshot_date_only_announcement_no_historical_revision_stream,2014-06-11,b02a2f17e5efc1babd2cb83139da8f27b7a416e36186444915e008050005fbba,EXECUTION_RECONSTRUCTION_REQUIRED,physical_quantity_and_accounting_transition
ATRDR,BULL,600438.SH,cninfo:distribution:c61e942e3c98391ab5e1361eafaa49da,V29|BULL|V29B|20140613|600438.SH,cash_dividend,True,2014-06-11,2014-06-16,2014-06-17,,,2014-06-17,0.0,0.3,,,10923.66849097336,NATIVE_COORDINATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,official_current_snapshot_date_only_announcement_no_historical_revision_stream,2014-06-12,c9b548b18093de8380b6bf9c2abd7d5f8856cc57d744e492b6321951b302c6d8,EXECUTION_RECONSTRUCTION_REQUIRED,physical_quantity_and_accounting_transition
ATRDR,BULL,002282.SZ,cninfo:distribution:f642a61ca03c6481d88c0799a86e240c,V29|BULL|V29B|20140528|002282.SZ,cash_dividend,True,2014-06-13,2014-06-19,2014-06-20,,,2014-06-20,0.0,0.05,,,14411.160950462105,NATIVE_COORDINATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,official_current_snapshot_date_only_announcement_no_historical_revision_stream,2014-06-14,59f823505b6dca591f195a04e038b9e67298aadc29d9b0439797204b806eb883,EXECUTION_RECONSTRUCTION_REQUIRED,physical_quantity_and_accounting_transition
ATRDR,V27,002482.SZ,cninfo:distribution:59795764c637d59f3413e950ae74d9c8,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20140526|002482.SZ,cash_dividend,True,2014-06-18,2014-06-24,2014-06-25,,,2014-06-25,0.0,0.15,,,26152.70797396663,NATIVE_COORDINATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,official_current_snapshot_date_only_announcement_no_historical_revision_stream,2014-06-19,f046190ef3ef0aa98a590664aea32fc98988f89f66c45ef0fffaeae8f2ae8e52,EXECUTION_RECONSTRUCTION_REQUIRED,physical_quantity_and_accounting_transition
ATRDR,BULL,600201.SH,cninfo:distribution:7796b093058847e7ec6397347cba7b20,V29|BULL|V29B|20140613|600201.SH,cash_dividend,True,2014-06-20,2014-06-25,2014-06-26,,,2014-06-26,0.0,0.2799999999999999,,,7224.66673872825,NATIVE_COORDINATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,official_current_snapshot_date_only_announcement_no_historical_revision_stream,2014-06-21,db165b6b911be3ef945520e8aa612ac883e68aac19549b0118481c448b0e0543,EXECUTION_RECONSTRUCTION_REQUIRED,physical_quantity_and_accounting_transition
ATRDR,BULL,300106.SZ,cninfo:distribution:2a78486aa95ab260ba08953b83e4e617,V29|BULL|V29B|20140704|300106.SZ,cash_and_share_distribution,True,2014-07-05,2014-07-11,2014-07-14,,,2014-07-14,0.3999999999999999,0.025,,,10802.765807112832,NATIVE_COORDINATE,/Users/linmei/Downloads/workspace/quant/data/staging/crsp_lean_corporate_actions_enrichment_20260809_v2/vintages/official_full_sh_sz_current_snapshot_20260809_v5/normalized/distributions.parquet,official_current_snapshot_date_only_announcement_no_historical_revision_stream,2014-07-06,1ed9c090a1272e1d395af28c54e3a3fa4f11949893aeed4d8f7776530c356925,EXECUTION_RECONSTRUCTION_REQUIRED,physical_quantity_and_accounting_transition
