timestamp,strategy,event_id,symbol,requested_notional,home_budget,gate_multiplier,gap,period,mcb_mode,policy,funded_notional,funding_type,reason,native_requested_before_confirmation,capital_required
2018-01-04 09:30:00,ATRDR,V29|BULL|V29B|20180103|300470.SZ,300470.SZ,23638.45242447909,1596616.104410173,1.0,OGR,2018_2021,independent,P0,23638.45242447909,BASE,FUNDED,23638.45242447909,True
2018-01-04 09:30:00,ATRDR,V29|BULL|V29B|20180103|300251.SZ,300251.SZ,23638.452424479085,1596616.104410173,1.0,OGR,2018_2021,independent,P0,23638.45242447909,BASE,FUNDED,23638.452424479085,True
2018-01-04 09:30:00,ATRDR,V29|BULL|V29B|20180103|600066.SH,600066.SH,29582.08438919335,1596616.104410173,1.0,OGR,2018_2021,independent,P0,29582.084389193347,BASE,FUNDED,29582.08438919335,True
2018-01-04 09:30:00,ATRDR,V29|BULL|V29B|20180103|603566.SH,603566.SH,29582.084389193347,1596616.104410173,1.0,OGR,2018_2021,independent,P0,29582.084389193344,BASE,FUNDED,29582.084389193347,True
2018-01-04 09:30:00,ATRDR,V29|BULL|V29B|20180103|603885.SH,603885.SH,29582.084389193347,1596616.104410173,1.0,OGR,2018_2021,independent,P0,29582.084389193347,BASE,FUNDED,29582.084389193347,True
2018-01-04 09:30:00,MCB,V72|V65|EARLY_TRANSITION|V53-20180103-300470.SZ,300470.SZ,19830.813182318605,1312977.2340191728,1.0,OGR,2018_2021,independent,P0,19830.8131823186,BASE,FUNDED,19830.813182318605,True
2018-01-04 09:30:00,MCB,V72|V65|EARLY_TRANSITION|V53-20180103-603566.SH,603566.SH,23935.094618320487,1312977.2340191728,1.0,OGR,2018_2021,independent,P0,23935.094618320487,BASE,FUNDED,23935.094618320487,True
2018-01-05 09:30:00,ATRDR,V29|BULL|V29B|20180104|600639.SH,600639.SH,29598.048928718978,1596951.4355479488,1.0,OGR,2018_2021,independent,P0,29598.048928718978,BASE,FUNDED,29598.048928718978,True
2018-01-05 09:30:00,ATRDR,V29|BULL|V29B|20180104|601117.SH,601117.SH,29598.048928718978,1596951.4355479488,1.0,OGR,2018_2021,independent,P0,29598.048928718978,BASE,FUNDED,29598.048928718978,True
2018-01-05 09:30:00,ATRDR,V29|BULL|V29B|20180104|600597.SH,600597.SH,29598.048928718978,1596951.4355479488,1.0,OGR,2018_2021,independent,P0,29598.048928718978,BASE,FUNDED,29598.048928718978,True
2018-01-05 09:30:00,ATRDR,V29|BULL|V29B|20180104|002262.SZ,002262.SZ,29598.048928718978,1596951.4355479488,1.0,OGR,2018_2021,independent,P0,29598.048928718978,BASE,FUNDED,29598.048928718978,True
2018-01-05 09:30:00,ATRDR,V29|BULL|V29B|20180104|002088.SZ,002088.SZ,29598.04892871897,1596951.4355479488,1.0,OGR,2018_2021,independent,P0,29598.048928718978,BASE,FUNDED,29598.04892871897,True
2018-01-05 09:30:00,ATRDR,V29|BULL|V29B|20180104|002304.SZ,002304.SZ,29598.048928718978,1596951.4355479488,1.0,OGR,2018_2021,independent,P0,29598.048928718978,BASE,FUNDED,29598.048928718978,True
2018-01-08 09:30:00,ATRDR,V29|BULL|V29B|20180105|600655.SH,600655.SH,29593.685218945215,1597799.6441546918,1.0,OGR,2018_2021,independent,P0,29593.685218945215,BASE,FUNDED,29593.685218945215,True
2018-01-08 09:30:00,ATRDR,V29|BULL|V29B|20180105|000869.SZ,000869.SZ,29593.685218945215,1597799.6441546918,1.0,OGR,2018_2021,independent,P0,29593.685218945215,BASE,FUNDED,29593.685218945215,True
2018-01-08 09:30:00,ATRDR,V29|BULL|V29B|20180105|002385.SZ,002385.SZ,29593.685218945215,1597799.6441546918,1.0,OGR,2018_2021,independent,P0,29593.68521894521,BASE,FUNDED,29593.685218945215,True
2018-01-10 09:30:00,ATRDR,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180109|002863.SZ,002863.SZ,29602.82582457438,1596680.0275941445,1.0,OGR,2018_2021,independent,P0,29602.825824574385,BASE,FUNDED,29602.82582457438,True
2018-01-15 09:30:00,SMV6,SMV6|2018-01-15|510050.SH|0,510050.SH,500277.8959913016,1000000.0,1.0,OGR,2018_2021,independent,P0,500277.8959913016,BASE,FUNDED,500277.8959913016,True
2018-02-13 09:30:00,ATRDR,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180212|300264.SZ,300264.SZ,23747.89646074236,1596116.6558809837,1.0,OGR,2018_2021,independent,P0,23747.89646074236,BASE,FUNDED,23747.89646074236,True
2018-02-22 09:30:00,ATRDR,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180214|002829.SZ,002829.SZ,29455.992068623837,1595792.749109563,1.0,OGR,2018_2021,independent,P0,29455.992068623837,BASE,FUNDED,29455.992068623837,True
2018-02-23 09:30:00,ATRDR,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|300691.SZ,300691.SZ,23743.68303932551,1595577.2757386342,1.0,OGR,2018_2021,independent,P0,23743.68303932551,BASE,FUNDED,23743.68303932551,True
2018-02-23 09:30:00,ATRDR,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|300699.SZ,300699.SZ,23743.683039325508,1595577.2757386342,1.0,OGR,2018_2021,independent,P0,23743.683039325508,BASE,FUNDED,23743.683039325508,True
2018-02-23 09:30:00,ATRDR,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|300011.SZ,300011.SZ,23743.683039325515,1595577.2757386342,1.0,OGR,2018_2021,independent,P0,23743.68303932551,BASE,FUNDED,23743.683039325515,True
2018-02-23 09:30:00,ATRDR,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|600105.SH,600105.SH,29442.226151962368,1595577.2757386342,1.0,OGR,2018_2021,independent,P0,29442.22615196237,BASE,FUNDED,29442.226151962368,True
2018-02-23 09:30:00,ATRDR,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|600730.SH,600730.SH,29442.226151962368,1595577.2757386342,1.0,OGR,2018_2021,independent,P0,29442.22615196237,BASE,FUNDED,29442.226151962368,True
2018-02-23 09:30:00,ATRDR,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|000590.SZ,000590.SZ,29442.22615196237,1595577.2757386342,1.0,OGR,2018_2021,independent,P0,29442.22615196237,BASE,FUNDED,29442.22615196237,True
2018-02-23 09:30:00,ATRDR,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|002421.SZ,002421.SZ,29442.22615196237,1595577.2757386342,1.0,OGR,2018_2021,independent,P0,29442.22615196237,BASE,FUNDED,29442.22615196237,True
2018-02-23 09:30:00,OGR,002631.SZ|2018-01-31,002631.SZ,6249.999999999999,1000000.0,1.0,OGR,2018_2021,independent,P0,6250.0,BASE,FUNDED,6249.999999999999,True
2018-02-23 09:30:00,OGR,300268.SZ|2018-01-31,300268.SZ,6249.999999999999,999987.5249500998,1.0,OGR,2018_2021,independent,P0,6250.0,BASE,FUNDED,6249.999999999999,True
2018-02-23 09:30:00,OGR,002200.SZ|2018-01-31,002200.SZ,6249.745115235348,999975.0499001996,1.0,OGR,2018_2021,independent,P0,6249.745115235348,BASE,FUNDED,6249.745115235348,True
2018-02-23 09:30:00,OGR,300076.SZ|2018-01-30,300076.SZ,6250.233907185628,999962.5753590516,1.0,OGR,2018_2021,independent,P0,6250.233907185629,BASE,FUNDED,6250.233907185628,True
2018-02-23 09:30:00,OGR,600698.SH|2018-01-31,600698.SH,6249.5891813740545,999950.0998422706,1.0,OGR,2018_2021,independent,P0,6249.5891813740545,BASE,FUNDED,6249.5891813740545,True
2018-02-23 09:30:00,OGR,002446.SZ|2018-01-31,002446.SZ,6249.1471500283415,999937.6256123676,1.0,OGR,2018_2021,independent,P0,6249.1471500283415,BASE,FUNDED,6249.1471500283415,True
2018-02-23 09:30:00,OGR,002702.SZ|2018-01-31,002702.SZ,6249.523010415865,999925.1522647628,1.0,OGR,2018_2021,independent,P0,6249.5230104158645,BASE,FUNDED,6249.523010415865,True
2018-02-23 09:30:00,OGR,300220.SZ|2018-02-01,300220.SZ,6250.077966885639,999912.6781669375,1.0,OGR,2018_2021,independent,P0,6250.077966885639,BASE,FUNDED,6250.077966885639,True
2018-02-23 09:30:00,OGR,002401.SZ|2018-02-01,002401.SZ,6249.178770007055,999900.2029614148,1.0,OGR,2018_2021,independent,P0,6249.178770007055,BASE,FUNDED,6249.178770007055,True
2018-02-23 09:30:00,OGR,000917.SZ|2018-01-31,000917.SZ,6249.505572902986,999887.7295506964,1.0,OGR,2018_2021,independent,P0,6249.505572902986,BASE,FUNDED,6249.505572902986,True
2018-02-23 09:30:00,OGR,300025.SZ|2018-01-31,300025.SZ,6250.176622847681,999875.2554876768,1.0,OGR,2018_2021,independent,P0,6250.176622847681,BASE,FUNDED,6250.176622847681,True
2018-02-23 09:30:00,OGR,600601.SH|2018-01-31,600601.SH,6249.567422227933,999862.7800852358,1.0,OGR,2018_2021,independent,P0,6249.567422227933,BASE,FUNDED,6249.567422227933,True
2018-02-23 09:30:00,OGR,000519.SZ|2018-01-31,000519.SZ,6249.411498005831,999850.3058987644,1.0,OGR,2018_2021,independent,P0,6249.411498005831,BASE,FUNDED,6249.411498005831,True
2018-02-23 09:30:00,OGR,002759.SZ|2018-01-31,002759.SZ,6249.255573763646,999837.8320235187,1.0,OGR,2018_2021,independent,P0,6249.255573763645,BASE,FUNDED,6249.255573763646,True
2018-02-23 09:30:00,OGR,600571.SH|2018-02-01,600571.SH,6249.468839732839,999825.3584594992,1.0,OGR,2018_2021,independent,P0,6249.468839732839,BASE,FUNDED,6249.468839732839,True
2018-02-23 09:30:00,OGR,002261.SZ|2018-02-01,002261.SZ,6249.494219385198,999812.8844697992,1.0,OGR,2018_2021,independent,P0,6249.494219385198,BASE,FUNDED,6249.494219385198,True
