strategy,route,family,event_id,parent_event_id,symbol,decision_at,earliest_execution_at,native_priority,native_requested_quantity,price,fee_rate,lot_size,price_basis,side,reason,state_requirements,economic_event_definition,board,native_base_cash_limit,native_requested_notional
SMV6,NATIVE_CALLBACK,ETF_TIMING,SMV6|2022-01-04|159865.SZ|0,,159865.SZ,2022-01-04,2022-01-04 09:30:00,[0],554300,0.9027215999999999,0.0002,100,PRE_ADJUSTED_ETF,BUY,NATIVE_ELIGIBLE,{},,COMBINED,,500478.65859657596
SMV6,NATIVE_CALLBACK,ETF_TIMING,SMV6|2022-06-08|515170.SH|1,,515170.SH,2022-06-08,2022-06-08 09:30:00,[1],132700,0.7495991999999999,0.0002,100,PRE_ADJUSTED_ETF,BUY,NATIVE_ELIGIBLE,{},,COMBINED,,99491.70820276799
SMV6,NATIVE_CALLBACK,ETF_TIMING,SMV6|2022-06-09|515170.SH|2,,515170.SH,2022-06-09,2022-06-09 09:30:00,[2],135100,0.7616088,0.0002,100,PRE_ADJUSTED_ETF,BUY,NATIVE_ELIGIBLE,"{""515170.SH"": 132700}",,COMBINED,,102913.927549776
SMV6,NATIVE_CALLBACK,ETF_TIMING,SMV6|2022-06-09|159601.SZ|3,,159601.SZ,2022-06-09,2022-06-09 09:30:00,[3],234200,0.8706959999999999,0.0002,100,PRE_ADJUSTED_ETF,BUY,NATIVE_ELIGIBLE,"{""515170.SH"": 267800}",,COMBINED,,203957.78660063999
SMV6,NATIVE_CALLBACK,ETF_TIMING,SMV6|2022-06-09|510150.SH|4,,510150.SH,2022-06-09,2022-06-09 09:30:00,[4],163100,0.6535224,0.0002,100,PRE_ADJUSTED_ETF,BUY,NATIVE_ELIGIBLE,"{""159601.SZ"": 234200, ""515170.SH"": 267800}",,COMBINED,,106610.82134068798
SMV6,NATIVE_CALLBACK,ETF_TIMING,SMV6|2022-06-09|515650.SH|5,,515650.SH,2022-06-09,2022-06-09 09:30:00,[5],50300,1.2760199999999997,0.0002,100,PRE_ADJUSTED_ETF,BUY,NATIVE_ELIGIBLE,"{""159601.SZ"": 234200, ""510150.SH"": 163100, ""515170.SH"": 267800}",,COMBINED,,64196.64276119998
SMV6,NATIVE_CALLBACK,ETF_TIMING,SMV6|2022-06-10|515170.SH|6,,515170.SH,2022-06-10,2022-06-10 09:30:00,[6],70400,0.7455959999999999,0.0002,100,PRE_ADJUSTED_ETF,BUY,NATIVE_ELIGIBLE,"{""159601.SZ"": 234200, ""510150.SH"": 163100, ""515170.SH"": 267800, ""515650.SH"": 50300}",,COMBINED,,52500.456391679996
SMV6,NATIVE_CALLBACK,ETF_TIMING,SMV6|2022-06-10|159601.SZ|7,,159601.SZ,2022-06-10,2022-06-10 09:30:00,[7],59100,0.8596871999999999,0.0002,100,PRE_ADJUSTED_ETF,BUY,NATIVE_ELIGIBLE,"{""159601.SZ"": 234200, ""510150.SH"": 163100, ""515170.SH"": 338200, ""515650.SH"": 50300}",,COMBINED,,50817.675022703996
SMV6,NATIVE_CALLBACK,ETF_TIMING,SMV6|2022-06-10|510150.SH|8,,510150.SH,2022-06-10,2022-06-10 09:30:00,[8],53700,0.635508,0.0002,100,PRE_ADJUSTED_ETF,BUY,NATIVE_ELIGIBLE,"{""159601.SZ"": 293300, ""510150.SH"": 163100, ""515170.SH"": 338200, ""515650.SH"": 50300}",,COMBINED,,34133.60495592
SMV6,NATIVE_CALLBACK,ETF_TIMING,SMV6|2022-06-10|515650.SH|9,,515650.SH,2022-06-10,2022-06-10 09:30:00,[9],1600,1.2580055999999997,0.0002,100,PRE_ADJUSTED_ETF,BUY,NATIVE_ELIGIBLE,"{""159601.SZ"": 293300, ""510150.SH"": 216800, ""515170.SH"": 338200, ""515650.SH"": 50300}",,COMBINED,,2013.2115217919995
SMV6,NATIVE_CALLBACK,ETF_TIMING,SMV6|2022-06-15|510150.SH|10,,510150.SH,2022-06-15,2022-06-15 09:30:00,[10],97300,0.6485183999999999,0.0002,100,PRE_ADJUSTED_ETF,BUY,NATIVE_ELIGIBLE,"{""159601.SZ"": 235000, ""510150.SH"": 216800, ""515170.SH"": 268200, ""515650.SH"": 51900}",,COMBINED,,63113.460488063996
