year,events,dates,stocks,peer_ok,pressure_events,simple_resilience_high_minus_low_fwd10,residual_resilience_high_minus_low_fwd10
2020,14767,243,3455,14767,14767,0.002616115149446656,0.0066953755620196755
2021,14731,243,3854,14731,14731,-0.0025535095301198493,0.00013064409374610557
2022,16388,242,4337,16388,16388,-0.004246708623531663,-0.005493396819086343
2023,16467,216,4483,16467,16467,-0.004343753876156399,-0.0024849655023626693
