landmark_group,observations,mean_fwd5,mean_fwd10,mean_fwd20,median_fwd10,new_high10,feature
G1,37239,0.003059585466625107,0.004344428889662429,0.004081986715613206,-0.005249343832020803,0.8095007921802412,simple_resilience
G2,13817,0.0024912095412264468,0.0029491758971872586,0.003924589140291829,-0.005660377358490343,0.8084967793298111,simple_resilience
G3,11009,0.0012504570618112557,0.0007175414799637572,0.0004870143784878206,-0.008458646616541499,0.7918067036061405,simple_resilience
G4,11525,-0.0018523433486482312,-0.004062288955399214,-0.005814433515152324,-0.01434948979591788,0.7792624728850326,simple_resilience
G1,37193,0.00281639059555971,0.0036676931649001453,0.0037860914334535796,-0.005258126195028967,0.8092920710886458,residual_resilience
G2,13796,0.002568710701687681,0.003035774704007641,0.00411706266670643,-0.006121741530064673,0.8075529138880835,residual_resilience
G3,11000,0.0019614486649694746,0.0027889973088028853,0.0011503700705639195,-0.008112478104788545,0.7935454545454546,residual_resilience
G4,11125,-0.0015929809471608857,-0.00408404072463865,-0.006456533642404313,-0.014545454545454528,0.7783370786516854,residual_resilience
