year,peer_status,events,dates,stocks,mean_corr,median_corr,static_mean_corr,dynamic_coverage,static_coverage,mean_industry_n,mean_board_n
2020,OK,18809,243,3525,0.7493050592679195,0.7426315546035767,0.409506701250703,0.9863876036269721,0.9827107984537906,14.281354670636398,2.287043436652666
2020,PEER_UNAVAILABLE,130,78,127,,,,0.0,0.0,0.0,0.0
2021,OK,20606,243,4015,0.7108836057888331,0.7024800777435303,0.3171308987908745,0.9814648885255628,0.9778249065302383,13.827477433757158,2.547898670290207
2021,PEER_UNAVAILABLE,177,98,175,,,,0.0,0.0,0.0,0.0
2022,OK,23204,242,4437,0.7647349650598645,0.7616651952266693,0.45545200591797486,0.9868610104862932,0.9840667674383183,12.642346147215997,2.546457507326323
2022,PEER_UNAVAILABLE,293,147,280,,,,0.0,0.0,0.0,0.0
2023,OK,22549,216,4646,0.7542017659814169,0.750540018081665,0.37902540033863374,0.9905514375891251,0.9881384042439749,12.006341744644995,2.601534436116901
2023,PEER_UNAVAILABLE,198,103,197,,,,0.0,0.0,0.0,0.0
