term,coefficient,observations,status,missing_controls
intercept,0.0033642836907315623,61964,PARTIAL_FIXED_OLS,prior_drawdown;volatility;float_market_cap;explicit_market_state
ret20,0.000491340242518328,61964,PARTIAL_FIXED_OLS,prior_drawdown;volatility;float_market_cap;explicit_market_state
ret60,-0.006103587141943476,61964,PARTIAL_FIXED_OLS,prior_drawdown;volatility;float_market_cap;explicit_market_state
rs60,0.0012310671571975453,61964,PARTIAL_FIXED_OLS,prior_drawdown;volatility;float_market_cap;explicit_market_state
market_ret5,-0.0006092938788901452,61964,PARTIAL_FIXED_OLS,prior_drawdown;volatility;float_market_cap;explicit_market_state
peer_mean_corr,-0.0013502222331214665,61964,PARTIAL_FIXED_OLS,prior_drawdown;volatility;float_market_cap;explicit_market_state
beta_peer,-0.002869731860769165,61964,PARTIAL_FIXED_OLS,prior_drawdown;volatility;float_market_cap;explicit_market_state
beta_market,0.0012474243622417431,61964,PARTIAL_FIXED_OLS,prior_drawdown;volatility;float_market_cap;explicit_market_state
simple_resilience,-0.010496956096718404,61964,PARTIAL_FIXED_OLS,prior_drawdown;volatility;float_market_cap;explicit_market_state
residual_resilience,0.008678688055237877,61964,PARTIAL_FIXED_OLS,prior_drawdown;volatility;float_market_cap;explicit_market_state
