symbol,signal_date,gap_date,gap_age,signal_raw_close,signal_raw_amount,signal_amount_to_prior20_median,status,formal_signal,sessions,exact_sessions,inside_density,corridor_density
600363.SH,2026-09-18,2026-08-31,14,16.06,552299217.63,1.2617496948608788,REJECTED_BY_V13_VAP,False,120,120,1.6658329164582295,2.136068034017009
603137.SH,2026-09-18,2026-09-02,12,19.61,165187037.26,0.7199610912148304,REJECTED_BY_V13_VAP,False,120,120,1.7084775086505188,1.5679065743944636
