invalid_reasons,n
FLOAT_TURNOVER_CROSSCHECK_FAILED,555
UNRESOLVED_REFERENCE_PRICE_DISCONTINUITY,102
invalid_daily_bar,46
UNRESOLVED_REFERENCE_PRICE_DISCONTINUITY|FLOAT_TURNOVER_CROSSCHECK_FAILED,7
