gate_name,gate_label,expected_operator,expected_threshold,authoritative_status,observed_operators_json,observed_thresholds_json,global_evaluated_rows,global_pass_rows,global_pass_rate,global_distribution_json,winner_evaluated,winner_distribution_json,winner_pass,winner_pass_rate,missed_winner_rejection_count,control_evaluated,control_distribution_json,control_pass,control_pass_rate,precision_in_evaluated_event_sample,evaluated_event_base_rate,lift_in_evaluated_event_sample,conditional_winner_n,conditional_winner_pass_rate,conditional_control_n,conditional_control_pass_rate,conditional_pass_rate_delta
setup_score,accumulation score,>=,1,EVALUATED,"["">=""]","[""1.0""]",27317,1,3.660724091e-05,"{""max"":1.0,""median"":0.0,""min"":0.0,""n"":27317,""p10"":0.0,""p25"":0.0,""p75"":0.0,""p90"":0.0}",373,"{""max"":0.0,""median"":0.0,""min"":0.0,""n"":373,""p10"":0.0,""p25"":0.0,""p75"":0.0,""p90"":0.0}",0,0,373,191,"{""max"":0.0,""median"":0.0,""min"":0.0,""n"":191,""p10"":0.0,""p25"":0.0,""p75"":0.0,""p90"":0.0}",0,0,,0.6613475177,,373,0,191,0,0
breakout_excess_atr,breakout excess (ATR),>=,0.25,NOT_REACHED_AUTHORITATIVE,[],[],9,0,0,"{""max"":-17.815309253887353,""median"":-18.872944326738544,""min"":-22.19272505492399,""n"":9,""p10"":-21.75859300133328,""p25"":-20.894498507645668,""p75"":-18.136861309003287,""p90"":-18.021078741737462}",0,"{""max"":null,""median"":null,""min"":null,""n"":0,""p10"":null,""p25"":null,""p75"":null,""p90"":null}",0,,0,0,"{""max"":null,""median"":null,""min"":null,""n"":0,""p10"":null,""p25"":null,""p75"":null,""p90"":null}",0,,,,,0,,0,,
retest_depth_atr,retest depth (ATR),<=,0.5,NOT_REACHED_AUTHORITATIVE,[],[],0,0,,"{""max"":null,""median"":null,""min"":null,""n"":0,""p10"":null,""p25"":null,""p75"":null,""p90"":null}",0,"{""max"":null,""median"":null,""min"":null,""n"":0,""p10"":null,""p25"":null,""p75"":null,""p90"":null}",0,,0,0,"{""max"":null,""median"":null,""min"":null,""n"":0,""p10"":null,""p25"":null,""p75"":null,""p90"":null}",0,,,,,0,,0,,
cost_migration_atr,cost migration (ATR),>=,0.5,NOT_REACHED_AUTHORITATIVE,[],[],0,0,,"{""max"":null,""median"":null,""min"":null,""n"":0,""p10"":null,""p25"":null,""p75"":null,""p90"":null}",0,"{""max"":null,""median"":null,""min"":null,""n"":0,""p10"":null,""p25"":null,""p75"":null,""p90"":null}",0,,0,0,"{""max"":null,""median"":null,""min"":null,""n"":0,""p10"":null,""p25"":null,""p75"":null,""p90"":null}",0,,,,,0,,0,,
retest_volume_ratio,volume ratio,<=,0.8,NOT_REACHED_AUTHORITATIVE,[],[],0,0,,"{""max"":null,""median"":null,""min"":null,""n"":0,""p10"":null,""p25"":null,""p75"":null,""p90"":null}",0,"{""max"":null,""median"":null,""min"":null,""n"":0,""p10"":null,""p25"":null,""p75"":null,""p90"":null}",0,,0,0,"{""max"":null,""median"":null,""min"":null,""n"":0,""p10"":null,""p25"":null,""p75"":null,""p90"":null}",0,,,,,0,,0,,
retest_turnover_ratio,turnover ratio,<=,0.8,NOT_REACHED_AUTHORITATIVE,[],[],0,0,,"{""max"":null,""median"":null,""min"":null,""n"":0,""p10"":null,""p25"":null,""p75"":null,""p90"":null}",0,"{""max"":null,""median"":null,""min"":null,""n"":0,""p10"":null,""p25"":null,""p75"":null,""p90"":null}",0,,0,0,"{""max"":null,""median"":null,""min"":null,""n"":0,""p10"":null,""p25"":null,""p75"":null,""p90"":null}",0,,,,,0,,0,,
exact_root_retention,root-anchor retention,>=,0.7,NOT_REACHED_AUTHORITATIVE,[],[],0,0,,"{""max"":null,""median"":null,""min"":null,""n"":0,""p10"":null,""p25"":null,""p75"":null,""p90"":null}",0,"{""max"":null,""median"":null,""min"":null,""n"":0,""p10"":null,""p25"":null,""p75"":null,""p90"":null}",0,,0,0,"{""max"":null,""median"":null,""min"":null,""n"":0,""p10"":null,""p25"":null,""p75"":null,""p90"":null}",0,,,,,0,,0,,
