target,split,feature,family,kind,category,winner_total,winner_available,winner_coverage,nonwinner_total,nonwinner_available,nonwinner_coverage,winner_median,nonwinner_median,auc_winner_higher,auc_cluster_ci_low,auc_cluster_ci_high
any_upside,discovery,model_spread_cost_p90,model_consensus,continuous,absolute_state,643,643,1,139,138,0.9928057554,0.2880470095,0.2121989636,0.5868438254,0.5472757586,0.6284861077
any_upside,discovery,model_spread_dominant_peak_today,model_consensus,continuous,absolute_state,643,643,1,139,138,0.9928057554,0,0,0.527689499,0.484061652,0.56407234
any_upside,discovery,peak_track_age_chg_5,peak_age,continuous,recent_change,643,130,0.2021772939,139,42,0.3021582734,5,5,0.5,0.5,0.5
any_upside,discovery,peak_track_age_chg_10,peak_age,continuous,recent_change,643,103,0.1601866252,139,36,0.2589928058,10,10,0.5,0.5,0.5
any_upside,discovery,peak_track_age_chg_20,peak_age,continuous,recent_change,643,38,0.05909797823,139,28,0.2014388489,20,20,0.5,0.5,0.5
any_upside,discovery,peak_track_mass_chg_5,peak_mass,continuous,recent_change,643,130,0.2021772939,139,42,0.3021582734,-0.007903792332,-0.005077189553,0.4043956044,0.3025393268,0.5169578911
any_upside,discovery,peak_track_mass_chg_10,peak_mass,continuous,recent_change,643,103,0.1601866252,139,36,0.2589928058,-0.01419032209,-0.009155553831,0.4476806904,0.3134356656,0.5359111356
any_upside,discovery,peak_track_mass_chg_20,peak_mass,continuous,recent_change,643,38,0.05909797823,139,28,0.2014388489,-0.03610736791,-0.02225955174,0.4210526316,0.3045229483,0.5595665607
any_upside,discovery,peak_track_prominence_chg_5,peak_prominence,continuous,recent_change,643,130,0.2021772939,139,42,0.3021582734,-0.000479551504,-0.0004969629564,0.4919413919,0.3787692318,0.588229304
any_upside,discovery,peak_track_prominence_chg_10,peak_prominence,continuous,recent_change,643,103,0.1601866252,139,36,0.2589928058,-0.0008582345892,-0.0008707252196,0.4865156419,0.3822748557,0.5780332348
any_upside,discovery,peak_track_prominence_chg_20,peak_prominence,continuous,recent_change,643,38,0.05909797823,139,28,0.2014388489,-0.002178125992,-0.001195064099,0.3439849624,0.2330488655,0.4930161317
any_upside,discovery,peak_band_width_rel_price_chg_5,peak_shape,continuous,recent_change,643,130,0.2021772939,139,42,0.3021582734,0.009685109163,0.009883585975,0.4857142857,0.3769520554,0.5856443428
