target,feature,family,direction_fit_discovery,requested_discovery_coverage,threshold_fit_discovery,evaluation_split,winner_total,winner_available,winner_pass,winner_recall_missing_as_fail,winner_recall_ci_low,winner_recall_ci_high,winner_recall_available,nonwinner_total,nonwinner_pass,nonwinner_pass_rate,precision_in_event_sample,event_sample_base_rate,lift_in_event_sample
any_upside,lost_count_20,lifecycle_events,higher,0.9,1,holdout,415,415,385,0.9277108434,0.8986788881,0.9488971876,0.9277108434,342,278,0.8128654971,0.580693816,0.5482166446,1.059241491
any_upside,lost_count_20,lifecycle_events,higher,0.95,0,discovery,643,315,315,0.4898911353,0.45142721,0.5284751295,1,139,139,1,0.6938325991,0.8222506394,0.8438212947
any_upside,lost_count_20,lifecycle_events,higher,0.95,0,validation,541,541,541,1,0.9929494007,1,1,169,169,1,0.761971831,0.761971831,1
any_upside,lost_count_20,lifecycle_events,higher,0.95,0,holdout,415,415,415,1,0.9908283702,1,1,342,342,1,0.5482166446,0.5482166446,1
any_upside,ambiguity_rate_20,ensemble_ambiguity,higher,0.8,0.25,discovery,643,315,258,0.401244168,0.3640533724,0.4396079448,0.819047619,139,92,0.6618705036,0.7371428571,0.8222506394,0.8964941124
any_upside,ambiguity_rate_20,ensemble_ambiguity,higher,0.8,0.25,validation,541,541,424,0.7837338262,0.7471061162,0.8163605492,0.7837338262,169,129,0.7633136095,0.7667269439,0.761971831,1.006240536
any_upside,ambiguity_rate_20,ensemble_ambiguity,higher,0.8,0.25,holdout,415,415,344,0.8289156627,0.7897082196,0.8620897203,0.8289156627,342,244,0.7134502924,0.5850340136,0.5482166446,1.06715843
any_upside,ambiguity_rate_20,ensemble_ambiguity,higher,0.9,0.1,discovery,643,315,291,0.4525660964,0.4144887565,0.4912068368,0.9238095238,139,107,0.7697841727,0.7311557789,0.8222506394,0.8892127824
any_upside,ambiguity_rate_20,ensemble_ambiguity,higher,0.9,0.1,validation,541,541,482,0.8909426987,0.8618678705,0.9145047663,0.8909426987,169,144,0.8520710059,0.7699680511,0.761971831,1.010494115
any_upside,ambiguity_rate_20,ensemble_ambiguity,higher,0.9,0.1,holdout,415,415,379,0.913253012,0.8822422275,0.9366833893,0.913253012,342,279,0.8157894737,0.5759878419,0.5482166446,1.050657341
any_upside,ambiguity_rate_20,ensemble_ambiguity,higher,0.95,0.05,discovery,643,315,299,0.465007776,0.4267777139,0.5036534615,0.9492063492,139,120,0.8633093525,0.7136038186,0.8222506394,0.8678665415
any_upside,ambiguity_rate_20,ensemble_ambiguity,higher,0.95,0.05,validation,541,541,496,0.9168207024,0.8905083988,0.9372553345,0.9168207024,169,150,0.8875739645,0.7678018576,0.761971831,1.007651236
any_upside,ambiguity_rate_20,ensemble_ambiguity,higher,0.95,0.05,holdout,415,415,391,0.9421686747,0.9153936795,0.9608328551,0.9421686747,342,295,0.8625730994,0.5699708455,0.5482166446,1.039681759
any_upside,concentration_20,scalar_chip,lower,0.8,0.7814485574,discovery,643,643,515,0.800933126,0.7683227232,0.8299691685,0.800933126,139,109,0.7841726619,0.8253205128,0.8222506394,1.003733501
any_upside,concentration_20,scalar_chip,lower,0.8,0.7814485574,validation,541,541,431,0.7966728281,0.7607215695,0.8284406442,0.7966728281,169,137,0.8106508876,0.7588028169,0.761971831,0.9958410351
any_upside,concentration_20,scalar_chip,lower,0.8,0.7814485574,holdout,415,415,330,0.7951807229,0.7537294345,0.8312174347,0.7951807229,342,227,0.6637426901,0.592459605,0.5482166446,1.080703424
any_upside,concentration_20,scalar_chip,lower,0.9,0.8385426043,discovery,643,643,579,0.900466563,0.8748949592,0.9212815891,0.900466563,139,124,0.8920863309,0.8236130868,0.8222506394,1.001656973
