date,golden_NAV,reproduced_state,reason
2023-12-18,3.1230018954785765,MATERIALIZED_CASH_ONLY,calendar previously stopped at last exit instead of frozen interval end
2023-12-19,3.1230018954785765,MATERIALIZED_CASH_ONLY,calendar previously stopped at last exit instead of frozen interval end
2023-12-20,3.1230018954785765,MATERIALIZED_CASH_ONLY,calendar previously stopped at last exit instead of frozen interval end
2023-12-21,3.1230018954785765,MATERIALIZED_CASH_ONLY,calendar previously stopped at last exit instead of frozen interval end
2023-12-22,3.1230018954785765,MATERIALIZED_CASH_ONLY,calendar previously stopped at last exit instead of frozen interval end
2023-12-25,3.1230018954785765,MATERIALIZED_CASH_ONLY,calendar previously stopped at last exit instead of frozen interval end
2023-12-26,3.1230018954785765,MATERIALIZED_CASH_ONLY,calendar previously stopped at last exit instead of frozen interval end
2023-12-27,3.1230018954785765,MATERIALIZED_CASH_ONLY,calendar previously stopped at last exit instead of frozen interval end
2023-12-28,3.1230018954785765,MATERIALIZED_CASH_ONLY,calendar previously stopped at last exit instead of frozen interval end
2023-12-29,3.1230018954785765,MATERIALIZED_CASH_ONLY,calendar previously stopped at last exit instead of frozen interval end
