interval,layer,reproduced_rows,golden_rows,missing_identities,extra_identities,value_mismatches,max_abs_delta,tolerance
2024-2025,market,485,485,0,0,0,0,0
2024-2025,fast_bear,151,151,0,0,0,0,0
2024-2025,slow_bear,674,674,0,0,0,0,0
2024-2025,bull_accelerating,11,11,0,0,0,0,0
2024-2025,bull_decelerating,112,112,0,0,0,0,0
2024-2025,source_union,917,917,0,0,0,0,1e-12
2024-2025,accepted_trades,397,397,0,0,0,0,1e-12
2024-2025,portfolio_nav,541,541,0,0,0,0,1e-12
2026YTD-V1,market,147,147,0,0,0,0,0
2026YTD-V1,fast_bear,15,15,0,0,0,0,0
2026YTD-V1,slow_bear,38,38,0,0,0,0,0
2026YTD-V1,bull_accelerating,9,9,0,0,0,0,0
2026YTD-V1,bull_decelerating,2,2,0,0,0,0,0
2026YTD-V1,source_union,38,38,0,0,0,0,1e-12
2026YTD-V1,accepted_trades,38,38,0,0,0,0,1e-12
2026YTD-V1,portfolio_nav,147,147,0,0,0,0,1e-12
