stage,segment,n,mean_ret_5,median_ret_5,positive_rate_5,mean_ret_10,median_ret_10,positive_rate_10,mean_ret_20,median_ret_20,positive_rate_20,mean_mfe_5,mean_mae_5,mean_mfe_10,mean_mae_10,mean_mfe_20,mean_mae_20
A,MAIN,65361,0.007439657630390197,0.004095563139931535,0.5293370664463518,0.007831157675273257,0.0036057692307693845,0.5201266810483316,0.01728863894615717,0.0066037735849060475,0.5267361270482398,0.04979657381562794,-0.043640074102405654,0.07324093038376808,-0.061496175276519426,0.11023113189309042,-0.08550573413646652
A,STAR,8659,0.001861678765714487,-0.003098591549295593,0.4784617161335027,-0.0006746804496193177,-0.00878842201915131,0.4595218847441968,0.008162144158463438,-0.009216589861751223,0.4696847210994341,0.054766702123487006,-0.05255375650542219,0.08134159068210521,-0.07603319157368434,0.12360079588718266,-0.10909835670633594
A,CHINEXT,20875,0.0065503408366906326,0.002277904328018332,0.5146826347305389,0.005661078996217993,-2.220446049250313e-16,0.49782035928143714,0.015923867597634967,0.003355704697986628,0.5098443113772455,0.05548751782952642,-0.04793335281678774,0.08245461831788813,-0.06943824117166224,0.12580221680102727,-0.09899596316340205
B,MAIN,6189,0.0007994541238434904,-0.0008741258741258306,0.48796251413798675,0.004863942030004733,0.000822368421052655,0.5044433672645016,0.015071927014039373,0.002014098690835908,0.5062207141703021,0.04547520006461436,-0.044503885708673994,0.06844681591109354,-0.06259391949965992,0.10606468050071703,-0.087302718936439
B,CHINEXT,2340,0.0031751130584844055,0.001011365087472793,0.5076923076923077,0.008144101231108453,-1.6653345369377348e-16,0.4987179487179487,0.015032429313974648,-0.004063354485889847,0.4841880341880342,0.05217176140547603,-0.045338217800250075,0.07763759135669562,-0.06406923532289217,0.11855853392747583,-0.09394213259804061
B,STAR,686,-0.0018487706904334708,-0.001104809169325538,0.4868804664723032,0.005051202069624989,0.0014556892813004652,0.5102040816326531,0.01699734648209122,0.006507888425141051,0.5189504373177842,0.04666483126297334,-0.04530167898377324,0.06880578231950998,-0.06259951869405025,0.11405157929196921,-0.09342793251598973
C,MAIN,1912,-0.005099811519729629,-0.005690600972793003,0.4325313807531381,-0.0030026835053333155,-0.006879431403593261,0.4388075313807531,0.002109572784340999,-0.007228634517730925,0.46129707112970714,0.035605757600757966,-0.036850052161615965,0.05321247502070071,-0.052821212345189474,0.08646707483445047,-0.07846039209293629
C,CHINEXT,660,-0.005010137324210087,-0.004801984762739131,0.44696969696969696,-0.001561060039407456,-0.009401624642130513,0.43636363636363634,-0.005049525794758696,-0.012919923571304004,0.4393939393939394,0.0395250784098839,-0.03973969301270023,0.05915187524655971,-0.057746068980623365,0.08992658848866456,-0.08890305859490552
C,STAR,255,0.0029511686383326564,-0.0014117647058824456,0.49019607843137253,-0.0004701037655317497,-0.007346938775510403,0.4392156862745098,0.015183768047755142,-0.003995433789954039,0.48627450980392156,0.04372826750534288,-0.03762998949033289,0.06241090370761649,-0.056129847541326945,0.1069097659983405,-0.0868252063728671
D,MAIN,1267,-0.0022917112789485506,-0.006435006435006274,0.4222573007103394,-0.0011943582744785163,-0.00846153846153852,0.44435674822415155,0.004059689386425947,-0.008084577114427782,0.4601420678768745,0.03952059806969189,-0.03521769088137745,0.05811494338814822,-0.051243137724901376,0.09217027318182293,-0.0774583403012567
D,CHINEXT,447,-0.004744522380673269,-0.010450685826257189,0.40492170022371365,-0.0024430677194129387,-0.00743099787685797,0.4451901565995526,-0.0058767707660088665,-0.019512195121950793,0.42953020134228187,0.040886692641791206,-0.039194279073028214,0.06105043171134945,-0.0559559146182497,0.0910141279057047,-0.09034914410419896
D,STAR,187,0.0019422602729507162,-0.002680366316729965,0.47058823529411764,0.0018459582250020823,-0.009126984126984206,0.47058823529411764,0.017233923532177765,-0.007332205301748496,0.46524064171123,0.04413037971362991,-0.03894430122496244,0.06634132964900788,-0.056698716124629074,0.11502206166514696,-0.08848841451262533
