variable,quintile,n,value_min,value_max,mean_ret_5,mean_ret_10,mean_ret_20,positive_rate_20,mean_mfe_20,mean_mae_20
drawdown_60,1,18979,-0.8082490272373539,-0.27691043549712424,0.010332166580068325,0.01178355051393719,0.025899398124493087,0.5403340534274724,0.14418815925757172,-0.10519468684072869
drawdown_60,2,18979,-0.2769031054693212,-0.22095857026807497,0.006135783662024876,0.007414866588780414,0.015359717675260804,0.5115127245903367,0.12187672117622994,-0.09488998943352998
drawdown_60,3,18979,-0.22095466826778754,-0.1837686567164184,0.007763791141141225,0.006951979540753861,0.017703799045509956,0.5159386690552716,0.11481285105385212,-0.08896635026468346
drawdown_60,4,18979,-0.18376383763837634,-0.16099405726634286,0.007284167972560929,0.005562577115729987,0.014459841734855223,0.5195742662943253,0.10356146506808106,-0.0836879035764165
drawdown_60,5,18979,-0.1609915554344863,-0.15000000000000002,0.002159316092235294,0.0011752323025686106,0.007355444195925155,0.5017124189894093,0.08994288779922739,-0.08039156625693568
dryup_ratio,1,18979,0.06939837257691903,0.7511311587301523,0.007311006426042925,0.010828732639664624,0.021198696642770017,0.5236840718689078,0.11881315762700757,-0.08990163894023386
dryup_ratio,2,18979,0.751142070384897,0.8746138356828899,0.0059546258352820855,0.006782954917665476,0.017531500832982813,0.5221033774171453,0.11320174611649453,-0.0873493526243393
dryup_ratio,3,18979,0.8746193637569306,0.996900890853681,0.006535634262115257,0.006717051043081674,0.016390342120567697,0.5250013172453765,0.11336358995807831,-0.08802774842168866
dryup_ratio,4,18979,0.9969093347885688,1.1875857028908692,0.007356703766988975,0.004310096159752719,0.012402903428232625,0.5109331366246904,0.11207868573001875,-0.09203162846719914
dryup_ratio,5,18979,1.1876130784001864,98.84097387613,0.0065172551576013465,0.004249371301605371,0.013254757751490901,0.5073502292006955,0.11692490492336392,-0.09582012791883245
distance_from_low_60,1,18979,-2.220446049250313e-16,0.009382716049382678,0.018133927655996453,0.019030284322223343,0.03788204960727795,0.5920227620001054,0.12093084741572464,-0.08078277935516515
distance_from_low_60,2,18979,0.009383378016085908,0.02479941648431816,0.0062468331862871275,-0.0006090212175433227,0.014217461968238464,0.5153590810896254,0.11239160150960034,-0.09649774222869514
distance_from_low_60,3,18979,0.024799999999999933,0.0360934182590229,0.004059043534876296,0.003675440962467592,0.008536690028902182,0.4955477106275357,0.11347389158686194,-0.09600566755500567
distance_from_low_60,4,18979,0.036093418259023125,0.0439663236669785,0.0029699131652911707,0.005675017707988328,0.010746231622724794,0.49249170135412823,0.11470622530751608,-0.0904709835882802
distance_from_low_60,5,18979,0.04396693789267725,0.04999999999999982,0.002265507905579597,0.0051164842866340205,0.009395767548900728,0.49365087728542073,0.11287951853525978,-0.08937332364514845
downside_impact_ratio,1,18979,0.0,1.3120865112883775,-0.0010269703421721408,0.0018617722480586201,0.005306076209191583,0.48537857632119713,0.10722617603686789,-0.09064745430786063
downside_impact_ratio,2,18979,1.3120991332644343,1.7143776307852379,0.0009472794561826653,0.0032558325060494994,0.008027735839952576,0.4961799884082407,0.10879390790683363,-0.09147093661063975
downside_impact_ratio,3,18979,1.7143785824101956,2.1218302443688484,0.0020017245718028398,0.0013616698738433844,0.008947825962390115,0.49949944675694186,0.10779938536386575,-0.09272403146420968
downside_impact_ratio,4,18979,2.1218468561316675,2.698053010338033,0.003932465593375779,-0.0009058106063915669,0.008156938389758535,0.5013962800990569,0.10864082054465957,-0.09616573019938866
downside_impact_ratio,5,18979,2.6981203611682703,78.05510004306495,0.027820726168841473,0.027314742040210043,0.050339624374751514,0.6066178407713789,0.14192179450273654,-0.08212234379019534
