stage,time_block,n,mean_ret_5,median_ret_5,positive_rate_5,mean_ret_10,median_ret_10,positive_rate_10,mean_ret_20,median_ret_20,positive_rate_20,mean_mfe_5,mean_mae_5,mean_mfe_10,mean_mae_10,mean_mfe_20,mean_mae_20
A,2023-2024,30127,-0.0015271717782575265,-0.0034482758620688614,0.47004348259036743,-0.006969328549870029,-0.010365853658536706,0.439838019052677,0.0006582060552839034,-0.00939849624060174,0.4589570816875228,0.04578235441205469,-0.048340471929586265,0.07132075618066594,-0.07338580263927234,0.10575066214629962,-0.10590680645129752
A,2025-2026,23909,0.013828922872430026,0.010309278350515427,0.5743025638880757,0.014688624796151708,0.011976047904191711,0.5674850474716634,0.0336521934704643,0.023762861342478736,0.5837132460579698,0.056590920876546595,-0.04458548417568601,0.08011890901304068,-0.05983525533175337,0.12375688878574899,-0.08151060300134436
A,2020-2022,40859,0.008676068699302677,0.0041025641025638215,0.5284759783646198,0.011820159421842795,0.004901960784313264,0.5273746298245184,0.017344266991744118,0.006006006006006093,0.5226510683080839,0.05274146090047659,-0.04370353807139464,0.0770560714865277,-0.06083974171426902,0.11640872088188181,-0.08469302541746974
B,2023-2024,2411,-0.004198451125713814,-0.004437869822485063,0.4620489423475736,0.006841280642953061,-0.002749770852428779,0.4807133969307341,0.014263587767859428,-0.005714285714285339,0.4836167565325591,0.0434613469316235,-0.047445845743014914,0.07399457260182912,-0.06685164063758409,0.11522534252586177,-0.09797242312524886
B,2025-2026,2164,0.006525879545633718,0.003586204520792391,0.5258780036968577,0.011609697547070589,0.007160957045302507,0.5378927911275416,0.041033837513950344,0.0207651701249153,0.58271719038817,0.050757029262548596,-0.04725270585429242,0.07342162305870868,-0.06304847918397304,0.12311267946171174,-0.0808765644410125
B,2020-2022,4640,0.001532282707549172,-2.220446049250313e-16,0.49353448275862066,0.0023723158625506965,0.0,0.4991379310344828,0.0036485961385360685,-0.005916424975831169,0.4730603448275862,0.04761131257733022,-0.04223192683865067,0.06793206191326594,-0.060914403821497515,0.10083545715916487,-0.08900954350812051
C,2023-2024,647,-0.0024331345015074024,-0.006462035541195177,0.42040185471406494,0.005782470505881522,-0.005509641873278293,0.4574961360123648,0.011439391711004384,-0.004324843825084135,0.482225656877898,0.03879683055193462,-0.03757849655859873,0.061710507395022235,-0.0512852631695412,0.0977307422395839,-0.07646658994612239
C,2025-2026,646,0.002381112664754777,0.0017157706694449493,0.5154798761609907,0.004855257386950921,2.220446049250313e-16,0.5,0.01747740314445482,0.003787424704890574,0.5170278637770898,0.03784019096126228,-0.035023713306281234,0.059907219223824915,-0.049258279410815134,0.10191912362663512,-0.06847689627967464
C,2020-2022,1534,-0.007998007181149402,-0.007619742764562121,0.41851368970013036,-0.008975920233176303,-0.01139818287327743,0.4041720990873533,-0.009204049463520755,-0.01744576244732282,0.423728813559322,0.03635538185720858,-0.03868483596620319,0.0508934214110698,-0.05763837085017756,0.08009585510022664,-0.08938902039608991
D,2023-2024,420,0.01043712486553618,0.002073679811857132,0.5190476190476191,0.015286100758152168,0.006046986721144343,0.5333333333333333,0.02881120146531441,0.0035129020423136925,0.5214285714285715,0.04868297153696782,-0.0318491185302736,0.0744978327826439,-0.04386831493013514,0.11728837865569751,-0.06490687764987553
D,2025-2026,477,-0.00030768618005552024,-0.004507888805409199,0.43186582809224316,0.0046526639845731466,-0.00743099787685797,0.4591194968553459,0.0010813959328708645,-0.01630434782608703,0.4276729559748428,0.04071263662502979,-0.03554672305291987,0.06360206321092592,-0.04906266087301191,0.0992927123412423,-0.07498924143200886
D,2020-2022,1004,-0.008862572867714833,-0.011516357206012406,0.3784860557768924,-0.010856167385788621,-0.012012024048096426,0.40537848605577687,-0.006849678142129979,-0.014797643107939407,0.43725099601593626,0.036588201848569125,-0.03893508440483979,0.05149375594800732,-0.05847851368528867,0.08202035259406039,-0.09167565867939657
