stage,n,mean_ret_5,median_ret_5,positive_rate_5,mean_ret_10,median_ret_10,positive_rate_10,mean_ret_20,median_ret_20,positive_rate_20,mean_mfe_5,mean_mae_5,mean_mfe_10,mean_mae_10,mean_mfe_20,mean_mae_20
A,867579,0.002341939974080646,-2.220446049250313e-16,0.49446217577880514,0.005360074160856849,-3.3306690738754696e-16,0.4958510982861503,0.01586249706470685,0.0032881216605016306,0.512575800013601,0.04727788321402606,-0.04471113579644404,0.07260937079612156,-0.06435130513151165,0.11189115964913302,-0.08929739595478124
B,23867,-0.0005618095344829868,-0.0017452006980805956,0.48351280010055725,0.004713787355370213,0.0,0.4987639837432438,0.014674801287037666,0.0010752688172042113,0.5033309590648175,0.04484200985972103,-0.0445159343498258,0.06900563017236927,-0.06285722895574039,0.10824001956223982,-0.08957328350778529
C,4573,-0.005455400000336021,-0.007109004739336067,0.4165755521539471,-0.004119907385866949,-0.009433962264151052,0.42685326918871636,-0.0009886575965671106,-0.0108108108108107,0.448939427071944,0.035251453779239335,-0.036939265102522385,0.052844492845300337,-0.054077568901254626,0.08526699406068086,-0.08156840829670367
D,3833,-0.0008686140366912894,-0.006239364719228591,0.4309939994782155,0.0020447594642432195,-0.00483091787439649,0.46777980693973387,0.010239727591392358,-0.003687400779333272,0.4842160187842421,0.04280907449170679,-0.036696960782336606,0.06401157908583331,-0.05252556104434531,0.10138378537683129,-0.07859849725206343
