year,strategy,route,period_label,start_nav,end_nav,annual_return,realized_pnl,unrealized_pnl_change,net_pnl,fees,MaxDD,MaxDD_start,MaxDD_trough,MaxDD_recovery,CVaR5,Sharpe,worst_month,worst_month_return,best_month,best_month_return,trade_count,completed_trade_count,open_trade_count,independent_signal_days,win_rate,mean_trade_return,median_trade_return,worst_trade_return,best_trade_return,average_holding_days,median_holding_days,average_gross_exposure,median_gross_exposure,p95_gross_exposure,max_gross_exposure,capital_days,average_cash_ratio,turnover,max_single_security_weight,best_1_day_pnl_fraction,best_5_days_pnl_fraction,top_5_events_pnl_fraction,top_5_symbols_pnl_fraction,top_5_events_absolute_pnl,top_5_symbols_absolute_pnl,gap,mcb_mode,source
2018,ATRDR,,2018,1595727.801372573,1812965.4784152764,0.13613705097814632,216193.20408233686,34002.43333350991,217237.67704270338,32957.96037314339,0.05720671877076178,2018-01-02,2018-03-23,NA_UNRECOVERED,-0.015087621531960261,1.3038041805904377,2018-04-30,-0.01144348232569048,2018-03-31,0.06979749591465101,564,287,0,0,0.6167247386759582,0.02141158998881644,0.02804690831556518,-0.22697064846416382,0.12669565217391324,,,0.2775854577238267,0.1679918909670865,0.8380090071828161,0.949044804104792,162433212.3537693,0.7224145422761732,9.724129585945903,,1.3912950331175593e-07,5.30423417529799e-07,0.12209276663680087,0.13408267189736894,26523.149007895496,29127.808174663394,OGR,independent,AUTHORITATIVE_CONTINUOUS_NATIVE
2019,ATRDR,,2019,1812965.4784152764,2066166.8216188406,0.13966142555835592,259245.50804253414,23056.070749059825,253201.34320356417,29100.235588029795,0.05348984954318714,2019-01-02,2019-12-23,NA_UNRECOVERED,-0.012206265638562376,1.5758887300466788,2019-07-31,-0.01837926068936213,2019-03-31,0.08858795753481585,421,193,35,0,0.5854922279792746,0.031198511427800557,0.042648044692737544,-0.19420708446866478,0.12669565217391354,,,0.18930730237541776,0.019510265169093335,0.8335953866732637,0.9361462714820437,135934374.33063227,0.8106926976245822,7.127061957798085,,1.507953799855978e-07,4.880145051075907e-07,0.11591719641061235,0.13846592073807218,29350.389831558416,35059.75711879813,OGR,independent,AUTHORITATIVE_CONTINUOUS_NATIVE
2020,ATRDR,,2020,2066166.8216188406,2317519.9500511168,0.12165190429073935,238059.89872714903,50395.60821728957,251353.1284322762,37102.37851216241,0.06161052018200108,2020-01-02,2020-03-23,NA_UNRECOVERED,-0.015352879499483087,1.261984034366491,2020-03-31,-0.03282458711068359,2020-07-31,0.07320733155455961,492,267,0,0,0.602996254681648,0.01698970309494608,0.028762942779291638,-0.3049486733362332,0.14296560095860478,,,0.23048860016638695,0.12880632858523344,0.7289030018307568,0.9573193639556334,177821982.90064618,0.7695113998336132,8.458647945111487,,1.4100795944243143e-07,4.917466307279359e-07,0.15891784943673376,0.16341966282662748,39944.49861965247,41076.04349882057,OGR,independent,AUTHORITATIVE_CONTINUOUS_NATIVE
2021,ATRDR,,2021,2317519.9500511168,2696150.156018079,0.16337732322805287,351567.4281891735,58771.82073026497,378630.20596696204,31709.042952476448,0.014160836914922648,2021-01-04,2021-12-06,2021-12-31,-0.004767954339240863,3.650166097739041,2021-07-31,-0.0006387301367367648,2021-12-31,0.048145106844672325,364,179,6,0,0.6983240223463687,0.03781789060295353,0.049576791808873595,-0.2324723926380368,0.14812181818181813,,,0.1742035944018677,0.07910481250834753,0.589949039310172,0.7792915537238331,151900081.03573063,0.8257964055981323,6.49612731435465,,3.17209771594685e-08,1.242099384134498e-07,0.09576261141477174,0.09576261141477174,36258.617283909174,36258.617283909174,OGR,independent,AUTHORITATIVE_CONTINUOUS_NATIVE
2022,ATRDR,,2022,2696150.156018079,2904745.0476324745,0.07736768337949984,204877.3319987456,54484.561118952595,208594.89161439566,50767.00150330253,0.06077383566465233,2022-01-04,2022-03-15,NA_UNRECOVERED,-0.013213540877564144,0.974054269857127,2022-03-31,-0.026246113572776397,2022-05-31,0.07055015273320953,515,263,0,0,0.6045627376425855,0.009587040767912043,0.013578947368421065,-0.3266440000000002,0.1266956521739134,,,0.2578900884391124,0.19311897493811553,0.7493014944881898,0.8956808192785723,250320157.195769,0.7421099115608877,9.10532127389259,,9.428483225132035e-08,3.7503009321942093e-07,0.2284401010413345,0.2639992565983664,47651.43811709876,55068.896316417275,OGR,independent,AUTHORITATIVE_CONTINUOUS_NATIVE
2023,ATRDR,,2023,2904745.0476324745,3111702.345194045,0.07124800771422324,192150.07682728564,53882.67713201386,206957.29756157054,39075.45639772896,0.022934297012059512,2023-01-03,2023-02-17,NA_UNRECOVERED,-0.008562703413538238,1.3091776313532992,2023-12-31,-0.0033368765249921495,2023-05-31,0.02013943399878082,380,191,0,0,0.5759162303664922,0.01638914187086718,0.016093582887700564,-0.184237804878049,0.12669565217391346,,,0.18574074697889228,0.0408719550665237,0.9140260270093297,0.9860243661158183,204339444.33217365,0.8142592530211078,6.37698577868328,,7.675105171256879e-08,3.222746912069147e-07,0.21664523327725282,0.224261596541973,44836.31200865628,46412.573967169985,OGR,independent,AUTHORITATIVE_CONTINUOUS_NATIVE
2024,ATRDR,,2024,3111702.345194045,3529656.778674195,0.13431697094218253,409453.4666551203,78773.19775573249,417954.43348015007,70272.23093070273,0.10870967623667294,2024-01-02,2024-07-10,NA_UNRECOVERED,-0.0179451899287548,0.9994892947836459,2024-05-31,-0.04984315984109666,2024-09-30,0.12201690065214144,619,308,3,0,0.6136363636363636,0.015013817726796597,0.08709090909090902,-0.8473122171945702,0.1266956521739132,,,0.24060543287248992,0.1696173239968943,0.8006616464679115,0.8737511679959111,301543952.02657914,0.7593945671275102,10.65939688297565,,1.8409940691479373e-07,4.3679639764612896e-07,0.22754104693187785,0.22411801951580015,95101.78936389324,93671.11987941946,OGR,independent,AUTHORITATIVE_CONTINUOUS_NATIVE
2025,ATRDR,,2025,3529656.778674195,3881310.990275195,0.09962844368485246,321885.68117945467,102760.73300403007,351654.2116009998,72992.20258248493,0.04176010042932721,2025-01-02,2025-05-15,NA_UNRECOVERED,-0.011393306953149952,1.319008296427249,2025-04-30,-0.009026469354904032,2025-02-28,0.051452343126229705,584,295,0,0,0.5525423728813559,0.011351064052600206,0.00941964285714284,-0.28035532994923873,0.17785509325681495,,,0.27670342967194006,0.20423369725459814,0.8424443598791188,0.9763454361931299,365919633.98535925,0.7232965703280602,9.705358597718158,,6.116566442185881e-08,2.166098620556554e-07,0.17773592139679775,0.19705937201534676,62501.585311968185,69296.75810464489,OGR,independent,AUTHORITATIVE_CONTINUOUS_NATIVE
2026,ATRDR,,2026 YTD,3881310.990275195,4147865.96198853,0.0686765302706227,278214.07131772675,37291.99999192814,266554.97171333525,48951.09959631963,0.04058684887807262,2026-01-05,2026-06-26,NA_UNRECOVERED,-0.008801870810023026,1.463914343106664,2026-06-30,-0.015243846177584452,2026-05-31,0.03559489946147987,360,175,10,0,0.5885714285714285,0.0038532759988298385,0.04045733788395926,-1.4059399141630906,0.12669565217391318,,,0.22024412254168935,0.13358879493096937,0.7825866807110928,0.8563497613568111,215353680.6172744,0.7797558774583107,5.969690359955636,,8.090914391161688e-08,2.8517596417443673e-07,0.539079641491937,0.5458050950842636,143694.35858911817,145487.06168118014,OGR,independent,AUTHORITATIVE_CONTINUOUS_NATIVE
2018,MCB,,2018,1312977.2340191728,1337805.9384402523,0.01891023223995747,24217.41692014872,7037.173610906906,24828.704421079485,6425.886109976142,0.0230555729605616,2018-01-02,2018-11-23,NA_UNRECOVERED,-0.006671745758039476,0.4429971511366804,2018-06-30,-0.004945314076553409,2018-12-31,0.011890495199213369,141,71,0,0,0.49295774647887325,0.008307336796216988,-0.004000000000000115,-0.1272963604852688,0.1266956521739132,,,0.07180872029986586,0.0,0.5076406912646093,0.6590455650459216,32298662.025361985,0.9281912797001343,2.4404094840796042,,7.244014550422216e-07,2.3166121529084018e-06,0.7066608491330565,0.7066608491330565,17545.4733490737,17545.4733490737,OGR,independent,AUTHORITATIVE_CONTINUOUS_NATIVE
