strategy,2018,2019,2020,2021,2022,2023,2024,2025,2026
ATRDR,0.2775854577238267,0.18930730237541776,0.23048860016638695,0.1742035944018677,0.2578900884391124,0.18574074697889228,0.24060543287248992,0.27670342967194006,0.22024412254168935
IFCGR,0.04346701096248328,0.006025467191433462,0.003426664583814126,0.004909102124906581,0.010782004510017585,0.0026591854349594345,0.00891316435887727,0.0071264896317907705,0.009914271858615323
MCB,0.07180872029986586,0.12850561428615895,0.14624524630534588,0.08217124403127309,0.07489832259274683,0.13106300989865904,0.07211540610475212,0.16211331850557562,0.10442976463301575
OGR,0.04414507256143743,0.006294295819888118,0.0034333889981271737,0.004936681232033209,0.010788450121976417,0.0026556888784568487,0.009020617350800779,0.008034609971713238,0.012599812069210662
SMV6,0.029306452995221218,0.15500963147187946,0.2446227107201529,0.17388527982296625,0.08949519380543096,0.14154387565677712,0.23492284894925178,0.4006568811381945,0.21792711181394808
