strategy,year,best_1_day_pnl_fraction,best_5_days_pnl_fraction,top_5_events_pnl_fraction,top_5_events_absolute_pnl
ATRDR,2018,1.3912950331175593e-07,5.30423417529799e-07,0.12209276663680087,26523.149007895496
ATRDR,2019,1.507953799855978e-07,4.880145051075907e-07,0.11591719641061235,29350.389831558416
ATRDR,2020,1.4100795944243143e-07,4.917466307279359e-07,0.15891784943673376,39944.49861965247
ATRDR,2021,3.17209771594685e-08,1.242099384134498e-07,0.09576261141477174,36258.617283909174
ATRDR,2022,9.428483225132035e-08,3.7503009321942093e-07,0.2284401010413345,47651.43811709876
ATRDR,2023,7.675105171256879e-08,3.222746912069147e-07,0.21664523327725282,44836.31200865628
ATRDR,2024,1.8409940691479373e-07,4.3679639764612896e-07,0.22754104693187785,95101.78936389324
ATRDR,2025,6.116566442185881e-08,2.166098620556554e-07,0.17773592139679775,62501.585311968185
ATRDR,2026,8.090914391161688e-08,2.8517596417443673e-07,0.539079641491937,143694.35858911817
MCB,2018,7.244014550422216e-07,2.3166121529084018e-06,0.7066608491330565,17545.4733490737
MCB,2019,1.8855773736528644e-07,6.17432849346539e-07,0.10901499081856297,20968.40668807667
MCB,2020,1.7898219626000473e-07,6.425049050111894e-07,0.13719876056103952,23724.37497003425
MCB,2021,7.12718010585234e-08,3.122328395466271e-07,0.2234649972213112,25553.745847969392
MCB,2022,2.4178989359295894e-07,7.858572280965433e-07,0.6983845245555983,25375.355505654916
MCB,2023,1.6377472874859625e-07,6.81812321151417e-07,0.28207847384650064,27364.09894074491
MCB,2024,3.803158670191795e-07,7.921935863697927e-07,0.21002180925075015,38438.773499825715
MCB,2025,1.579036204516383e-07,5.901260787583815e-07,0.39277815230538865,31483.05528743692
MCB,2026,1.5515860487143852e-07,5.082029131120206e-07,0.22795432932268433,29413.44277776884
OGR,2018,2.2612119157818805e-07,7.045701669617739e-07,0.06843103954937879,6169.846974412956
OGR,2019,2.789707092852079e-07,8.590499462406786e-07,0.5146952588172772,4345.839594156594
OGR,2020,3.0228766577879787e-07,1.0438939733032504e-06,0.9865797143084238,4166.922064118497
OGR,2021,2.876470857602674e-07,7.015444695536571e-07,0.685240642961189,5030.226587379562
OGR,2022,1.0194101080857354e-07,4.825022549047342e-07,0.3984069628198564,6770.68247766322
OGR,2023,4.782747082877411e-07,1.532401637553367e-06,1.4309534279591285,1564.169690381932
OGR,2024,2.3371789417300954e-07,8.67371672491312e-07,0.32524102991914705,9925.185851622855
OGR,2025,4.0661860688675064e-07,1.3477272935872954e-06,0.615463340515904,4643.0039735609935
OGR,2026,3.738014290490582e-07,1.4401819804369835e-06,2.1616402082150614,11772.28893784196
SMV6,2018,3.5792402585858426e-07,1.3723694512953443e-06,0.9999999999999973,22037.74926284229
SMV6,2019,7.108835707886056e-07,2.591005489139618e-06,1.7914748653758785,49991.29669451372
SMV6,2020,2.0327881195820465e-07,8.041666744769029e-07,0.5949821425983332,100634.09266045428
SMV6,2021,9.685291899375319e-07,3.3945706991233684e-06,2.824234821021587,116288.20020414854
SMV6,2022,6.898361408467917e-07,2.379264067543094e-06,0.9031974746304801,31083.991696167617
SMV6,2023,5.461683713728501e-07,2.1013158486108907e-06,1.192647840820859,83947.27765247991
SMV6,2024,2.1403244745224495e-07,8.498479854578093e-07,0.9907383321817671,462509.760064216
SMV6,2025,8.711276046864194e-08,3.2831873190701703e-07,0.5958487008635599,228912.37073909602
SMV6,2026,7.041917438939895e-08,2.484580733704503e-07,1.1144062332538418,693210.630804936
IFCGR,2018,2.3297627790922344e-07,7.257599275385589e-07,0.0704773109592599,6164.000013662213
IFCGR,2019,3.041997653761359e-07,9.172008426285978e-07,0.5599530454782685,4328.931801420658
IFCGR,2020,3.0289061394469366e-07,1.0468078364294264e-06,0.9864941437718937,4146.176627925791
IFCGR,2021,2.0395643124914606e-07,7.291473120265562e-07,0.7359814024480726,4255.894731947231
IFCGR,2022,1.0242360088280751e-07,4.848200846437413e-07,0.3982408388897042,6733.405634032504
IFCGR,2023,4.811486958877511e-07,1.5412812606597626e-06,1.4320867982921268,1558.6099822956603
IFCGR,2024,2.320022158590694e-07,8.767204002066013e-07,0.3387548495139535,9871.556076370503
IFCGR,2025,4.4748473871416727e-07,1.4269821061222804e-06,0.6223259679291834,4196.954556886659
IFCGR,2026,1.3498931750761166e-07,5.890089822610059e-07,0.5354162194063264,6501.893242108641
