strategy,2018,2019,2020,2021,2022,2023,2024,2025,2026
ATRDR,0.001337396914675143,0.0018626733999430067,0.0014135098728075357,0.0024926267542799987,0.0008333124026095066,0.0010128112966047874,0.0013860481388242537,0.0009610148757829972,0.001237754427736276
IFCGR,0.0057665521852727246,0.0034031905512495924,0.003322550982129661,0.0030052065749788213,0.0038158291954366406,0.0010092673535535624,0.007769624394625148,0.001993533711975127,0.0044806192180088435
MCB,0.0007687223824189113,0.002794616943170901,0.0020721913168273392,0.0022731545168967484,0.0007620371848116733,0.001045244127483074,0.0030488566610119812,0.0006709057337787721,0.002256479670027496
OGR,0.005843093724813962,0.003571465930735105,0.003321971513393238,0.003754844911224263,0.0038157871146012193,0.0010104525438867599,0.007996210923732861,0.0019761515053531766,0.0015608697321424616
SMV6,0.0023612473904119366,0.0005098117370233076,0.001736126069825634,0.0005638092806537191,0.0008753680544266131,0.0009529282027036253,0.0034223716286898988,0.0013701091568146641,0.0046486687757132175
