strategy,route,universe,status
ATRDR,CONFIRMED,PARENT_FROZEN_MAIN_CHINEXT,PASS
MCB,CONFIRMED,PARENT_FROZEN_MAIN_CHINEXT,PASS
OGR,CONFIRMED,PARENT_FROZEN_MAIN_CHINEXT,PASS
IFCGR,CONFIRMED,PARENT_FROZEN_MAIN_CHINEXT,PASS
SMV6,CONFIRMED,PARENT_FROZEN_152_ETF,PASS
