strategy,year,top_5_symbols_pnl_fraction,top_5_symbols_absolute_pnl
ATRDR,2018,0.13408267189736894,29127.808174663394
ATRDR,2019,0.13846592073807218,35059.75711879813
ATRDR,2020,0.16341966282662748,41076.04349882057
ATRDR,2021,0.09576261141477174,36258.617283909174
ATRDR,2022,0.2639992565983664,55068.896316417275
ATRDR,2023,0.224261596541973,46412.573967169985
ATRDR,2024,0.22411801951580015,93671.11987941946
ATRDR,2025,0.19705937201534676,69296.75810464489
ATRDR,2026,0.5458050950842636,145487.06168118014
MCB,2018,0.7066608491330565,17545.4733490737
MCB,2019,0.13040781772197743,25083.19394210669
MCB,2020,0.1484477582873284,25669.548811286313
MCB,2021,0.2234649972213112,25553.745847969392
MCB,2022,0.6983845245555983,25375.355505654916
MCB,2023,0.28207847384650064,27364.09894074491
MCB,2024,0.23050457466699417,42187.58598408087
MCB,2025,0.39277815230538865,31483.05528743692
MCB,2026,0.22795432932268433,29413.44277776884
OGR,2018,0.07186118423126275,6479.114054479002
OGR,2019,0.5146952588172772,4345.839594156594
OGR,2020,0.9865797143084238,4166.922064118497
OGR,2021,0.685240642961189,5030.226587379562
OGR,2022,0.3984069628198564,6770.68247766322
OGR,2023,1.418125034605615,1550.1470229297274
OGR,2024,0.32524102991914705,9925.185851622855
OGR,2025,0.615463340515904,4643.0039735609935
OGR,2026,2.1616402082150614,11772.28893784196
SMV6,2018,0.9999999999999973,22037.74926284229
SMV6,2019,1.985088253473318,55394.09888586812
SMV6,2020,0.7820114994676667,132267.86497371833
SMV6,2021,2.824234821021587,116288.20020414854
SMV6,2022,1.2786552567120315,44005.558583031685
SMV6,2023,1.3787012857214127,97043.07983539198
SMV6,2024,0.9844491674487805,459573.76780756
SMV6,2025,0.7325726303691957,281438.790272344
SMV6,2026,1.1144062332538418,693210.630804936
IFCGR,2018,0.07397039087885876,6469.507479527036
IFCGR,2019,0.5599530454782685,4328.931801420658
IFCGR,2020,0.9864941437718937,4146.176627925791
IFCGR,2021,0.7359814024480726,4255.894731947231
IFCGR,2022,0.3982408388897042,6733.405634032504
IFCGR,2023,1.4187422035843607,1544.0864083432862
IFCGR,2024,0.3387548495139535,9871.556076370503
IFCGR,2025,0.6223259679291834,4196.954556886659
IFCGR,2026,0.5354162194063264,6501.893242108641
