gap,mcb_mode,days,max_sleeve_nav_error,status,source
OGR,independent,2106,4.0978193283081055e-08,PASS,AUTHORITATIVE_CONTINUOUS_NATIVE
OGR,confirmation_tag,2106,4.6566128730773926e-08,PASS,AUTHORITATIVE_CONTINUOUS_NATIVE
IFCGR,independent,2106,3.073364496231079e-08,PASS,AUTHORITATIVE_CONTINUOUS_NATIVE
IFCGR,confirmation_tag,2106,3.5390257835388184e-08,PASS,AUTHORITATIVE_CONTINUOUS_NATIVE
