strategy,2018,2019,2020,2021,2022,2023,2024,2025,2026
ATRDR,0.13613705097814632,0.13966142555835592,0.12165190429073935,0.16337732322805287,0.07736768337949984,0.07124800771422324,0.13431697094218253,0.09962844368485246,0.0686765302706227
IFCGR,0.08746077183939915,0.0071091148978028595,0.0038376305400769084,0.005259814633425508,0.0152987893192853,0.0009699343139721872,0.025944976072756143,0.005852554319442982,0.010477148454882457
MCB,0.01891023223995747,0.1437758981651267,0.11300834931221893,0.06714483055840348,0.01999225031127483,0.05233093414935053,0.0938210026497841,0.03756455380730772,0.058281614606402465
OGR,0.09016152633427255,0.007745200658439089,0.0038445154169950424,0.006656353751210542,0.015307922274164332,0.0009697757337496782,0.027047386187171396,0.0065102604876208225,0.004669396963682626
SMV6,0.0220377492628423,0.0273034008769506,0.16109258154036832,0.03377554244772929,0.027308340130997033,0.054366930071948705,0.341987773193555,0.20971686228560582,0.280697168828997
