portfolio,period,variant,trade_date,return_,ATRDR_contribution,MCB_contribution,OGR_contribution,SMV6_contribution,IFCGR_contribution
A,2018_2021,ALL_NATIVE,2020-07-16,-0.022579929396482235,-0.008996000170939942,-0.005361077895938168,0.0,-0.008222851329604073,
A,2018_2021,ALL_NATIVE,2020-07-24,-0.02068874155032807,-0.0072607382500872,-0.006157447124597423,0.0,-0.007270556175643363,
A,2018_2021,ALL_NATIVE,2019-09-17,-0.01691559452461544,-0.007427551780860655,-0.006543610618998892,-4.861029714651651e-05,-0.0028958218276091984,
A,2018_2021,ALL_NATIVE,2018-03-23,-0.015819204705643464,-0.01272236115177311,-0.003096843553870279,0.0,0.0,
A,2018_2021,ALL_NATIVE,2018-11-23,-0.014018027554304147,-0.008912187457189337,-0.0048362750030846585,-0.00026956509403025714,0.0,
A,2018_2021,ALL_NATIVE,2020-07-15,-0.013244748124063288,-0.006376110147917791,-0.00514837553708461,0.0,-0.0017202624390609351,
A,2018_2021,ALL_NATIVE,2019-09-25,-0.011647827626134921,-0.005446570235494066,-0.0047552245014495275,0.0,-0.0014460328891913706,
A,2018_2021,ALL_NATIVE,2019-12-23,-0.010395801317509057,-0.003588160538737567,-0.0018924703061169196,0.0,-0.004915170472654666,
A,2018_2021,ALL_NATIVE,2019-09-26,-0.010276068549333384,-0.0036702936104187015,-0.003567253388553739,0.0,-0.0030385215503609983,
A,2018_2021,ALL_NATIVE,2020-01-23,-0.009930093004675289,-0.0014917229118754126,-0.00010216622267901783,0.0,-0.008336203870120941,
A,2018_2021,GAP_ATR1_ONLY,2020-07-16,-0.022619066124201948,-0.009011592514169855,-0.005370369999656196,0.0,-0.008237103610375912,
A,2018_2021,GAP_ATR1_ONLY,2020-07-24,-0.02072448990279452,-0.007273284176551658,-0.006168086659610692,0.0,-0.007283119066632339,
A,2018_2021,GAP_ATR1_ONLY,2019-09-17,-0.01693983542227606,-0.00743831167723491,-0.006553089997164296,-4.841689831390519e-05,-0.002900016849562956,
A,2018_2021,GAP_ATR1_ONLY,2018-03-23,-0.015819204705643464,-0.01272236115177311,-0.003096843553870279,0.0,0.0,
A,2018_2021,GAP_ATR1_ONLY,2018-11-23,-0.01401187260014003,-0.008922152098010503,-0.004841682400937275,-0.0002480381011922699,0.0,
A,2018_2021,GAP_ATR1_ONLY,2020-07-15,-0.013267400048890376,-0.006387014935717939,-0.005157180583020918,0.0,-0.0017232045301514803,
A,2018_2021,GAP_ATR1_ONLY,2019-09-25,-0.011664771447200573,-0.005454493233194079,-0.004762141814760298,0.0,-0.0014481363992462938,
A,2018_2021,GAP_ATR1_ONLY,2019-12-23,-0.010413004933913839,-0.0035940984492094526,-0.0018956020832843867,0.0,-0.004923304401420001,
A,2018_2021,GAP_ATR1_ONLY,2019-09-26,-0.010291193331844473,-0.00367569571457388,-0.003572503833449531,0.0,-0.0030429937838210705,
A,2018_2021,GAP_ATR1_ONLY,2020-01-23,-0.0099459500767346,-0.0014941050001090913,-0.00010232936890073612,0.0,-0.008349515707724613,
A,2018_2021,MCB_PROFIT_ONLY,2020-07-16,-0.021690382731341273,-0.009028087878136295,-0.00441011355019394,0.0,-0.008252181303011124,
A,2018_2021,MCB_PROFIT_ONLY,2020-07-24,-0.017971902935376982,-0.007299258377201827,-0.0033635161687386823,0.0,-0.007309128389436699,
