strategy,candidate,variant,period,days,missing_nav_days,metric_status,start,end,total_return,CAGR,MaxDD,CVaR5,worst_21day,worst_month,worst_quarter,longest_drawdown_days,recovery_days,recovery_censored,Sharpe,avg_gross_exposure,avg_cash,capital_days,base_nav,trades,closed_trades,right_censored,carried_in_positions,open_at_end_positions,worst_trade,severe_loss_rate,avg_holding_days,capital_weighted_holding_days,common_holding_days,common_native_holding_days,added_trades,added_trade_realized_pnl,added_trade_censored,turnover,costs,evidence,account_reset,cost_contract,evidence_limitation
ATRDR,NATIVE,NATIVE,2018_2021,973,0,OK,2018-01-02,2021-12-31,0.6862170236845455,0.13953683308907072,0.06169084324170304,-0.012659264081229218,-0.04871324640523633,-0.0328684694828002,-0.022516624023544374,176,67,False,1.5980842262502228,0.2175594771687895,0.7824405228312105,273.2573206870934,1.5951275919704704,913,903,10,10,10,-0.23404503920741904,0.07973421926910298,13.481727574750831,13.5529442765078,13.481727574750831,13.481727574750831,0,0.0,0,40.970618785858434,0.0819412375717169,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,False,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,QUARANTINED_PRODUCTION_PREFIX_DEFECT; diagnostic only
ATRDR,fixed_0.05,CANDIDATE,2018_2021,973,0,OK,2018-01-02,2021-12-31,0.6776616165195923,0.1380886496936724,0.062148805997626955,-0.012671743592508332,-0.04907561386565651,-0.032694472101392535,-0.022445051333488508,176,67,False,1.5821938179526174,0.21675049681472258,0.7832495031852774,271.54591541506045,1.520726805372612,913,903,10,10,10,-0.23404503920741904,0.07862679955703211,13.387596899224807,13.460390540909838,13.387596899224807,13.481727574750831,0,0.0,0,40.9672193883747,0.0819344387767494,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,False,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,QUARANTINED_PRODUCTION_PREFIX_DEFECT; diagnostic only
ATRDR,NATIVE,NATIVE,2022_2023,484,0,OK,2022-01-04,2023-12-29,0.15645031719642555,0.0754373330203193,0.0607083240237869,-0.011462720283529283,-0.042037742670729905,-0.026236873131600946,-0.028677321754984497,74,41,False,1.1040695362632345,0.22174398984608978,0.7782560101539102,115.66182950322262,2.6897313005295427,441,441,0,10,0,-0.24659002720730994,0.07029478458049887,14.08843537414966,14.141165047923021,14.08843537414966,14.08843537414966,0,0.0,0,16.679932262461328,0.03335986452492266,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,False,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,QUARANTINED_PRODUCTION_PREFIX_DEFECT; diagnostic only
ATRDR,fixed_0.05,CANDIDATE,2022_2023,484,0,OK,2022-01-04,2023-12-29,0.15088446874344807,0.07284446740322759,0.05830924576173624,-0.010893300275109197,-0.03957144199479046,-0.02509215941984866,-0.03048385797728481,75,42,False,1.1162764708628565,0.21661808164476637,0.7833819183552336,112.45169547819692,2.5512649905860916,444,444,0,10,0,-0.2001044902675858,0.060810810810810814,13.653153153153154,13.699558094158155,13.650684931506849,14.077625570776256,6,0.005057166218734475,0,16.701077379189318,0.033402154758378634,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,False,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,QUARANTINED_PRODUCTION_PREFIX_DEFECT; diagnostic only
MCB,NATIVE,NATIVE,2018_2021,973,0,OK,2018-01-02,2021-12-31,0.3706376159575906,0.08200847289913393,0.051264860698954196,-0.008456303054758097,-0.03994756726804649,-0.021374952908647993,-0.02384442829986788,283,67,False,1.306803667360284,0.11771040456821354,0.8822895954317864,136.48231516926958,1.3129878965792368,477,468,9,0,9,-0.2056378041463084,0.0641025641025641,12.876068376068377,12.95978392381899,12.876068376068377,12.876068376068377,0,0.0,0,19.246761200413427,0.03849352240082685,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,False,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,Historical selected candidate; not forward validation
MCB,profit_0,CANDIDATE,2018_2021,973,0,OK,2018-01-02,2021-12-31,0.3493820092909019,0.07778895548339548,0.04271555393109017,-0.007049883421402731,-0.0328397699835713,-0.02100149716022659,-0.009675774579043228,283,85,False,1.4199663965525005,0.10124556455961219,0.8987544354403878,116.6776941087526,1.222304563025562,478,470,8,0,8,-0.17246570688410412,0.0425531914893617,10.921276595744681,10.968592917243237,10.914712153518124,12.88272921108742,1,-0.00032089488656733843,0,19.030726926537586,0.038061453853075175,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,False,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,Historical selected candidate; not forward validation
MCB,NATIVE,NATIVE,2022_2023,484,0,OK,2022-01-04,2023-12-29,0.0737136557986009,0.036226791115649304,0.03420624376398684,-0.006418132750736505,-0.02309314729346601,-0.007425331064089269,-0.014955762654414673,131,70,False,0.8697609582366596,0.13144684700811315,0.8685531529918868,66.69638055239815,1.7996306003485367,203,203,0,9,2,-0.17480166104572437,0.059113300492610835,14.187192118226601,14.235606822138378,14.187192118226601,14.187192118226601,0,0.0,0,7.357050339588473,0.014714100679176948,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,False,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,Historical selected candidate; not forward validation
MCB,profit_0,CANDIDATE,2022_2023,484,0,OK,2022-01-04,2023-12-29,0.07749822729765299,0.03805265538808489,0.029833091561153435,-0.005669081433939907,-0.017056223065255227,-0.0067084437282339815,-0.013169454054490437,131,70,False,0.9901680645502571,0.12052424291739251,0.8794757570826075,61.26664027280111,1.6493557872208706,203,203,0,8,2,-0.17110002217786635,0.034482758620689655,12.886699507389162,12.914486014042192,12.886699507389162,14.187192118226601,0,0.0,0,7.283529507589561,0.014567059015179119,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,False,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,Historical selected candidate; not forward validation
OGR,NATIVE,NATIVE,2018_2021,973,0,OK,2018-01-02,2021-12-31,0.11016946776510617,0.026472502338916737,0.014396305449991154,-0.0009751144625677508,-0.01189192584054366,-0.0029115411343262343,-0.0003243202709384274,124,2,False,1.530228834703199,0.014693718271748106,0.985306281728252,15.051013928714962,1.0,255,255,0,0,0,-0.159393267253642,0.023529411764705882,9.007843137254902,9.033416065062898,9.007843137254902,9.007843137254902,0,0.0,0,3.4308641569554417,0.0068617283139108835,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,True,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,Historical selected candidate; not forward validation
OGR,atr_1,CANDIDATE,2018_2021,973,0,OK,2018-01-02,2021-12-31,0.100504097892812,0.02423099927930905,0.013333553613674054,-0.0007707126227775641,-0.011838795308789507,-0.001714814672982734,-0.0002754129961375362,67,2,False,1.5012778149174992,0.012297841556176723,0.9877021584438233,12.540648064926087,1.0,258,258,0,0,0,-0.10613832655775457,0.01937984496124031,7.375968992248062,7.373065758479403,7.403921568627451,9.007843137254902,3,0.0014211059370063117,0,3.4507465576848,0.006901493115369601,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,True,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,Historical selected candidate; not forward validation
