trade_id,symbol,date,entry_signal_date,entry_execution_date,actual_exit_signal_date,actual_exit_execution_date,actual_exit_reason_frozen,days_since_entry,close,entry_price,return_since_entry,running_peak_close,running_peak_return,drawdown_from_running_peak,MFE_to_date,MAE_to_date,individual_ma30,individual_exit_condition_today,individual_exit_condition_previous_day,individual_exit_confirmed,market_ma20,market_exit_condition_today,market_exit_confirmed,set_change_removal_observed,forced_exit_state_observed,actual_exit_today
300760.SZ-001,300760.SZ,2024-03-12,2024-03-11,2024-03-12,2024-03-21,2024-03-22,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,0,305.42,304.74,0.0022314103826213127,305.42,0.0022314103826213127,0.0,0.0061035636936406235,-0.010303865590339245,,False,False,False,3481.9655850000004,False,False,False,False,False
300760.SZ-001,300760.SZ,2024-03-13,2024-03-11,2024-03-12,2024-03-21,2024-03-22,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,1,298.8,304.74,-0.019492025989367945,305.42,0.0022314103826213127,-0.021675070394866047,0.0061035636936406235,-0.023429809017523118,,False,False,False,3494.999025,False,False,False,False,False
300760.SZ-001,300760.SZ,2024-03-14,2024-03-11,2024-03-12,2024-03-21,2024-03-22,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,2,297.66,304.74,-0.02323291986611531,305.42,0.0022314103826213127,-0.02540763538733548,0.007350528319223004,-0.02539870053160076,,False,False,False,3505.9286549999997,False,False,False,False,False
300760.SZ-001,300760.SZ,2024-03-15,2024-03-11,2024-03-12,2024-03-21,2024-03-22,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,3,294.47,304.74,-0.033700859749294376,305.42,0.0022314103826213127,-0.03585226900661376,0.007350528319223004,-0.046695543742206524,,False,False,False,3516.1818200000002,False,False,False,False,False
300760.SZ-001,300760.SZ,2024-03-18,2024-03-11,2024-03-12,2024-03-21,2024-03-22,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,4,293.07,304.74,-0.03829493994880884,305.42,0.0022314103826213127,-0.040436120751751736,0.007350528319223004,-0.0512239942245849,,False,False,False,3526.16783,False,False,False,False,False
300760.SZ-001,300760.SZ,2024-03-19,2024-03-11,2024-03-12,2024-03-21,2024-03-22,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,5,292.77,304.74,-0.03927938570584766,305.42,0.0022314103826213127,-0.041418374697138494,0.007350528319223004,-0.0512239942245849,,False,False,False,3534.506635,False,False,False,False,False
300760.SZ-001,300760.SZ,2024-03-20,2024-03-11,2024-03-12,2024-03-21,2024-03-22,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,6,292.0,304.74,-0.04180612981558052,305.42,0.0022314103826213127,-0.043939493156964216,0.007350528319223004,-0.0512239942245849,,False,False,False,3540.93226,False,False,False,False,False
300760.SZ-001,300760.SZ,2024-03-21,2024-03-11,2024-03-12,2024-03-21,2024-03-22,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,7,290.0,304.74,-0.0483691015291724,305.42,0.0022314103826213127,-0.05048785279287549,0.007350528319223004,-0.0512239942245849,,False,False,False,3545.6530350000003,False,False,True,True,True
300919.SZ-001,300919.SZ,2024-03-12,2024-03-11,2024-03-12,2024-03-27,2024-03-28,MARKET_MA20_X2,0,53.5,53.0,0.009433962264151052,53.5,0.009433962264151052,0.0,0.029245283018867863,-0.0018867924528301883,,False,False,False,3481.9655850000004,False,False,False,False,False
300919.SZ-001,300919.SZ,2024-03-13,2024-03-11,2024-03-12,2024-03-27,2024-03-28,MARKET_MA20_X2,1,55.0,53.0,0.037735849056603765,55.0,0.037735849056603765,0.0,0.05849056603773595,-0.0018867924528301883,,False,False,False,3494.999025,False,False,False,False,False
300919.SZ-001,300919.SZ,2024-03-14,2024-03-11,2024-03-12,2024-03-27,2024-03-28,MARKET_MA20_X2,2,53.59,53.0,0.011132075471698144,55.0,0.037735849056603765,-0.02563636363636357,0.05849056603773595,-0.0018867924528301883,,False,False,False,3505.9286549999997,False,False,False,False,False
300919.SZ-001,300919.SZ,2024-03-15,2024-03-11,2024-03-12,2024-03-27,2024-03-28,MARKET_MA20_X2,3,54.14,53.0,0.021509433962264124,55.0,0.037735849056603765,-0.01563636363636367,0.05849056603773595,-0.011509433962264115,,False,False,False,3516.1818200000002,False,False,False,False,False
