raw_arm,baseline_rank,symbol,entry_signal_date,classification,remaining_conditions_eligible,captured_same_episode,previous_member_count,survivor_count_after_frozen_exits,vacancies_before_additions,selected_additions,extra_survivor_count,extra_survivors,candidate_rs_rank,removed_module_diagnostic_passed,earlier_same_symbol_origin,finite_capacity_crowdout,evidence
A2_MINUS_B60,1,300377.SZ,2024-09-24,CAPTURED_SAME_EPISODE,True,True,0,0,10,300002.SZ|300033.SZ|300139.SZ|300274.SZ|300324.SZ|300348.SZ|300377.SZ|300409.SZ|300803.SZ|301152.SZ,0,,1,True,,False,
A2_MINUS_B60,2,300497.SZ,2025-11-06,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRIES,True,False,10,10,0,,9,300041.SZ|300171.SZ|300598.SZ|300775.SZ|300780.SZ|300971.SZ|301048.SZ|301179.SZ|301285.SZ,4,True,,True,all ten survivor slots were occupied and at least one survivor was an earlier extra entry
A2_MINUS_B60,3,300033.SZ,2024-09-24,CAPTURED_SAME_EPISODE,True,True,0,0,10,300002.SZ|300033.SZ|300139.SZ|300274.SZ|300324.SZ|300348.SZ|300377.SZ|300409.SZ|300803.SZ|301152.SZ,0,,9,True,,False,
A2_MINUS_B60,4,300437.SZ,2025-11-06,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRIES,True,False,10,10,0,,9,300041.SZ|300171.SZ|300598.SZ|300775.SZ|300780.SZ|300971.SZ|301048.SZ|301179.SZ|301285.SZ,1,True,,True,all ten survivor slots were occupied and at least one survivor was an earlier extra entry
A2_MINUS_B60,5,300803.SZ,2024-09-24,CAPTURED_SAME_EPISODE,True,True,0,0,10,300002.SZ|300033.SZ|300139.SZ|300274.SZ|300324.SZ|300348.SZ|300377.SZ|300409.SZ|300803.SZ|301152.SZ,0,,4,True,,False,
A2_MINUS_B60,6,300348.SZ,2024-09-24,CAPTURED_SAME_EPISODE,True,True,0,0,10,300002.SZ|300033.SZ|300139.SZ|300274.SZ|300324.SZ|300348.SZ|300377.SZ|300409.SZ|300803.SZ|301152.SZ,0,,3,True,,False,
A2_MINUS_B60,7,301165.SZ,2025-06-24,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRIES,True,False,10,10,0,,5,300138.SZ|300505.SZ|300627.SZ|301035.SZ|301162.SZ,2,True,,True,all ten survivor slots were occupied and at least one survivor was an earlier extra entry
A2_MINUS_B60,8,301093.SZ,2025-06-23,CAPTURED_SAME_EPISODE,True,True,0,0,10,300057.SZ|300072.SZ|300138.SZ|300505.SZ|300627.SZ|300801.SZ|301035.SZ|301093.SZ|301162.SZ|301238.SZ,0,,2,True,,False,
A2_MINUS_B60,9,300779.SZ,2025-02-12,PORTFOLIO_PATH_ALREADY_DIVERGED,False,False,10,9,1,300001.SZ,8,300002.SZ|300627.SZ|300777.SZ|300779.SZ|300788.SZ|301128.SZ|301285.SZ|301329.SZ,,,"{""extra"": true, ""removed_module_diagnostic_passed"": false, ""signal_date"": ""2025-02-05""}",False,same symbol was already a planned member from an earlier episode
A2_MINUS_B60,10,301141.SZ,2025-06-04,NO_VACANCY_FROM_EARLIER_EXTRA_ENTRIES,True,False,10,10,0,,7,300034.SZ|300039.SZ|300254.SZ|300381.SZ|300498.SZ|300579.SZ|301175.SZ,2,True,,True,all ten survivor slots were occupied and at least one survivor was an earlier extra entry
