arm,module,symbol,entry_signal_date,completed,mom20,mom60,mom120,r20,r60,r120,score,final_rs_score,entry_cross_section_rank,entry_cross_section_percentile,entry_cross_section_size,previous_60_high,signal_close,b60_breakout_margin,turnover20_mean,box_width,ma_dispersion,direction_efficiency,vol_ratio_10_60,full40_diagnostic_passed,b60_diagnostic_passed,minvol_location,minimum_volume_ratio,entry_execution_date,entry_reason,realized_pnl,buy_cost,exit_signal_date,exit_execution_date,exit_reason,realized_return,holding_trading_days,MFE,MAE,days_to_MFE,peak_return,trough_return,giveback_from_peak,first_5pct_gain_day,first_10pct_gain_day,first_20pct_gain_day,first_50pct_gain_day,path_basis,extra_pnl_rank,extra_outcome_group,extra_top20,positive_trade
A2_MINUS_B60_RAW,B60,300001.SZ,2024-07-31,True,0.043772798332464724,-0.016208251473477375,0.13163841807909615,0.5520581113801453,0.5811138014527845,0.6828087167070218,0.6058111380145279,0.6058111380145279,133,0.6803874092009685,413,22.58,20.03,-0.11293179805137277,326385421.5205,0.18654755648975296,0.028208021335521805,0.23873873873873847,0.5904875149564125,True,False,0.06028368794326175,0.46043464016187835,2024-08-01,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,-4075.728000000003,95903.808,2024-08-05,2024-08-06,MARKET_MA20_X2,-0.04249808307924543,3,0.012014038066142227,-0.05905717528964027,0,0.012014038066142227,-0.05905717528964027,0.05451212114538766,,,,,frozen execution cash flows plus authorized intraday high/low; corporate-action adjusted; exit day stops at frozen open execution,117,EXTRA_REMAINING_TRADES,False,False
A2_MINUS_B60_RAW,B60,300001.SZ,2025-02-12,True,0.1740384615384616,0.03212172442941674,0.2725377800937989,0.6031007751937985,0.6062015503875969,0.22325581395348837,0.4906976744186047,0.4906976744186047,320,0.5054263565891473,645,24.12,24.42,0.01243781094527363,446471120.93149996,0.1875923190546529,0.059781641250815865,0.13958810068649874,0.503926053303041,True,True,0.07349081364829421,0.5460527021616174,2025-02-13,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,-5536.003000000005,159272.113,2025-03-10,2025-03-11,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,-0.034758143756151494,18,0.04207397093180423,-0.03588769316846001,4,0.04207397093180423,-0.03588769316846001,0.07683211468795573,,,,,frozen execution cash flows plus authorized intraday high/low; corporate-action adjusted; exit day stops at frozen open execution,147,EXTRA_REMAINING_TRADES,False,False
A2_MINUS_B60_RAW,B60,300001.SZ,2025-05-12,True,0.04338299737072737,-0.0128524046434495,0.016218523260776774,0.19377652050919378,0.4314002828854314,0.5346534653465347,0.4148514851485149,0.4148514851485149,411,0.42008486562942005,707,25.71,23.81,-0.07390120575651504,467219200.61,0.1847926267281106,0.01779435725924028,0.06196840826245442,0.5985175549506887,True,False,0.35411471321695787,0.48631496092164417,2025-05-13,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,-6184.926000000007,158558.4,2025-05-14,2025-05-15,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,-0.0390072427572428,2,0.004828504828504865,-0.04678654678654675,0,0.004828504828504865,-0.04678654678654675,0.04383574758574767,,,,,frozen execution cash flows plus authorized intraday high/low; corporate-action adjusted; exit day stops at frozen open execution,159,EXTRA_REMAINING_TRADES,False,False
A2_MINUS_B60_RAW,B60,300002.SZ,2024-09-24,True,0.16004962779156306,0.1514778325123154,-0.010582010582010581,0.8298429319371727,0.8219895287958116,0.6518324607329843,0.7725130890052356,0.7725130890052356,50,0.8717277486910995,382,9.36,9.35,-0.0010683760683760646,493274924.2925,0.18331226295828063,0.04027561003464153,0.17168141592920375,0.8220038871253582,True,False,0.06617647058823521,0.539006200990776,2024-09-25,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,28310.520000000004,118570.452,2024-11-18,2024-11-19,MARKET_MA20_X2,0.23876538819300447,34,0.5905287470782677,-0.0052545963089094625,4,0.5905287470782677,-0.0052545963089094625,0.3517633588852633,2,2,3,4,frozen execution cash flows plus authorized intraday high/low; corporate-action adjusted; exit day stops at frozen open execution,7,EXTRA_TOP10_PNL_TRADES,True,True
A2_MINUS_B60_RAW,B60,300002.SZ,2025-01-20,True,-0.08756841282251748,-0.13555555555555554,0.48852040816326525,0.5412844036697247,0.25840978593272174,0.6024464831804281,0.4181957186544343,0.4181957186544343,374,0.42966360856269115,654,14.52,11.67,-0.19628099173553715,603189395.3095,0.18658088235294112,0.05153489464107519,0.0696576151121605,0.5717982249189839,True,False,0.1477832512315266,0.5304259604056427,2025-01-21,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,2538.1050000000105,144177.033,2025-01-21,2025-01-22,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,0.017604086775735012,1,0.017604086775735012,-0.014648886553241777,1,0.017604086775735012,-0.014648886553241777,0.0,,,,,frozen execution cash flows plus authorized intraday high/low; corporate-action adjusted; exit day stops at frozen open execution,40,EXTRA_REMAINING_TRADES,False,True
A2_MINUS_B60_RAW,B60,300002.SZ,2025-01-22,True,-0.029435813573180813,-0.0876249039200615,0.4837499999999999,0.6608832807570978,0.37381703470031546,0.6403785488958991,0.511198738170347,0.511198738170347,293,0.5394321766561514,634,14.52,11.87,-0.18250688705234164,572229025.888,0.18658088235294112,0.03241425299353451,0.018181818181818212,0.5098194323332417,True,False,0.15624999999999944,0.5722902270271382,2025-01-23,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,22802.10800000003,162533.371,2025-03-20,2025-03-21,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,0.1402918542801898,35,0.30774340434190156,-0.0009990009990010636,15,0.30774340434190156,-0.0009990009990010636,0.16745155006171175,0,5,6,,frozen execution cash flows plus authorized intraday high/low; corporate-action adjusted; exit day stops at frozen open execution,10,EXTRA_TOP10_PNL_TRADES,True,True
A2_MINUS_B60_RAW,B60,300003.SZ,2025-04-25,True,-0.046649703138252674,0.05539906103286385,-0.07260726072607249,0.6963276836158192,0.596045197740113,0.4124293785310734,0.5610169491525423,0.5610169491525423,287,0.596045197740113,708,12.41,11.24,-0.09427880741337635,206969316.507,0.16218809980806137,0.03495823842065304,0.11441307578008908,0.43511227093947313,True,False,0.15853658536585347,0.42676552836992293,2025-04-28,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,-1593.3819999999832,158488.33,2025-04-28,2025-04-29,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,-0.0100536235065382,1,0.0025848590871013206,-0.014438476321884315,0,0.0025848590871013206,-0.014438476321884315,0.01263848259363952,,,,,frozen execution cash flows plus authorized intraday high/low; corporate-action adjusted; exit day stops at frozen open execution,84,EXTRA_REMAINING_TRADES,False,False
A2_MINUS_B60_RAW,B60,300003.SZ,2025-04-29,True,-0.028021015761821366,0.04519774011299438,-0.07730673316708225,0.6862464183381088,0.6060171919770774,0.4197707736389685,0.566189111747851,0.566189111747851,284,0.5945558739255015,698,12.41,11.1,-0.105560032232071,199032676.57750002,0.16218809980806137,0.025208560029017058,0.08920187793427234,0.48014623134295764,True,False,0.1656050955414011,0.44986899278301856,2025-04-30,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,1682.5380000000005,158888.73,2025-04-30,2025-05-06,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,0.010589410589410592,1,0.016101016101016035,-0.004599004599004665,0,0.016101016101016035,-0.004599004599004665,0.005511605511605443,,,,,frozen execution cash flows plus authorized intraday high/low; corporate-action adjusted; exit day stops at frozen open execution,46,EXTRA_REMAINING_TRADES,False,True
A2_MINUS_B60_RAW,B60,300003.SZ,2025-05-06,True,-0.0403700588730026,0.09082217973231343,-0.05074875207986684,0.46153846153846156,0.5925925925925926,0.3504273504273504,0.4937321937321937,0.4937321937321937,341,0.5156695156695157,702,12.41,11.41,-0.08058017727639,184275102.9115,0.16218809980806137,0.01914251207729456,0.07223113964686986,0.4349519890593358,True,False,0.43589743589743557,0.4110126656273883,2025-05-07,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,-5282.271000000013,164279.115,2025-05-28,2025-05-29,MARKET_MA20_X2,-0.0321542455351066,16,0.008573308224876246,-0.03215424553510657,1,0.008573308224876246,-0.03215424553510657,0.04072755375998285,,,,,frozen execution cash flows plus authorized intraday high/low; corporate-action adjusted; exit day stops at frozen open execution,139,EXTRA_REMAINING_TRADES,False,False
A2_MINUS_B60_RAW,B60,300008.SZ,2024-07-31,True,0.023560209424083878,-0.0050890585241730735,0.039893617021276695,0.4648910411622276,0.6150121065375302,0.5544794188861986,0.5668280871670702,0.5668280871670702,155,0.6271186440677966,413,4.22,3.91,-0.07345971563981035,116639008.51949999,0.1787709497206702,0.02281368821292773,0.06338028169014094,0.594578451014488,True,False,0.17307692307692293,0.5661542061686831,2024-08-01,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,-2391.750000000004,96071.976,2024-08-05,2024-08-06,MARKET_MA20_X2,-0.024895397175967362,3,0.01965218244288017,-0.03152736236007047,0,0.01965218244288017,-0.03152736236007047,0.04454757961884753,,,,,frozen execution cash flows plus authorized intraday high/low; corporate-action adjusted; exit day stops at frozen open execution,97,EXTRA_REMAINING_TRADES,False,False
