trade_id,symbol,entry_signal_date,entry_execution_date,entry_price,buy_cost,exit_signal_date,exit_execution_date,exit_price,exit_reason,realized_return,realized_pnl,canonical_exit_reason,canonical_reason_confidence,evidence_date,evidence_fields,holding_trading_days,MFE,MAE,MFE_date,first_individual_warning_date,first_individual_confirmed_date,first_market_warning_date,first_market_confirmed_date,first_set_change_removal_date,giveback_pct_points,giveback_fraction_of_MFE
300760.SZ-001,300760.SZ,2024-03-11,2024-03-12,304.74,91513.422,2024-03-21,2024-03-22,290.03,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,-0.05017221408243291,-4591.431000000026,MULTIPLE_EXIT_CONDITIONS_SAME_EPISODE,PROVEN,2024-03-21,"{'individual_exit': True, 'set_change': True, 'market_reason': False}",8,0.007350528319223004,-0.0512239942245849,2024-03-12,,2024-03-21,,,2024-03-21,0.05752274240165591,7.825660946196643
300919.SZ-001,300919.SZ,2024-03-11,2024-03-12,53.0,95495.4,2024-03-27,2024-03-28,52.23,MARKET_MA20_X2,-0.01649727630859696,-1575.4139999999898,MARKET_EXIT_CONFIRMED,PROVEN,2024-03-27,"{'individual_exit': False, 'set_change': True, 'market_reason': True}",12,0.060377358490566024,-0.025471698113207597,2024-03-19,,,2024-03-22,2024-03-27,2024-03-27,0.07687463479916298,1.2732361388611373
300796.SZ-001,300796.SZ,2024-04-26,2024-04-29,17.1,114907.793,2024-05-09,2024-05-10,14.95,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,-0.1161753493951451,-13349.453000000009,MULTIPLE_EXIT_CONDITIONS_SAME_EPISODE,PROVEN,2024-05-09,"{'individual_exit': True, 'set_change': True, 'market_reason': False}",6,0.00994152046783614,-0.13450292397660824,2024-04-30,,2024-05-09,,,2024-05-09,0.12611686986298123,12.685873380335321
300770.SZ-001,300770.SZ,2024-05-13,2024-05-14,42.0,100900.8,2024-05-20,2024-05-21,37.65,SET_CHANGE_ENTRY_OR_INDIVIDUAL_EXIT,-0.10536249464820896,-10631.160000000003,MULTIPLE_EXIT_CONDITIONS_SAME_EPISODE,PROVEN,2024-05-20,"{'individual_exit': True, 'set_change': True, 'market_reason': False}",5,0.014047619047619087,-0.10690476190476195,2024-05-14,,2024-05-20,,,2024-05-20,0.11941011369582805,8.500380974957228
300003.SZ-001,300003.SZ,2024-05-09,2024-05-10,15.45,103618.515,2024-05-24,2024-05-27,15.4,MARKET_MA20_X2,-0.0015255864263254118,-509.3549999999959,MARKET_EXIT_CONFIRMED,PROVEN,2024-05-24,"{'individual_exit': False, 'set_change': True, 'market_reason': True}",11,0.07637540453074432,-0.008414239482200547,2024-05-13,,,2024-05-24,2024-05-24,2024-05-24,0.07790099095706973,1.0199748392260404
300054.SZ-001,300054.SZ,2024-04-26,2024-04-29,22.33,100682.58199999998,2024-05-24,2024-05-27,22.09,MARKET_MA20_X2,-0.012575144328340565,-1348.5449999999837,MARKET_EXIT_CONFIRMED,PROVEN,2024-05-24,"{'individual_exit': False, 'set_change': True, 'market_reason': True}",17,0.08598298253470671,-0.012987012987012991,2024-05-07,,,2024-05-24,2024-05-24,2024-05-24,0.09855812686304727,1.1462515483603357
300119.SZ-001,300119.SZ,2024-04-30,2024-05-06,16.6,104630.52600000001,2024-05-24,2024-05-27,15.97,MARKET_MA20_X2,-0.01074995073617439,-1498.541000000012,MARKET_EXIT_CONFIRMED,PROVEN,2024-05-24,"{'individual_exit': False, 'set_change': True, 'market_reason': True}",15,0.12409638554216862,-0.03915662650602425,2024-05-08,,,2024-05-24,2024-05-24,2024-05-24,0.134846336278343,1.0866258166118907
300285.SZ-001,300285.SZ,2024-05-09,2024-05-10,20.8,104032.929,2024-05-24,2024-05-27,19.36,MARKET_MA20_X2,-0.07045585537632999,-7329.729000000007,MARKET_EXIT_CONFIRMED,PROVEN,2024-05-24,"{'individual_exit': False, 'set_change': True, 'market_reason': True}",11,0.022596153846153877,-0.07355769230769238,2024-05-14,,,2024-05-24,2024-05-24,2024-05-24,0.09305200922248387,4.11804636559077
300357.SZ-001,300357.SZ,2024-05-08,2024-05-09,26.0,106500.394,2024-05-24,2024-05-27,24.45,MARKET_MA20_X2,-0.05872973577919344,-6200.623414634145,MARKET_EXIT_CONFIRMED,PROVEN,2024-05-24,"{'individual_exit': False, 'set_change': True, 'market_reason': True}",12,0.06653846153846166,-0.061153846153846114,2024-05-09,,,2024-05-24,2024-05-24,2024-05-24,0.1252681973176551,1.8826434278953912
300433.SZ-001,300433.SZ,2024-05-06,2024-05-07,14.71,104514.41,2024-05-24,2024-05-27,14.72,MARKET_MA20_X2,-0.0011090623771402345,-103.91011267606518,MARKET_EXIT_CONFIRMED,PROVEN,2024-05-24,"{'individual_exit': False, 'set_change': True, 'market_reason': True}",14,0.04350781781101287,-0.04350781781101298,2024-05-22,,,2024-05-24,2024-05-24,2024-05-24,0.04461688018815311,1.0254911055745826
