trade_id,sample,year,symbol,entry_signal_date,entry_execution_date,exit_signal_date,exit_execution_date,industry_code,industry_name,classification_effective_date,classification_source,pit_status,realized_return,realized_pnl,MFE,holding_trading_days,pnl_rank
300760.SZ-001,DEVELOPMENT,2024,300760.SZ,2024-03-11,2024-03-12,2024-03-21,2024-03-22,医疗器械,医疗器械,2023-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0501722140824,-4591.431,0.00735052831922,8,62
300919.SZ-001,DEVELOPMENT,2024,300919.SZ,2024-03-11,2024-03-12,2024-03-27,2024-03-28,电池,电池,2023-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0164972763086,-1575.414,0.0603773584906,12,58
300054.SZ-001,DEVELOPMENT,2024,300054.SZ,2024-04-26,2024-04-29,2024-05-24,2024-05-27,电子化学品Ⅱ,电子化学品Ⅱ,2023-12-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0125751443283,-1266.098,0.0859829825347,17,57
300679.SZ-001,DEVELOPMENT,2024,300679.SZ,2024-04-26,2024-04-29,2024-05-24,2024-05-27,消费电子,消费电子,2024-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0629500097915,-6495.88,0.0616279069767,17,72
300796.SZ-001,DEVELOPMENT,2024,300796.SZ,2024-04-26,2024-04-29,2024-05-09,2024-05-10,农化制品,农化制品,2024-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.116175349395,-13349.453,0.00994152046784,6,88
301301.SZ-001,DEVELOPMENT,2024,301301.SZ,2024-04-29,2024-04-30,2024-05-24,2024-05-27,化学制药,化学制药,2024-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.203841587156,21746.95775,0.558673469388,16,23
300119.SZ-001,DEVELOPMENT,2024,300119.SZ,2024-04-30,2024-05-06,2024-05-24,2024-05-27,动物保健Ⅱ,动物保健Ⅱ,2024-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0107499507362,-1124.773,0.124096385542,15,56
300433.SZ-001,DEVELOPMENT,2024,300433.SZ,2024-05-06,2024-05-07,2024-05-24,2024-05-27,消费电子,消费电子,2024-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.00110906237714,-115.913,0.043507817811,14,50
300357.SZ-001,DEVELOPMENT,2024,300357.SZ,2024-05-08,2024-05-09,2024-05-24,2024-05-27,生物制品,生物制品,2024-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0587297357792,-6254.74,0.0665384615385,12,69
300003.SZ-001,DEVELOPMENT,2024,300003.SZ,2024-05-09,2024-05-10,2024-05-24,2024-05-27,医疗器械,医疗器械,2024-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.00152558642633,-158.079,0.0763754045307,11,51
300285.SZ-001,DEVELOPMENT,2024,300285.SZ,2024-05-09,2024-05-10,2024-05-24,2024-05-27,电子化学品Ⅱ,电子化学品Ⅱ,2024-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0704558553763,-7329.729,0.0225961538462,11,74
300775.SZ-001,DEVELOPMENT,2024,300775.SZ,2024-05-09,2024-05-10,2024-05-24,2024-05-27,航空装备Ⅱ,航空装备Ⅱ,2024-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0523105932442,-5523.658,0.0893939393939,11,67
300770.SZ-001,DEVELOPMENT,2024,300770.SZ,2024-05-13,2024-05-14,2024-05-20,2024-05-21,电视广播Ⅱ,电视广播Ⅱ,2024-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.105362494648,-10631.16,0.0140476190476,5,85
300043.SZ-001,DEVELOPMENT,2024,300043.SZ,2024-08-30,2024-09-02,2024-09-03,2024-09-04,游戏Ⅱ,游戏Ⅱ,2024-03-31,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0502285818271,-4841.95,0.0111524163569,2,64
300033.SZ-001,DEVELOPMENT,2024,300033.SZ,2024-09-24,2024-09-25,2024-11-18,2024-11-19,软件开发,软件开发,2024-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,1.24746243546,118387.688,1.87317525947,34,3
300182.SZ-001,DEVELOPMENT,2024,300182.SZ,2024-09-24,2024-09-25,2024-11-18,2024-11-19,影视院线,影视院线,2024-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.220232055367,27105.711,0.566666666667,34,18
300324.SZ-001,DEVELOPMENT,2024,300324.SZ,2024-09-24,2024-09-25,2024-11-18,2024-11-19,计算机设备,计算机设备,2024-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.517725109618,49544.015,0.987447698745,34,12
300348.SZ-001,DEVELOPMENT,2024,300348.SZ,2024-09-24,2024-09-25,2024-11-18,2024-11-19,软件开发,软件开发,2024-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.885646090437,84388.956,1.63473053892,34,6
300377.SZ-001,DEVELOPMENT,2024,300377.SZ,2024-09-24,2024-09-25,2024-11-18,2024-11-19,软件开发,软件开发,2024-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,2.26696219661,216566.154,3.84094052559,34,1
300442.SZ-001,DEVELOPMENT,2024,300442.SZ,2024-09-24,2024-09-25,2024-11-18,2024-11-19,通信服务,通信服务,2024-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.206102376406,24940.632,0.541482965932,34,20
300487.SZ-001,DEVELOPMENT,2024,300487.SZ,2024-09-24,2024-09-25,2024-10-30,2024-10-31,塑料,塑料,2024-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.10813263344,9969.624,0.550843593251,21,31
300803.SZ-001,DEVELOPMENT,2024,300803.SZ,2024-09-24,2024-09-25,2024-11-18,2024-11-19,软件开发,软件开发,2024-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.956340099859,94276.468,1.6570212766,34,5
300128.SZ-001,DEVELOPMENT,2024,300128.SZ,2024-09-25,2024-09-26,2024-11-18,2024-11-19,电池,电池,2024-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.536250266587,51213.728,0.949438202247,33,11
300459.SZ-001,DEVELOPMENT,2024,300459.SZ,2024-09-25,2024-09-26,2024-11-18,2024-11-19,游戏Ⅱ,游戏Ⅱ,2024-06-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.251543923974,30001.43,0.695890410959,33,16
300945.SZ-001,DEVELOPMENT,2024,300945.SZ,2024-12-02,2024-12-03,2024-12-18,2024-12-19,饰品,饰品,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.15764819969,-29089.93,0.0435403283369,12,110
301498.SZ-001,DEVELOPMENT,2024,301498.SZ,2024-12-02,2024-12-03,2024-12-18,2024-12-19,饲料,饲料,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.00420599693496,-717.427,0.0587287639133,12,53
300971.SZ-001,DEVELOPMENT,2024,300971.SZ,2024-12-05,2024-12-06,2024-12-18,2024-12-19,专用设备,专用设备,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.100574636979,-16710.575,0.00674536256324,9,99
300635.SZ-001,DEVELOPMENT,2024,300635.SZ,2024-12-06,2024-12-09,2024-12-18,2024-12-19,工程咨询服务Ⅱ,工程咨询服务Ⅱ,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0821581134498,-13821.629,0.0598705501618,8,90
301230.SZ-001,DEVELOPMENT,2024,301230.SZ,2024-12-06,2024-12-09,2024-12-18,2024-12-19,医疗服务,医疗服务,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0824711084005,-13865.369,0.0237288135593,8,91
300404.SZ-001,DEVELOPMENT,2024,300404.SZ,2024-12-09,2024-12-10,2024-12-18,2024-12-19,医疗服务,医疗服务,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.108295629322,-18096.084,0.0274361400189,7,101
300632.SZ-001,DEVELOPMENT,2024,300632.SZ,2024-12-09,2024-12-10,2024-12-18,2024-12-19,光学光电子,光学光电子,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.135901834015,-22387.05,0.0656883298393,7,106
300790.SZ-001,DEVELOPMENT,2024,300790.SZ,2024-12-09,2024-12-10,2024-12-18,2024-12-19,计算机设备,计算机设备,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0384488273956,-6365.757,0.0561330561331,7,71
300279.SZ-001,DEVELOPMENT,2024,300279.SZ,2024-12-10,2024-12-11,2024-12-18,2024-12-19,家电零部件Ⅱ,家电零部件Ⅱ,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0625237296396,-10077.263,0.0714285714286,6,83
300479.SZ-001,DEVELOPMENT,2024,300479.SZ,2024-12-10,2024-12-11,2024-12-18,2024-12-19,计算机设备,计算机设备,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.171572776405,-27323.152,0.0506625097428,6,109
300241.SZ-001,DEVELOPMENT,2024,300241.SZ,2024-12-20,2024-12-23,2024-12-24,2024-12-25,光学光电子,光学光电子,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0770477522478,-11616.923,0.0064,2,87
300733.SZ-001,DEVELOPMENT,2024,300733.SZ,2024-12-20,2024-12-23,2024-12-24,2024-12-25,汽车零部件,汽车零部件,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.0359069501927,-5399.336,0.00772200772201,2,66
301213.SZ-001,DEVELOPMENT,2024,301213.SZ,2024-12-20,2024-12-23,2024-12-24,2024-12-25,军工电子Ⅱ,军工电子Ⅱ,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.0088426315427,1317.657,0.0795832409665,2,45
301498.SZ-002,DEVELOPMENT,2024,301498.SZ,2024-12-20,2024-12-23,2024-12-24,2024-12-25,饲料,饲料,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,-0.00159340659341,-236.06,0.0331081081081,2,52
300910.SZ-001,DEVELOPMENT,2025,300910.SZ,2025-01-23,2025-01-24,2025-03-24,2025-03-25,化学制品,化学制品,2024-09-30,eastmoney_yjbb_notice_lag1,PIT_VERIFIED_CY006_BOUNDED,0.133875775706,20133.074,0.16120387549,36,25
