strategy,period,min_available_cash,min_cash_ratio,max_gross_long_value,max_nav,max_gross_exposure_ratio,negative_cash_timestamp_count,negative_cash_day_count,over_100pct_exposure_timestamp_count,over_100pct_exposure_day_count,borrowed_cash_max,margin_balance_max,cash_shortfall_order_count,partial_due_to_cash_count,rejected_due_to_cash_count,status
ATRDR,2014-01-03/2023-12-29,0.00016163635573016033,0.00010567942758423183,2.9372519776895336,3.162966616657545,0.9998943205724158,0,0,0,0,0.0,0.0,450,0,450,PASS
MCB,2014-02-13/2026-03-31,0.0036962513583479045,0.0041674711013151506,1.8718208369664493,1.9702967771100248,0.9958325288986848,0,0,0,0,0.0,0.0,163,0,163,PASS
OGR,2018-01-02/2021-12-15,0.0014526602262134036,0.0014274800152057016,0.7431378999761913,1.1104060260485926,0.9985725199847942,0,0,0,0,0.0,0.0,0,0,0,PASS
IFCGR,2018-01-02/2021-12-15,0.0014456707100633827,0.0014274800152051328,0.7406270533522252,1.105413086703642,0.9985725199847948,0,0,0,0,0.0,0.0,0,0,0,PASS
SMV6,2013-04-01/2026-08-28,4.513061951322015,4.418017091915708e-06,2563953.2,2876990.8070982965,0.999995581982908,0,0,0,0,0.0,0.0,9,9,0,PASS
ATRDR,post_2024_2025:2024-01-02/2026-03-31,0.35282614804320633,0.672122103616326,0.3212193374954824,1.0563946048468127,0.32787789638367404,0,0,0,0,0.0,0.0,0,0,0,PASS
ATRDR,post_2026:2026-01-05/2026-08-12,0.3938831345095818,0.7941454946497738,0.14944214079223703,1.0070757490488218,0.20585450535022615,0,0,0,0,0.0,0.0,0,0,0,PASS
