trade_date,symbol,event_type,match_status,stage_match,price_pre_adj_match,reason_match,signal_date_match,target_weight_match,entry_date_match,entry_price_match,holding_pnl_pct_match,first_difference
2013-05-22,159901.SZ,BUY_FILLED,EXACT,True,True,True,True,True,True,True,True,
2013-05-22,159901.SZ,BUY_SIGNAL,EXACT,True,True,True,True,True,True,True,True,
2013-06-06,159901.SZ,SELL_FILLED,EXACT,True,True,True,True,True,True,True,True,
2013-06-06,159901.SZ,TAIL_SELL_SIGNAL,EXACT,True,True,True,True,True,True,True,True,
2013-09-13,159901.SZ,BUY_FILLED,EXACT,True,True,True,True,True,True,True,True,
2013-09-13,159901.SZ,BUY_SIGNAL,EXACT,True,True,True,True,True,True,True,True,
2013-09-27,159901.SZ,SELL_FILLED,EXACT,True,True,True,True,True,True,True,True,
2013-09-27,159901.SZ,TAIL_SELL_SIGNAL,EXACT,True,True,True,True,True,True,True,True,
2014-11-27,510500.SH,BUY_FILLED,EXACT,True,True,True,True,True,True,True,True,
2014-11-27,510500.SH,BUY_SIGNAL,EXACT,True,True,True,True,True,True,True,True,
2015-01-19,510500.SH,SELL_FILLED,EXACT,True,True,True,True,True,True,True,True,
2015-01-19,510500.SH,TAIL_SELL_SIGNAL,EXACT,True,True,True,True,True,True,True,True,
2015-02-17,510500.SH,BUY_FILLED,EXACT,True,True,True,True,True,True,True,True,
2015-02-17,510500.SH,BUY_SIGNAL,EXACT,True,True,True,True,True,True,True,True,
2015-05-07,510500.SH,SELL_NO_FILL,EXACT,True,True,True,True,True,True,True,True,
2015-05-07,510500.SH,TAIL_SELL_SIGNAL,EXACT,True,True,True,True,True,True,True,True,
2015-05-08,510500.SH,SELL_FILLED,EXACT,True,True,True,True,True,True,True,True,
2016-07-14,510180.SH,BUY_FILLED,EXACT,True,True,True,True,True,True,True,True,
2016-07-14,510180.SH,BUY_SIGNAL,EXACT,True,True,True,True,True,True,True,True,
2016-07-14,510300.SH,BUY_FILLED,EXACT,True,True,True,True,True,True,True,True,
2016-07-14,510300.SH,BUY_SIGNAL,EXACT,True,True,True,True,True,True,True,True,
2016-07-18,159901.SZ,BUY_FILLED,EXACT,True,True,True,True,True,True,True,True,
2016-07-18,159901.SZ,BUY_SIGNAL,EXACT,True,True,True,True,True,True,True,True,
2016-07-18,510180.SH,REBALANCE_FILLED,EXACT,True,True,True,True,True,True,True,True,
2016-07-18,510300.SH,REBALANCE_FILLED,EXACT,True,True,True,True,True,True,True,True,
2016-07-29,159901.SZ,SELL_FILLED,EXACT,True,True,True,True,True,True,True,True,
2016-07-29,159901.SZ,TAIL_SELL_SIGNAL,EXACT,True,True,True,True,True,True,True,True,
2016-07-29,510180.SH,SELL_NO_FILL,EXACT,True,True,True,True,True,True,True,True,
2016-07-29,510180.SH,TAIL_SELL_SIGNAL,EXACT,True,True,True,True,True,True,True,True,
2016-07-29,510300.SH,SELL_NO_FILL,EXACT,True,True,True,True,True,True,True,True,
2016-07-29,510300.SH,TAIL_SELL_SIGNAL,EXACT,True,True,True,True,True,True,True,True,
2016-08-01,510180.SH,SELL_FILLED,EXACT,True,True,True,True,True,True,True,True,
2016-08-01,510300.SH,SELL_FILLED,EXACT,True,True,True,True,True,True,True,True,
2016-08-16,159901.SZ,BUY_FILLED,EXACT,True,True,True,True,True,True,True,True,
