year,selection,bucket,names,daily_average_fraction,label,selected,coverage,coverage_fraction,mean,median,positive_fraction,large_loss_frequency,p01,p05
2020,FIXED3_TOP10,C0,629,0.2588477366255144,ret10,629,606,0.9634340222575517,0.014644794810790777,-0.00295824371278286,0.4834983498349835,0.057755775577557754,-0.14272507801651954,-0.10291990265250206
2020,FIXED3_TOP10,C0,629,0.2588477366255144,ret20,629,582,0.9252782193958664,0.02361696040231008,0.00028232636395841837,0.5,0.09450171821305842,-0.17763668611645697,-0.12526352442800998
2020,FIXED3_TOP10,C1,838,0.3448559670781893,ret10,838,793,0.9463007159904535,0.00715812926204443,-0.005542328115552664,0.46279949558638084,0.09836065573770492,-0.18925730288028716,-0.12215463370084763
2020,FIXED3_TOP10,C1,838,0.3448559670781893,ret20,838,765,0.9128878281622912,0.013149624236774161,-0.008636199869215488,0.4666666666666667,0.1503267973856209,-0.21481314837932586,-0.1554857075214386
2020,FIXED3_TOP10,C2,564,0.23209876543209876,ret10,564,519,0.9202127659574468,0.020921000691089486,0.0034158837515860796,0.51252408477842,0.10982658959537572,-0.18921782732009887,-0.12636823505163192
2020,FIXED3_TOP10,C2,564,0.23209876543209876,ret20,564,500,0.8865248226950354,0.03107095193117857,-0.010307037737220526,0.468,0.166,-0.2542107179760933,-0.17254731506109236
2020,FIXED3_TOP10,C3,388,0.15967078189300413,ret10,388,341,0.8788659793814433,0.03610384608502841,0.004290575627237558,0.5219941348973607,0.11143695014662756,-0.2892005205154419,-0.1481950581073761
2020,FIXED3_TOP10,C3,388,0.15967078189300413,ret20,388,316,0.8144329896907216,0.06274730934396008,0.012798850890249014,0.5506329113924051,0.2088607594936709,-0.23151226863265037,-0.16692115366458893
2020,DROPPED_SINGLE_SEED_EXTREME,DROPPED,3750,1.5432098765432098,ret10,3750,3567,0.9512,0.0006335692501322473,-0.008372092619538307,0.4519203812727782,0.13176338659938325,-0.21525356650352478,-0.14650294184684753
2020,DROPPED_SINGLE_SEED_EXTREME,DROPPED,3750,1.5432098765432098,ret20,3750,3418,0.9114666666666666,0.00501325501525756,-0.02033679187297821,0.4409011117612639,0.20947922761849033,-0.2506887549161911,-0.17843641191720963
2021,FIXED3_TOP10,C0,614,0.25267489711934155,ret10,614,571,0.9299674267100977,0.015787985816743916,0.005478297360241413,0.532399299474606,0.03852889667250438,-0.13880805522203446,-0.09088234603404999
2021,FIXED3_TOP10,C0,614,0.25267489711934155,ret20,614,531,0.8648208469055375,0.0307258120403084,0.01550387591123581,0.5800376647834274,0.062146892655367235,-0.1497360110282898,-0.10540176182985306
2021,FIXED3_TOP10,C1,721,0.29670781893004117,ret10,721,672,0.9320388349514563,0.034004935030549986,0.019148563966155052,0.625,0.06994047619047619,-0.15711095780134202,-0.10599819086492061
2021,FIXED3_TOP10,C1,721,0.29670781893004117,ret20,721,631,0.8751733703190014,0.04879273461933815,0.03506907448172569,0.6133122028526149,0.08716323296354993,-0.1757308468222618,-0.11935122683644295
2021,FIXED3_TOP10,C2,585,0.24074074074074073,ret10,585,561,0.958974358974359,0.03493846335818011,0.019313305616378784,0.5864527629233511,0.06951871657754011,-0.17601447999477388,-0.10926980525255203
2021,FIXED3_TOP10,C2,585,0.24074074074074073,ret20,585,539,0.9213675213675213,0.0552783624607299,0.03215434029698372,0.5992578849721707,0.1038961038961039,-0.2353359517455101,-0.15610374361276624
2021,FIXED3_TOP10,C3,399,0.16419753086419753,ret10,399,391,0.9799498746867168,0.04296128386125175,0.01849346049129963,0.5856777493606138,0.09462915601023018,-0.2255553424358368,-0.13242624700069427
2021,FIXED3_TOP10,C3,399,0.16419753086419753,ret20,399,392,0.9824561403508771,0.07525601970537908,0.05225697346031666,0.625,0.11989795918367346,-0.3111164879798889,-0.19148188307881353
2021,DROPPED_SINGLE_SEED_EXTREME,DROPPED,3562,1.465843621399177,ret10,3562,3318,0.93149915777653,0.021136525648004615,0.010178380645811558,0.5482218203737191,0.07655213984327909,-0.1959512659907341,-0.11902607381343841
2021,DROPPED_SINGLE_SEED_EXTREME,DROPPED,3562,1.465843621399177,ret20,3562,3094,0.8686131386861314,0.0425567817382526,0.02331166248768568,0.5804783451842276,0.129928894634777,-0.24871212393045425,-0.14517592191696166
