year,t,decision_date,scope,seed_left,seed_right,universe,spearman_score_correlation,top10_overlap_count,top10_overlap_fraction,top20_overlap_count,top20_overlap_fraction,top50_overlap_count,top50_overlap_fraction,top100_overlap_count,top100_overlap_fraction
2020,3163,2020-01-02,LEGAL,17,29,3277,0.739638923888309,2,0.2,3,0.15,15,0.3,36,0.36
2020,3163,2020-01-02,LEGAL,17,43,3277,0.7824977304069942,0,0.0,1,0.05,8,0.16,29,0.29
2020,3163,2020-01-02,LEGAL,29,43,3277,0.7853251836914668,0,0.0,2,0.1,12,0.24,39,0.39
2020,3163,2020-01-02,COMMON_GATE,17,29,2041,0.4113725278442927,2,0.2,3,0.15,15,0.3,36,0.36
2020,3163,2020-01-02,COMMON_GATE,17,43,2041,0.46930633524839427,0,0.0,1,0.05,8,0.16,29,0.29
2020,3163,2020-01-02,COMMON_GATE,29,43,2041,0.5486326106681936,0,0.0,2,0.1,12,0.24,39,0.39
2020,3164,2020-01-03,LEGAL,17,29,3278,0.7727537696753395,6,0.6,9,0.45,21,0.42,36,0.36
2020,3164,2020-01-03,LEGAL,17,43,3278,0.759601187882487,5,0.5,6,0.3,15,0.3,28,0.28
2020,3164,2020-01-03,LEGAL,29,43,3278,0.8619570957791322,5,0.5,9,0.45,22,0.44,45,0.45
2020,3164,2020-01-03,COMMON_GATE,17,29,2475,0.5786127600107578,6,0.6,9,0.45,21,0.42,36,0.36
2020,3164,2020-01-03,COMMON_GATE,17,43,2475,0.5365531500621274,5,0.5,6,0.3,15,0.3,28,0.28
2020,3164,2020-01-03,COMMON_GATE,29,43,2475,0.7458789074040812,5,0.5,9,0.45,22,0.44,45,0.45
2020,3165,2020-01-06,LEGAL,17,29,3278,0.7729220509023834,5,0.5,9,0.45,15,0.3,40,0.4
2020,3165,2020-01-06,LEGAL,17,43,3278,0.7587025216092097,5,0.5,9,0.45,16,0.32,34,0.34
2020,3165,2020-01-06,LEGAL,29,43,3278,0.8281677010365395,7,0.7,8,0.4,20,0.4,39,0.39
2020,3165,2020-01-06,COMMON_GATE,17,29,2996,0.710825878441573,5,0.5,9,0.45,15,0.3,40,0.4
2020,3165,2020-01-06,COMMON_GATE,17,43,2996,0.694311722786011,5,0.5,9,0.45,16,0.32,34,0.34
2020,3165,2020-01-06,COMMON_GATE,29,43,2996,0.7805238794035452,7,0.7,8,0.4,20,0.4,39,0.39
2020,3166,2020-01-07,LEGAL,17,29,3279,0.7738400043311974,3,0.3,8,0.4,16,0.32,40,0.4
2020,3166,2020-01-07,LEGAL,17,43,3279,0.8281810762334487,3,0.3,7,0.35,16,0.32,42,0.42
2020,3166,2020-01-07,LEGAL,29,43,3279,0.8159177272316781,3,0.3,6,0.3,16,0.32,44,0.44
2020,3166,2020-01-07,COMMON_GATE,17,29,2579,0.6103410953394701,3,0.3,8,0.4,16,0.32,40,0.4
2020,3166,2020-01-07,COMMON_GATE,17,43,2579,0.7015003327618975,3,0.3,7,0.35,16,0.32,42,0.42
2020,3166,2020-01-07,COMMON_GATE,29,43,2579,0.689552886444641,3,0.3,6,0.3,16,0.32,44,0.44
2020,3167,2020-01-08,LEGAL,17,29,3279,0.7385665473771986,4,0.4,8,0.4,16,0.32,35,0.35
2020,3167,2020-01-08,LEGAL,17,43,3279,0.8738775357271726,4,0.4,8,0.4,20,0.4,47,0.47
2020,3167,2020-01-08,LEGAL,29,43,3279,0.8076670237830703,4,0.4,9,0.45,18,0.36,49,0.49
2020,3167,2020-01-08,COMMON_GATE,17,29,2340,0.47560597995936316,4,0.4,8,0.4,16,0.32,35,0.35
2020,3167,2020-01-08,COMMON_GATE,17,43,2340,0.734773174502723,4,0.4,8,0.4,20,0.4,47,0.47
2020,3167,2020-01-08,COMMON_GATE,29,43,2340,0.6258382419363746,4,0.4,9,0.45,18,0.36,49,0.49
2020,3168,2020-01-09,LEGAL,17,29,3279,0.8113685639655002,3,0.3,7,0.35,19,0.38,48,0.48
2020,3168,2020-01-09,LEGAL,17,43,3279,0.8791551988252121,0,0.0,5,0.25,16,0.32,46,0.46
2020,3168,2020-01-09,LEGAL,29,43,3279,0.8552803101906481,3,0.3,8,0.4,21,0.42,56,0.56
2020,3168,2020-01-09,COMMON_GATE,17,29,977,0.19000704301174828,3,0.3,7,0.35,19,0.38,48,0.48
2020,3168,2020-01-09,COMMON_GATE,17,43,977,0.334450701947986,0,0.0,5,0.25,16,0.32,47,0.47
2020,3168,2020-01-09,COMMON_GATE,29,43,977,0.4619005311914045,3,0.3,8,0.4,21,0.42,57,0.57
2020,3169,2020-01-10,LEGAL,17,29,3280,0.7757283572515602,1,0.1,6,0.3,23,0.46,45,0.45
2020,3169,2020-01-10,LEGAL,17,43,3280,0.8537105621883504,1,0.1,2,0.1,13,0.26,39,0.39
2020,3169,2020-01-10,LEGAL,29,43,3280,0.8384186467231609,3,0.3,8,0.4,24,0.48,49,0.49
2020,3169,2020-01-10,COMMON_GATE,17,29,1258,0.2372743356815831,1,0.1,6,0.3,23,0.46,45,0.45
2020,3169,2020-01-10,COMMON_GATE,17,43,1258,0.343318442573187,1,0.1,2,0.1,13,0.26,39,0.39
2020,3169,2020-01-10,COMMON_GATE,29,43,1258,0.52882216600744,3,0.3,8,0.4,24,0.48,49,0.49
2020,3170,2020-01-13,LEGAL,17,29,3280,0.7584703818440804,2,0.2,5,0.25,17,0.34,31,0.31
2020,3170,2020-01-13,LEGAL,17,43,3280,0.8112770530806082,1,0.1,2,0.1,10,0.2,24,0.24
2020,3170,2020-01-13,LEGAL,29,43,3280,0.8199901034100504,5,0.5,10,0.5,25,0.5,54,0.54
2020,3170,2020-01-13,COMMON_GATE,17,29,116,-0.2864571829568932,2,0.2,5,0.25,19,0.38,84,0.84
2020,3170,2020-01-13,COMMON_GATE,17,43,116,-0.3366586834826133,1,0.1,2,0.1,17,0.34,84,0.84
2020,3170,2020-01-13,COMMON_GATE,29,43,116,0.2548760157022975,5,0.5,10,0.5,33,0.66,86,0.86
2020,3171,2020-01-14,LEGAL,17,29,3283,0.7255886493927155,1,0.1,4,0.2,11,0.22,32,0.32
2020,3171,2020-01-14,LEGAL,17,43,3283,0.8267072592669815,1,0.1,2,0.1,5,0.1,24,0.24
2020,3171,2020-01-14,LEGAL,29,43,3283,0.8169560669163691,4,0.4,8,0.4,18,0.36,42,0.42
2020,3171,2020-01-14,COMMON_GATE,17,29,753,-0.02834909844770713,1,0.1,4,0.2,11,0.22,33,0.33
2020,3171,2020-01-14,COMMON_GATE,17,43,753,0.004845259689855142,1,0.1,2,0.1,5,0.1,25,0.25
2020,3171,2020-01-14,COMMON_GATE,29,43,753,0.41865100412899203,4,0.4,8,0.4,18,0.36,43,0.43
2020,3172,2020-01-15,LEGAL,17,29,3282,0.6832117606567127,1,0.1,1,0.05,15,0.3,32,0.32
2020,3172,2020-01-15,LEGAL,17,43,3282,0.7612642430855406,1,0.1,1,0.05,8,0.16,26,0.26
2020,3172,2020-01-15,LEGAL,29,43,3282,0.8431610033945826,3,0.3,4,0.2,15,0.3,44,0.44
2020,3172,2020-01-15,COMMON_GATE,17,29,1004,0.008097332898197048,1,0.1,1,0.05,16,0.32,33,0.33
2020,3172,2020-01-15,COMMON_GATE,17,43,1004,0.06413886922595935,1,0.1,1,0.05,10,0.2,27,0.27
2020,3172,2020-01-15,COMMON_GATE,29,43,1004,0.526939535894973,3,0.3,4,0.2,16,0.32,46,0.46
2020,3173,2020-01-16,LEGAL,17,29,3283,0.7345904694532368,0,0.0,2,0.1,14,0.28,33,0.33
2020,3173,2020-01-16,LEGAL,17,43,3283,0.792518270295122,1,0.1,1,0.05,11,0.22,29,0.29
2020,3173,2020-01-16,LEGAL,29,43,3283,0.8060901944840776,1,0.1,4,0.2,17,0.34,38,0.38
2020,3173,2020-01-16,COMMON_GATE,17,29,2331,0.4908416261643784,0,0.0,2,0.1,14,0.28,33,0.33
2020,3173,2020-01-16,COMMON_GATE,17,43,2331,0.5858935773604129,1,0.1,1,0.05,11,0.22,29,0.29
2020,3173,2020-01-16,COMMON_GATE,29,43,2331,0.6135808750811198,1,0.1,4,0.2,17,0.34,38,0.38
2020,3174,2020-01-17,LEGAL,17,29,3286,0.749999563505594,2,0.2,4,0.2,18,0.36,37,0.37
2020,3174,2020-01-17,LEGAL,17,43,3286,0.858971554633163,0,0.0,3,0.15,16,0.32,42,0.42
2020,3174,2020-01-17,LEGAL,29,43,3286,0.7548898576057508,1,0.1,2,0.1,14,0.28,38,0.38
2020,3174,2020-01-17,COMMON_GATE,17,29,2181,0.46941518845718067,2,0.2,4,0.2,18,0.36,37,0.37
2020,3174,2020-01-17,COMMON_GATE,17,43,2181,0.6681026331112703,0,0.0,3,0.15,16,0.32,42,0.42
2020,3174,2020-01-17,COMMON_GATE,29,43,2181,0.4872512018073673,1,0.1,2,0.1,14,0.28,38,0.38
2020,3175,2020-01-20,LEGAL,17,29,3291,0.7415353623944653,1,0.1,7,0.35,19,0.38,40,0.4
2020,3175,2020-01-20,LEGAL,17,43,3291,0.8679631667492499,0,0.0,6,0.3,25,0.5,46,0.46
2020,3175,2020-01-20,LEGAL,29,43,3291,0.7835876139141773,4,0.4,8,0.4,21,0.42,45,0.45
2020,3175,2020-01-20,COMMON_GATE,17,29,961,0.11202359321942987,1,0.1,7,0.35,19,0.38,41,0.41
