year,arm,component,value
2021,I0_S29,DIVIDENDS,0.0
2021,I0_S29,TAXES,0.0
2021,I0_S29,OTHER_CORPORATE_ACTION_CASH,0.0
2021,I0_S29,FEES_MEMO_ALREADY_IN_LOT_PNL,-67546.303048
2021,I0_S29,START_INVENTORY_MEMO,718634.37
2021,I0_S29,END_INVENTORY_MEMO,1185510.79
2021,I0_S29,EXTERNAL_NET_INFLOW,0.0
2021,I0_S29,NAV_CHANGE_LESS_EXTERNAL,395476.5869519999
2021,I0_S29,RECONCILED_TOTAL,395476.58695199987
2021,I0_S29,RECONCILIATION_RESIDUAL,-5.820766091346741e-11
2021,I0_S43,CLOSED_LOT_TRANSACTION_MARK_PNL,343912.8666456
2021,I0_S43,OPEN_END_TRANSACTION_MARK_PNL,13670.161748400002
2021,I0_S43,DIVIDENDS,0.0
2021,I0_S43,TAXES,0.0
2021,I0_S43,OTHER_CORPORATE_ACTION_CASH,0.0
2021,I0_S43,FEES_MEMO_ALREADY_IN_LOT_PNL,-64091.901606
2021,I0_S43,START_INVENTORY_MEMO,718634.37
2021,I0_S43,END_INVENTORY_MEMO,1150059.85
2021,I0_S43,EXTERNAL_NET_INFLOW,0.0
2021,I0_S43,NAV_CHANGE_LESS_EXTERNAL,357583.0283939999
2021,I0_S43,RECONCILED_TOTAL,357583.0283940001
2021,I0_S43,RECONCILIATION_RESIDUAL,1.7462298274040222e-10
2021,I0_FIXED3,CLOSED_LOT_TRANSACTION_MARK_PNL,462107.5358264
2021,I0_FIXED3,OPEN_END_TRANSACTION_MARK_PNL,22258.535383999995
2021,I0_FIXED3,DIVIDENDS,0.0
2021,I0_FIXED3,TAXES,0.0
2021,I0_FIXED3,OTHER_CORPORATE_ACTION_CASH,0.0
2021,I0_FIXED3,FEES_MEMO_ALREADY_IN_LOT_PNL,-68117.8887896
2021,I0_FIXED3,START_INVENTORY_MEMO,718634.37
2021,I0_FIXED3,END_INVENTORY_MEMO,1278992.24
2021,I0_FIXED3,EXTERNAL_NET_INFLOW,0.0
2021,I0_FIXED3,NAV_CHANGE_LESS_EXTERNAL,484366.07121039997
2021,I0_FIXED3,RECONCILED_TOTAL,484366.0712103999
2021,I0_FIXED3,RECONCILIATION_RESIDUAL,-5.820766091346741e-11
2021,I0_FIXED3,FIXED3_NEW_BUY_C0_LOT_PNL,81763.26972719998
2021,I0_FIXED3,FIXED3_NEW_BUY_C0_FEES_MEMO,-17010.6602728
2021,I0_FIXED3,FIXED3_NEW_BUY_C0_LOTS,574.0
2021,I0_FIXED3,FIXED3_NEW_BUY_C1_LOT_PNL,189793.3416696
2021,I0_FIXED3,FIXED3_NEW_BUY_C1_FEES_MEMO,-19015.948330400002
2021,I0_FIXED3,FIXED3_NEW_BUY_C1_LOTS,651.0
2021,I0_FIXED3,FIXED3_NEW_BUY_C2_LOT_PNL,132697.96420199997
2021,I0_FIXED3,FIXED3_NEW_BUY_C2_FEES_MEMO,-14756.515798
2021,I0_FIXED3,FIXED3_NEW_BUY_C2_LOTS,513.0
2021,I0_FIXED3,FIXED3_NEW_BUY_C3_LOT_PNL,93235.76330999998
2021,I0_FIXED3,FIXED3_NEW_BUY_C3_FEES_MEMO,-9543.706689999999
2021,I0_FIXED3,FIXED3_NEW_BUY_C3_LOTS,332.0
2021,I0_FIXED3,FIXED3_NEW_BUY_SCAN_BEYOND_TOP10_LOT_PNL,37965.7653236
2021,I0_FIXED3,FIXED3_NEW_BUY_SCAN_BEYOND_TOP10_FEES_MEMO,-6013.0746764
2021,I0_FIXED3,FIXED3_NEW_BUY_SCAN_BEYOND_TOP10_LOTS,216.0
