year,bucket,names,rank_mean,best_rank_mean,worst_rank_mean,rank_std_mean,all_seeds_top20_fraction,all_seeds_top50_fraction,label,selected,coverage,coverage_fraction,mean,median,positive_fraction,large_loss_frequency,p01,p05
2020,C0,629,34.96767355590885,18.685214626391097,56.1335453100159,16.28197607667283,0.04292527821939587,0.534181240063593,ret10,629,606,0.9634340222575517,0.014644794810790777,-0.00295824371278286,0.4834983498349835,0.057755775577557754,-0.14272507801651954,-0.10291990265250206
2020,C0,629,34.96767355590885,18.685214626391097,56.1335453100159,16.28197607667283,0.04292527821939587,0.534181240063593,ret20,629,582,0.9252782193958664,0.02361696040231008,0.00028232636395841837,0.5,0.09450171821305842,-0.17763668611645697,-0.12526352442800998
2020,C1,838,26.128480509148766,5.786396181384248,50.27326968973747,19.09507981234159,0.12052505966587113,0.6312649164677804,ret10,838,793,0.9463007159904535,0.00715812926204443,-0.005542328115552664,0.46279949558638084,0.09836065573770492,-0.18925730288028716,-0.12215463370084763
2020,C1,838,26.128480509148766,5.786396181384248,50.27326968973747,19.09507981234159,0.12052505966587113,0.6312649164677804,ret20,838,765,0.9128878281622912,0.013149624236774161,-0.008636199869215488,0.4666666666666667,0.1503267973856209,-0.21481314837932586,-0.1554857075214386
2020,C2,564,15.46158392434988,3.622340425531915,36.35992907801418,14.914294816166754,0.3723404255319149,0.7872340425531915,ret10,564,519,0.9202127659574468,0.020921000691089486,0.0034158837515860796,0.51252408477842,0.10982658959537572,-0.18921782732009887,-0.12636823505163192
2020,C2,564,15.46158392434988,3.622340425531915,36.35992907801418,14.914294816166754,0.3723404255319149,0.7872340425531915,ret20,564,500,0.8865248226950354,0.03107095193117857,-0.010307037737220526,0.468,0.166,-0.2542107179760933,-0.17254731506109236
2020,C3,388,9.830756013745704,2.329896907216495,22.9020618556701,9.514559068067896,0.9252577319587629,0.961340206185567,ret10,388,341,0.8788659793814433,0.03610384608502841,0.004290575627237558,0.5219941348973607,0.11143695014662756,-0.2892005205154419,-0.1481950581073761
2020,C3,388,9.830756013745704,2.329896907216495,22.9020618556701,9.514559068067896,0.9252577319587629,0.961340206185567,ret20,388,316,0.8144329896907216,0.06274730934396008,0.012798850890249014,0.5506329113924051,0.2088607594936709,-0.23151226863265037,-0.16692115366458893
2020,DROPPED,3750,346.89928888888886,6.152533333333333,800.5541333333333,352.2813634769596,0.0,0.021333333333333333,ret10,3750,3567,0.9512,0.0006335692501322473,-0.008372092619538307,0.4519203812727782,0.13176338659938325,-0.21525356650352478,-0.14650294184684753
2020,DROPPED,3750,346.89928888888886,6.152533333333333,800.5541333333333,352.2813634769596,0.0,0.021333333333333333,ret20,3750,3418,0.9114666666666666,0.00501325501525756,-0.02033679187297821,0.4409011117612639,0.20947922761849033,-0.2506887549161911,-0.17843641191720963
2021,C0,614,37.314332247557005,19.653094462540718,60.04071661237785,17.57660199042382,0.03908794788273615,0.4576547231270358,ret10,614,571,0.9299674267100977,0.015787985816743916,0.005478297360241413,0.532399299474606,0.03852889667250438,-0.13880805522203446,-0.09088234603404999
2021,C0,614,37.314332247557005,19.653094462540718,60.04071661237785,17.57660199042382,0.03908794788273615,0.4576547231270358,ret20,614,531,0.8648208469055375,0.0307258120403084,0.01550387591123581,0.5800376647834274,0.062146892655367235,-0.1497360110282898,-0.10540176182985306
2021,C1,721,26.54692556634304,6.144244105409154,50.625520110957005,19.132803935766262,0.13869625520110956,0.6407766990291263,ret10,721,672,0.9320388349514563,0.034004935030549986,0.019148563966155052,0.625,0.06994047619047619,-0.15711095780134202,-0.10599819086492061
2021,C1,721,26.54692556634304,6.144244105409154,50.625520110957005,19.132803935766262,0.13869625520110956,0.6407766990291263,ret20,721,631,0.8751733703190014,0.04879273461933815,0.03506907448172569,0.6133122028526149,0.08716323296354993,-0.1757308468222618,-0.11935122683644295
2021,C2,585,15.568660968660968,3.8153846153846156,35.748717948717946,14.457785004582783,0.41025641025641024,0.8051282051282052,ret10,585,561,0.958974358974359,0.03493846335818011,0.019313305616378784,0.5864527629233511,0.06951871657754011,-0.17601447999477388,-0.10926980525255203
2021,C2,585,15.568660968660968,3.8153846153846156,35.748717948717946,14.457785004582783,0.41025641025641024,0.8051282051282052,ret20,585,539,0.9213675213675213,0.0552783624607299,0.03215434029698372,0.5992578849721707,0.1038961038961039,-0.2353359517455101,-0.15610374361276624
2021,C3,399,15.791979949874689,2.5588972431077694,38.35338345864662,16.35073978269935,0.8671679197994987,0.9122807017543859,ret10,399,391,0.9799498746867168,0.04296128386125175,0.01849346049129963,0.5856777493606138,0.09462915601023018,-0.2255553424358368,-0.13242624700069427
2021,C3,399,15.791979949874689,2.5588972431077694,38.35338345864662,16.35073978269935,0.8671679197994987,0.9122807017543859,ret20,399,392,0.9824561403508771,0.07525601970537908,0.05225697346031666,0.625,0.11989795918367346,-0.3111164879798889,-0.19148188307881353
2021,DROPPED,3562,351.4993449373011,6.076923076923077,776.2692307692307,337.86926887255044,0.0005614823133071309,0.03312745648512072,ret10,3562,3318,0.93149915777653,0.021136525648004615,0.010178380645811558,0.5482218203737191,0.07655213984327909,-0.1959512659907341,-0.11902607381343841
2021,DROPPED,3562,351.4993449373011,6.076923076923077,776.2692307692307,337.86926887255044,0.0005614823133071309,0.03312745648512072,ret20,3562,3094,0.8686131386861314,0.0425567817382526,0.02331166248768568,0.5804783451842276,0.129928894634777,-0.24871212393045425,-0.14517592191696166
