kind,year,block,start_t,end_t,sessions,active_sum,fixed3_compound,mean_single_compound
STATIC_ACTIVE_NAV_RETURN,2020,0,3163,3182,20,0.02324735460676652,0.00694570104000003,-0.016447192714266496
STATIC_ACTIVE_NAV_RETURN,2020,1,3183,3202,20,0.027322443436686675,0.1283048139999634,0.09788346090248323
STATIC_ACTIVE_NAV_RETURN,2020,2,3203,3222,20,0.013419107951955705,-0.05727588587616139,-0.06987917723071917
STATIC_ACTIVE_NAV_RETURN,2020,3,3223,3242,20,0.013465537414273141,-0.0062927619353186914,-0.020605645258915617
STATIC_ACTIVE_NAV_RETURN,2020,4,3243,3262,20,0.023348896587332118,0.040640450947581064,0.01647959422119379
STATIC_ACTIVE_NAV_RETURN,2020,5,3263,3282,20,0.001443113626153015,0.046598921414958916,0.044980343321655125
STATIC_ACTIVE_NAV_RETURN,2020,6,3283,3302,20,-0.010047746909565116,0.1315666874470296,0.14294631517809267
STATIC_ACTIVE_NAV_RETURN,2020,7,3303,3322,20,0.018949374689804285,0.011484604531267317,-0.007428125893430522
STATIC_ACTIVE_NAV_RETURN,2020,8,3323,3342,20,0.009432799134835409,-0.03008526374831577,-0.03937566677802784
STATIC_ACTIVE_NAV_RETURN,2020,9,3343,3362,20,0.01801748970153546,-0.01848410097637221,-0.035737333119164084
STATIC_ACTIVE_NAV_RETURN,2020,10,3363,3382,20,0.0038728242467337437,0.026958791492328382,0.0231981555826265
STATIC_ACTIVE_NAV_RETURN,2020,11,3383,3402,20,-0.0124230129576058,-0.11314237919262571,-0.10194259607510821
STATIC_ACTIVE_NAV_RETURN,2020,12,3403,3405,3,0.01145456007268671,0.020894415794600052,0.00924383494604745
STATIC_ACTIVE_NAV_RETURN,2021,0,3406,3425,20,0.01907461768035245,-0.06983381841039948,-0.08745167396280003
STATIC_ACTIVE_NAV_RETURN,2021,1,3426,3445,20,-0.006892713291276712,0.18930781214758374,0.1985400205132032
STATIC_ACTIVE_NAV_RETURN,2021,2,3446,3465,20,0.0069891929857063655,0.02043793285105222,0.01347083154180658
STATIC_ACTIVE_NAV_RETURN,2021,3,3466,3485,20,-0.015106165192506404,-0.028961157345079647,-0.014136107998387751
STATIC_ACTIVE_NAV_RETURN,2021,4,3486,3505,20,0.0009032763866387858,0.07403614112566603,0.0729808716445357
STATIC_ACTIVE_NAV_RETURN,2021,5,3506,3525,20,-0.018857012788456785,-0.0010410848883334323,0.017972407771985166
STATIC_ACTIVE_NAV_RETURN,2021,6,3526,3545,20,-0.007564962689093314,-0.03444648449272314,-0.027154334691621356
STATIC_ACTIVE_NAV_RETURN,2021,7,3546,3565,20,0.012660064388045227,0.06336869620546803,0.0494590487987722
STATIC_ACTIVE_NAV_RETURN,2021,8,3566,3585,20,0.021938320711215115,0.04634673611203355,0.023860080878155648
STATIC_ACTIVE_NAV_RETURN,2021,9,3586,3605,20,-0.01614566830713693,-0.03969181855872439,-0.02379227832206865
STATIC_ACTIVE_NAV_RETURN,2021,10,3606,3625,20,0.0007466635702143556,0.10682352168900233,0.10583228963943614
STATIC_ACTIVE_NAV_RETURN,2021,11,3626,3645,20,0.04038376126262396,0.08859249431559557,0.04591267744751759
STATIC_ACTIVE_NAV_RETURN,2021,12,3646,3648,3,0.003344897925932991,0.01532783658057002,0.011950526479001264
