year,seed,retention,names,own_rank_mean,other_seed_rank_mean,rank_std_mean,planned_probability,fill_probability,realized_lot_pnl_coverage,realized_lot_pnl_sum,realized_lot_pnl_mean_filled,label,selected,coverage,coverage_fraction,mean,median,positive_fraction,large_loss_frequency,p01,p05
2020,17,DROPPED_BY_FIXED3,1344,6.315476190476191,509.5331101190476,339.9566217750943,0.8035714285714286,0.7946428571428571,0.7946428571428571,-97724.12298800002,-91.50198781647941,ret10,1344,1283,0.9546130952380952,-0.004291124738189729,-0.013503184542059898,0.4286827747466875,0.12159002338269681,-0.21607640475034715,-0.146002222597599
2020,17,DROPPED_BY_FIXED3,1344,6.315476190476191,509.5331101190476,339.9566217750943,0.8035714285714286,0.7946428571428571,0.7946428571428571,-97724.12298800002,-91.50198781647941,ret20,1344,1230,0.9151785714285714,0.0006606294932998565,-0.023222110234200954,0.42276422764227645,0.22113821138211381,-0.24757907375693322,-0.1739506669342518
2020,17,RETAINED_BY_FIXED3,1075,7.051162790697674,20.623255813953488,13.761127088711467,0.8316279069767442,0.826046511627907,0.826046511627907,91551.75249159995,103.09882037342337,ret10,1075,985,0.9162790697674419,0.027676831093926435,0.003943662159144878,0.516751269035533,0.10152284263959391,-0.21440642952919006,-0.12562413811683654
2020,17,RETAINED_BY_FIXED3,1075,7.051162790697674,20.623255813953488,13.761127088711467,0.8316279069767442,0.826046511627907,0.826046511627907,91551.75249159995,103.09882037342337,ret20,1075,936,0.8706976744186047,0.034983863891649626,0.0,0.49786324786324787,0.1752136752136752,-0.24179061353206635,-0.16402515023946762
2020,29,DROPPED_BY_FIXED3,1319,6.234268385140258,406.9829416224412,303.3535369278514,0.8354814253222138,0.8263836239575436,0.8263836239575436,-59839.559744000006,-54.89867866422019,ret10,1319,1245,0.9438968915845337,0.0003236439109669557,-0.008934524841606617,0.4433734939759036,0.13815261044176708,-0.213890438079834,-0.14952587485313415
2020,29,DROPPED_BY_FIXED3,1319,6.234268385140258,406.9829416224412,303.3535369278514,0.8354814253222138,0.8263836239575436,0.8263836239575436,-59839.559744000006,-54.89867866422019,ret20,1319,1195,0.9059893858984079,0.004481502504391931,-0.022522522136569023,0.4301255230125523,0.20251046025104602,-0.29043639421463013,-0.18370168656110764
2020,29,RETAINED_BY_FIXED3,1100,5.152727272727272,22.673636363636362,14.613204420480141,0.8636363636363636,0.8545454545454545,0.8545454545454545,55193.90220599996,58.716917240425495,ret10,1100,995,0.9045454545454545,0.02243129111119738,0.0,0.4984924623115578,0.09748743718592964,-0.2160298678278923,-0.12127027660608292
2020,29,RETAINED_BY_FIXED3,1100,5.152727272727272,22.673636363636362,14.613204420480141,0.8636363636363636,0.8545454545454545,0.8545454545454545,55193.90220599996,58.716917240425495,ret20,1100,945,0.8590909090909091,0.03712327689863741,-0.00283286115154624,0.4931216931216931,0.1693121693121693,-0.23146459996700286,-0.16468439102172852
2020,43,DROPPED_BY_FIXED3,1464,6.086748633879782,581.0590846994536,401.1806674558727,0.8913934426229508,0.8818306010928961,0.8818306010928961,21274.7183524,16.479255114175057,ret10,1464,1386,0.9467213114754098,0.006428441097442474,-0.004379341611638665,0.4733044733044733,0.1414141414141414,-0.22023638784885408,-0.14653202891349792
2020,43,DROPPED_BY_FIXED3,1464,6.086748633879782,581.0590846994536,401.1806674558727,0.8913934426229508,0.8818306010928961,0.8818306010928961,21274.7183524,16.479255114175057,ret20,1464,1322,0.9030054644808743,0.007601965637595792,-0.01818192284554243,0.45537065052950076,0.21709531013615735,-0.23518858581781388,-0.17864691466093063
2020,43,RETAINED_BY_FIXED3,955,9.218848167539267,18.881675392670157,13.646294981901992,0.8450261780104712,0.8356020942408376,0.8356020942408376,-8415.810084800003,-10.54612792581454,ret10,955,874,0.9151832460732985,0.01687164357434468,-0.002104447688907385,0.4897025171624714,0.12471395881006865,-0.2185308127105236,-0.14208776131272316
2020,43,RETAINED_BY_FIXED3,955,9.218848167539267,18.881675392670157,13.646294981901992,0.8450261780104712,0.8356020942408376,0.8356020942408376,-8415.810084800003,-10.54612792581454,ret20,955,832,0.8712041884816754,0.039409219301188174,0.0,0.4987980769230769,0.18629807692307693,-0.25233429357409476,-0.17541967779397963
2021,17,DROPPED_BY_FIXED3,1308,6.188837920489297,586.3730886850153,380.07236072611687,0.8952599388379205,0.8876146788990825,0.8876146788990825,240752.02711159998,207.36608709009474,ret10,1308,1208,0.9235474006116208,0.025388098528786193,0.011565709952265024,0.5562913907284768,0.07864238410596026,-0.1866968321800232,-0.11823068670928479
2021,17,DROPPED_BY_FIXED3,1308,6.188837920489297,586.3730886850153,380.07236072611687,0.8952599388379205,0.8876146788990825,0.8876146788990825,240752.02711159998,207.36608709009474,ret20,1308,1117,0.8539755351681957,0.05354159077966968,0.030701754614710808,0.6078782452999105,0.11727842435094002,-0.24418962121009827,-0.14339418709278107
2021,17,RETAINED_BY_FIXED3,1011,7.115727002967359,21.99406528189911,15.34867957126115,0.8803165182987142,0.8763600395647874,0.8763600395647874,250991.4173296,283.2860240740406,ret10,1011,989,0.9782393669634025,0.03643859284296835,0.015202702954411507,0.5783619817997978,0.08190091001011122,-0.18983189642429352,-0.12169349193572997
2021,17,RETAINED_BY_FIXED3,1011,7.115727002967359,21.99406528189911,15.34867957126115,0.8803165182987142,0.8763600395647874,0.8763600395647874,250991.4173296,283.2860240740406,ret20,1011,981,0.9703264094955489,0.062467460897936276,0.035982921719551086,0.6106014271151886,0.109072375127421,-0.2807618498802185,-0.1666666716337204
2021,29,DROPPED_BY_FIXED3,1293,6.3503480278422275,498.3955916473318,306.94471856886105,0.9373549883990719,0.9288476411446249,0.9288476411446249,198691.57872519997,165.43845022914235,ret10,1293,1206,0.9327146171693735,0.022096250299021646,0.011536295060068369,0.5472636815920398,0.06301824212271974,-0.1691676676273346,-0.11115455813705921
2021,29,DROPPED_BY_FIXED3,1293,6.3503480278422275,498.3955916473318,306.94471856886105,0.9373549883990719,0.9288476411446249,0.9288476411446249,198691.57872519997,165.43845022914235,ret20,1293,1123,0.868522815158546,0.038396959900613446,0.021052632480859756,0.5770258236865539,0.11219946571682991,-0.1970794528722763,-0.1351432055234909
2021,29,RETAINED_BY_FIXED3,1026,15.984405458089668,20.137426900584796,16.188453945308016,0.8742690058479532,0.8713450292397661,0.8713450292397661,217445.11651879997,243.22719968545857,ret10,1026,986,0.9610136452241715,0.03489337073786569,0.02037114556878805,0.6075050709939148,0.07707910750507099,-0.180079285800457,-0.1138308010995388
2021,29,RETAINED_BY_FIXED3,1026,15.984405458089668,20.137426900584796,16.188453945308016,0.8742690058479532,0.8713450292397661,0.8713450292397661,217445.11651879997,243.22719968545857,ret20,1026,955,0.9307992202729045,0.055142963873569886,0.03731976076960564,0.6104712041884817,0.10366492146596859,-0.27540547132492066,-0.16181520819664
2021,43,DROPPED_BY_FIXED3,1268,5.96608832807571,423.49014195583595,303.400290884478,0.8919558359621451,0.8832807570977917,0.8832807570977917,112764.82040280002,100.68287535964288,ret10,1268,1202,0.9479495268138801,0.020219636071400142,0.009823938831686974,0.5474209650582362,0.09151414309484193,-0.22354025647044182,-0.127899944037199
2021,43,DROPPED_BY_FIXED3,1268,5.96608832807571,423.49014195583595,303.400290884478,0.8919558359621451,0.8832807570977917,0.8832807570977917,112764.82040280002,100.68287535964288,ret20,1268,1141,0.8998422712933754,0.037456004087053386,0.02033156156539917,0.5644171779141104,0.1691498685363716,-0.2636127293109894,-0.15719696879386902
2021,43,RETAINED_BY_FIXED3,1051,5.966698382492864,25.2697431018078,17.27433569791571,0.8620361560418649,0.8553758325404377,0.8553758325404377,263287.40211639996,292.86696564671854,ret10,1051,992,0.9438629876308278,0.04234196202462169,0.020492147654294968,0.5987903225806451,0.07963709677419355,-0.19532390505075456,-0.12284980528056622
