quintile,observations,mean_fwd10,median_fwd10,mean_mfe10,mean_mae10,new_high10,mechanism,feature,limit_close
1.0,17124,0.001653183069372489,-0.006675235646957767,0.05574295622684422,-0.050262555356416515,0.7951413221209997,turnover,turnover_rel,
2.0,17122,0.0029334775291197,-0.005723007319160978,0.05732646024710921,-0.04910743708786986,0.8024179418292255,turnover,turnover_rel,
3.0,17122,0.0033404511912686606,-0.005150783321318908,0.05941525748317473,-0.04949354779515948,0.8079663590702021,turnover,turnover_rel,
4.0,17122,0.0035783768819404142,-0.006257062100811173,0.06167690840404097,-0.0510365735519273,0.8038196472374722,turnover,turnover_rel,
5.0,17123,-0.0016223934085946665,-0.01405975395430592,0.0650226564365699,-0.05845980780801341,0.7862524090404719,turnover,turnover_rel,
,84159,0.002148410866333572,,0.05929116899423701,-0.05100342799392812,,limit_close,limit_close,False
,1807,-0.00624976020366776,,0.08821718224784522,-0.08015982990711523,,limit_close,limit_close,True
