year,events,stocks,sectors,mean_fwd10,pressure_events,sector_breadth20_high_minus_low_fwd10,resilience_high_minus_low_fwd10
2020,18939,3529,119,0.0015359398671544123,3498,-0.0037419883696745383,0.00178104029646287
2021,20783,4026,120,0.007248024767347556,3904,0.0035954222094596857,0.00033362594990071163
2022,23497,4440,120,-0.0030529378958239484,5788,-0.002045890113100278,0.0009035501078337926
2023,22747,4657,120,0.002694660350826683,4561,-0.007487043843911058,0.0029902255640416146
