test_year,train_end,feature,high_minus_low_fwd10,train_observations,test_observations
2021,2020,sector_breadth20,0.0037174629472809806,18939,20783
2022,2021,sector_breadth20,-0.001440025384976771,39722,23497
2023,2022,sector_breadth20,-0.007122047012496551,63219,22747
2021,2020,resilience,0.0005480811078753057,3498,3904
2022,2021,resilience,0.0012525516332635889,7402,5788
2023,2022,resilience,0.0034038876340944033,13190,4561
