term,coefficient,observations
intercept,-0.001747458066305942,84143
ret20,-0.02378548315661112,84143
ret60,-0.012857155047995786,84143
rs20,0.006976866112528346,84143
rs60,0.004926743451549195,84143
sector_ret5,-0.021625161093077917,84143
sector_breadth20,-0.0010074932086213714,84143
resilience,0.025448252239278095,84143
