method_id,model,split,group,market_scope,position_scope,horizon,event_rows,independent_symbols,mean_future_return,return_ci_low,return_ci_high,mean_mfe,mean_mae,probability_plus_10,probability_plus_20,probability_plus_30,probability_drawdown_10,matched_control_group,matched_pairs,matched_future_return_excess,matched_mfe_excess,matched_mae_excess,matched_hit_10_excess,matched_hit_20_excess,matched_hit_30_excess,matched_drawdown_10_excess,aligned_matched_return_excess
LOCKED_PROFITABLE_INVENTORY,ACTIVE_STICKY,discovery,LARGE_LOCKED,ALL,LOW,10,1,1,-0.02375,NA,NA,0.016875,-0.05125,0,0,0,0,MIGRATED,1,0.0191071428571,-0.000267857142857,0.131607142857,0,0,0,-1,0.0191071428571
LOCKED_PROFITABLE_INVENTORY,ACTIVE_STICKY,discovery,LARGE_LOCKED,ALL,LOW,20,1,1,-0.006875,NA,NA,0.016875,-0.1025,0,0,0,1,MIGRATED,1,-0.0440178571429,-0.0945535714286,0.0803571428571,-1,0,0,0,-0.0440178571429
LOCKED_PROFITABLE_INVENTORY,ACTIVE_STICKY,discovery,LARGE_LOCKED,ALL,LOW,40,1,1,0.070625,NA,NA,0.13875,-0.1025,1,0,0,1,MIGRATED,1,-0.0636607142857,-0.286964285714,0.0803571428571,0,-1,-1,0,-0.0636607142857
LOCKED_PROFITABLE_INVENTORY,ACTIVE_STICKY,discovery,LARGE_LOCKED,ALL,LOW,60,1,1,0.2325,NA,NA,0.2725,-0.1025,1,1,0,1,MIGRATED,1,0.1325,-0.153214285714,0.0803571428571,0,0,-1,0,0.1325
LOCKED_PROFITABLE_INVENTORY,ACTIVE_STICKY,discovery,LARGE_LOCKED,ALL,LOW,120,1,1,0.0075,NA,NA,0.2725,-0.1025,1,1,0,1,MIGRATED,1,-0.201071428571,-0.153214285714,0.0803571428571,0,0,-1,0,-0.201071428571
LOCKED_PROFITABLE_INVENTORY,ACTIVE_STICKY,discovery,LARGE_LOCKED,ALL,MODERATE,5,17,13,0.0485156659432,0.0211603914393,0.0758709404471,0.0935728047311,-0.0225403626992,0.461538461538,0.0384615384615,0,0.0769230769231,MIGRATED,17,-0.00382311939301,0.00825214589153,-0.00500676814034,0.153846153846,0.0384615384615,0,0.0769230769231,-0.00382311939301
LOCKED_PROFITABLE_INVENTORY,ACTIVE_STICKY,discovery,LARGE_LOCKED,ALL,MODERATE,10,17,13,0.0256157110042,-0.00897516324508,0.0602065852535,0.108265743798,-0.0412729188054,0.5,0.0384615384615,0,0.115384615385,MIGRATED,17,0.0241452677807,-0.00210008906205,0.0367798760772,-0.0384615384615,-0.0384615384615,0,-0.230769230769,0.0241452677807
LOCKED_PROFITABLE_INVENTORY,ACTIVE_STICKY,discovery,LARGE_LOCKED,ALL,MODERATE,20,17,13,-2.73099479206e-05,-0.0504992501294,0.0504446302336,0.125742418477,-0.093660941508,0.692307692308,0.0769230769231,0,0.461538461538,MIGRATED,17,0.01873494692,-0.012294451583,0.0311647784138,0.0769230769231,-0.192307692308,-0.0769230769231,-0.0769230769231,0.01873494692
LOCKED_PROFITABLE_INVENTORY,ACTIVE_STICKY,discovery,LARGE_LOCKED,ALL,MODERATE,40,17,13,0.0558316364372,-0.0267099639092,0.138373236784,0.177060836818,-0.105450397761,0.730769230769,0.423076923077,0.153846153846,0.5,MIGRATED,17,0.0500091524475,-0.00182642964125,0.0205010257255,0.115384615385,0,-0.0769230769231,-0.0384615384615,0.0500091524475
LOCKED_PROFITABLE_INVENTORY,ACTIVE_STICKY,discovery,LARGE_LOCKED,ALL,MODERATE,60,17,13,0.109584487804,-0.0115825955815,0.230751571188,0.297737957147,-0.11360859449,0.884615384615,0.615384615385,0.307692307692,0.576923076923,MIGRATED,17,0.0908065996834,0.0759271007019,0.0147645912035,0.269230769231,0.192307692308,0.0769230769231,0.0384615384615,0.0908065996834
