model,split,group,market_scope,position_scope,horizon,event_rows,independent_symbols,mean_future_return,return_ci_low,return_ci_high,mean_mfe,mean_mae,probability_plus_10,probability_plus_20,probability_plus_30,probability_drawdown_10,matched_control_group,matched_pairs,matched_future_return_excess,matched_mfe_excess,matched_mae_excess,matched_hit_10_excess,matched_hit_20_excess,matched_hit_30_excess,matched_drawdown_10_excess
ACTIVE_STICKY,discovery,HIGH_CONTROL_HIGH_PROFIT,STRONG,ALL,10,2,2,0.0615350320061,-0.0221411153885,0.145211179401,0.107696446599,0.00451712078013,0.5,0,0,0,HIGH_CONTROL_LOW_MODERATE_PROFIT,2,0.079345007644,0.0659475044271,0.0481752492055,0.5,0,0,0
ACTIVE_STICKY,discovery,HIGH_CONTROL_HIGH_PROFIT,STRONG,ALL,20,2,2,0.0191310781127,-0.0767707429636,0.115032899189,0.144221702038,-0.112638536039,0.5,0,0,0.5,HIGH_CONTROL_LOW_MODERATE_PROFIT,2,0.0825187247867,0.0643909545062,0.0253804736304,0,0,0,0
ACTIVE_STICKY,discovery,HIGH_CONTROL_HIGH_PROFIT,STRONG,ALL,40,2,2,0.234562730893,0.154060284671,0.315065177115,0.272598431312,-0.112638536039,1,1,0.5,0.5,HIGH_CONTROL_LOW_MODERATE_PROFIT,2,0.0521793878613,-0.0271194812413,0.0253804736304,0.5,0.5,0,0
ACTIVE_STICKY,discovery,HIGH_CONTROL_HIGH_PROFIT,STRONG,ALL,60,2,2,0.187518305062,0.136914942478,0.238121667647,0.281866062415,-0.128122261174,1,1,0.5,0.5,HIGH_CONTROL_LOW_MODERATE_PROFIT,2,0.201154011152,-0.0178518501382,0.00989674849481,0.5,0.5,0,0
ACTIVE_STICKY,discovery,HIGH_CONTROL_HIGH_PROFIT,STRONG,ALL,120,2,2,-0.134425512264,-0.241994453011,-0.0268565715173,0.430125556086,-0.310861003561,1,1,1,1,HIGH_CONTROL_LOW_MODERATE_PROFIT,2,-0.225583155749,0.130407643533,-0.171093742144,0.5,0.5,0.5,0.5
ACTIVE_STICKY,discovery,HIGH_CONTROL_HIGH_PROFIT,ALL,LOW,5,1,1,-0.0075,NA,NA,0.016875,-0.05125,0,0,0,0,HIGH_CONTROL_LOW_MODERATE_PROFIT,1,0.00922240802676,0.015588660921,-0.00134004373553,0,0,0,0
ACTIVE_STICKY,discovery,HIGH_CONTROL_HIGH_PROFIT,ALL,LOW,10,1,1,-0.02375,NA,NA,0.016875,-0.05125,0,0,0,0,HIGH_CONTROL_LOW_MODERATE_PROFIT,1,-0.0656846539748,-0.0327776884487,0.00997974015951,0,0,0,0
ACTIVE_STICKY,discovery,HIGH_CONTROL_HIGH_PROFIT,ALL,LOW,20,1,1,-0.006875,NA,NA,0.016875,-0.1025,0,0,0,1,HIGH_CONTROL_LOW_MODERATE_PROFIT,1,-0.0426352263957,-0.0891193401081,-0.0412702598405,-1,0,0,1
ACTIVE_STICKY,discovery,HIGH_CONTROL_HIGH_PROFIT,ALL,LOW,40,1,1,0.070625,NA,NA,0.13875,-0.1025,1,0,0,1,HIGH_CONTROL_LOW_MODERATE_PROFIT,1,-0.151397125032,-0.166884165166,-0.0412702598405,0,-1,-1,1
ACTIVE_STICKY,discovery,HIGH_CONTROL_HIGH_PROFIT,ALL,LOW,60,1,1,0.2325,NA,NA,0.2725,-0.1025,1,1,0,1,HIGH_CONTROL_LOW_MODERATE_PROFIT,1,-0.336319140725,-0.415176871623,-0.0412702598405,0,0,-1,1
ACTIVE_STICKY,discovery,HIGH_CONTROL_HIGH_PROFIT,ALL,LOW,120,1,1,0.0075,NA,NA,0.2725,-0.1025,1,1,0,1,HIGH_CONTROL_LOW_MODERATE_PROFIT,1,-0.309711216877,-0.682735400051,-0.0412702598405,0,0,-1,1
ACTIVE_STICKY,discovery,HIGH_CONTROL_HIGH_PROFIT,ALL,HIGH,5,13,7,0.0221036841091,-0.017256842993,0.0614642112111,0.0741769016173,-0.0432608489911,0.333333333333,0,0,0.178571428571,HIGH_CONTROL_LOW_MODERATE_PROFIT,13,-0.00922678761115,-0.026104387742,-0.0152042731723,-0.202380952381,-0.0357142857143,0,0.0952380952381
ACTIVE_STICKY,discovery,HIGH_CONTROL_HIGH_PROFIT,ALL,HIGH,10,13,7,-0.00668514232852,-0.0430938231778,0.0297235385207,0.0844914939814,-0.0617329527511,0.452380952381,0,0,0.285714285714,HIGH_CONTROL_LOW_MODERATE_PROFIT,13,-0.0430101224312,-0.0295332632274,-0.0201732492416,-0.119047619048,-0.0357142857143,0,0.0595238095238
ACTIVE_STICKY,discovery,HIGH_CONTROL_HIGH_PROFIT,ALL,HIGH,20,13,7,-0.0408993225908,-0.109504897005,0.0277062518231,0.102303218613,-0.125495462318,0.52380952381,0.0357142857143,0.0357142857143,0.607142857143,HIGH_CONTROL_LOW_MODERATE_PROFIT,13,-0.0158823859352,-0.0440252566108,-0.0255330340114,-0.0952380952381,-0.178571428571,0,0.130952380952
ACTIVE_STICKY,discovery,HIGH_CONTROL_HIGH_PROFIT,ALL,HIGH,40,13,7,-0.0414436549847,-0.110354149913,0.0274668399435,0.119168361453,-0.184610499834,0.607142857143,0.119047619048,0.0714285714286,0.952380952381,HIGH_CONTROL_LOW_MODERATE_PROFIT,13,-0.0823431594902,-0.105844446309,-0.0362993480276,-0.0119047619048,-0.357142857143,-0.261904761905,0.47619047619
ACTIVE_STICKY,discovery,HIGH_CONTROL_HIGH_PROFIT,ALL,HIGH,60,13,7,0.00262773660064,-0.112848607424,0.118104080626,0.166585143419,-0.20819048864,0.892857142857,0.309523809524,0.0714285714286,0.952380952381,HIGH_CONTROL_LOW_MODERATE_PROFIT,13,-0.163989686809,-0.222376754514,-0.0585981068532,0.22619047619,-0.214285714286,-0.309523809524,0.47619047619
ACTIVE_STICKY,discovery,HIGH_CONTROL_HIGH_PROFIT,ALL,HIGH,120,13,7,-0.0412409731456,-0.224815395209,0.142333448917,0.364920237745,-0.249745284009,0.964285714286,0.738095238095,0.52380952381,1,HIGH_CONTROL_LOW_MODERATE_PROFIT,13,-0.279949681042,-0.268999433249,-0.0977858746308,0.119047619048,0.0357142857143,-0.142857142857,0.52380952381
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,ALL,5,223,115,0.0177912828158,0.00294184784319,0.0326407177884,0.0614823014891,-0.0480969763296,0.221884057971,0.0650724637681,0.0376811594203,0.167826086957,LOW_CONTROL,223,0.0139639362414,0.034583171055,0.0114091366686,0.112608695652,0.0520289855072,0.0376811594203,-0.0423188405797
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,ALL,10,223,115,0.0115658122327,-0.0026501178239,0.0257817422894,0.084902108281,-0.060311229757,0.293043478261,0.0759420289855,0.0420289855072,0.214057971014,LOW_CONTROL,223,-0.00500503857901,0.022694199701,0.0124681934235,0.134347826087,-0.00449275362319,-0.0115942028986,-0.00434782608696
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,ALL,20,223,115,-0.0218364793399,-0.0515128792181,0.00783992053823,0.1340503005,-0.138919962469,0.446376811594,0.194637681159,0.107971014493,0.634202898551,LOW_CONTROL,223,0.0151868302103,0.00958309830546,0.0183106930743,0.086231884058,-0.0824637681159,0.0236231884058,-0.0352173913043
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,ALL,40,223,115,0.032964736796,-0.000210709622539,0.0661401832145,0.20349532886,-0.152125801642,0.55884057971,0.386231884058,0.229565217391,0.690434782609,LOW_CONTROL,223,0.0356945666721,0.0419001856018,0.0106802689557,0.145797101449,0.0626086956522,0.114782608696,-0.0588405797101
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,ALL,60,222,115,0.0208359867758,-0.0233817906624,0.0650537642139,0.271351577675,-0.171480612127,0.655797101449,0.483043478261,0.313043478261,0.714202898551,LOW_CONTROL,223,0.061095464758,0.0708886751296,0.000781834417376,0.167826086957,0.120579710145,0.190434782609,-0.048115942029
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,ALL,120,220,114,0.138072239857,0.0880977116134,0.188046768101,0.388289428809,-0.188286340707,0.762865497076,0.661257309942,0.497953216374,0.743128654971,LOW_CONTROL,223,0.0659291013866,0.105873604001,0.0022779686952,0.0906432748538,0.0489766081871,0.268421052632,-0.0915204678363
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,BROADLY_WEAK,ALL,5,141,83,0.0200360759059,-0.000306609737813,0.0403787615497,0.0632619109174,-0.0682958808996,0.29718875502,0.0843373493976,0.0301204819277,0.326305220884,LOW_CONTROL,141,0.00645255334719,0.0319254461881,0.0165464412229,0.14859437751,0.0602409638554,0.0301204819277,-0.0923694779116
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,BROADLY_WEAK,ALL,10,141,83,0.0192012056464,-0.000647395767484,0.0390498070602,0.0947278481135,-0.0826588322984,0.345381526104,0.106425702811,0.0421686746988,0.38453815261,LOW_CONTROL,141,-0.00632261701032,0.0225678895108,0.0208816925575,0.172690763052,0.00200803212851,-0.0381526104418,-0.0532128514056
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,BROADLY_WEAK,ALL,20,141,83,0.0368509167328,9.54233587626e-05,0.0736064101069,0.168650153129,-0.100474651985,0.591365461847,0.259036144578,0.142570281124,0.480923694779,LOW_CONTROL,141,0.00121110860211,-0.017272256983,0.0163929019251,0.0120481927711,-0.218875502008,0.0170682730924,-0.00401606425703
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,BROADLY_WEAK,ALL,40,141,83,0.0487016673062,0.00506592171504,0.0923374128974,0.242295509688,-0.125166497452,0.712851405622,0.479919678715,0.275100401606,0.579317269076,LOW_CONTROL,141,0.0628375493132,0.020811195992,0.00164016963912,0.0321285140562,-0.0552208835341,0.137550200803,-0.0502008032129
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,BROADLY_WEAK,ALL,60,140,83,0.110617101197,0.0502900496194,0.170944152774,0.353424535501,-0.134354785608,0.847389558233,0.63453815261,0.399598393574,0.591365461847,LOW_CONTROL,141,0.0951787233331,0.0801874923379,0.0056940972872,0.0512048192771,0.0251004016064,0.243975903614,-0.0562248995984
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,BROADLY_WEAK,ALL,120,139,82,0.18032082861,0.116132788866,0.244508868355,0.508485916043,-0.151718314372,0.922764227642,0.829268292683,0.639227642276,0.631097560976,LOW_CONTROL,141,0.114368772957,0.128260458276,0.0066676838134,0.0914634146341,0.0752032520325,0.283536585366,-0.109756097561
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,STRONG,ALL,5,82,82,0.0132915569633,-0.000558262816147,0.0271413767427,0.0516931368843,-0.0324484780421,0.134146341463,0.0243902439024,0.0243902439024,0.0243902439024,LOW_CONTROL,82,0.028274955809,0.0385399831607,0.00341230773537,0.0975609756098,0.0243902439024,0.0243902439024,0.0243902439024
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,STRONG,ALL,10,82,82,0.00794416030118,-0.00791047818245,0.0237987987848,0.0695278866236,-0.0414299262359,0.243902439024,0.0243902439024,0.0243902439024,0.0609756097561,LOW_CONTROL,82,0.00596568391575,0.0263632149413,0.000980282586515,0.134146341463,-0.0121951219512,0.0243902439024,0.0609756097561
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,STRONG,ALL,20,82,82,-0.0685831222459,-0.102045960119,-0.035120284373,0.106031735273,-0.179411728397,0.329268292683,0.158536585366,0.0853658536585,0.829268292683,LOW_CONTROL,82,0.0683897317256,0.0610960181966,0.0352792395103,0.219512195122,0.121951219512,0.0853658536585,-0.121951219512
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,STRONG,ALL,40,82,82,0.0499595126443,0.00793907943921,0.0919799458494,0.190562066937,-0.17972217185,0.487804878049,0.365853658537,0.243902439024,0.829268292683,LOW_CONTROL,82,0.0513823904292,0.112100453635,0.0349687960573,0.378048780488,0.292682926829,0.207317073171,-0.121951219512
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,STRONG,ALL,60,82,82,-0.0599237280598,-0.103663508322,-0.0161839477977,0.204853371144,-0.20930438177,0.5,0.365853658537,0.256097560976,0.853658536585,LOW_CONTROL,82,0.0717493423587,0.108455756756,0.0106333184754,0.390243902439,0.292682926829,0.219512195122,-0.0975609756098
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,STRONG,ALL,120,81,81,0.146467129729,0.08933354755,0.203600711907,0.287668221808,-0.221628244695,0.654320987654,0.543209876543,0.382716049383,0.864197530864,LOW_CONTROL,82,0.0489488154598,0.125733342926,0.0136145877538,0.148148148148,0.0493827160494,0.333333333333,-0.123456790123
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,LOW,5,5,5,0.0159988415647,-0.0826528321423,0.114650515272,0.0711392906089,-0.103781830674,0.6,0,0,0.8,LOW_CONTROL,5,0.032938757115,0.0669421822656,0.00141442492829,0.4,0,0,0.2
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,LOW,10,5,5,0.00429562181677,-0.0788209540233,0.0874121976568,0.0973649841302,-0.111121280215,0.6,0,0,0.8,LOW_CONTROL,5,0.0164959622067,0.0447515317023,-0.00528193779628,0.4,-0.2,0,0.2
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,LOW,20,5,5,-0.0715661232751,-0.223473336807,0.080341090257,0.127649632823,-0.18928856926,0.6,0.2,0,1,LOW_CONTROL,5,-0.0797550280553,-0.0396828683436,0.000703704125371,0,-0.4,-0.2,0
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,LOW,40,5,5,0.00421390454829,-0.143641833133,0.15206964223,0.177748439226,-0.18928856926,0.8,0.4,0.2,1,LOW_CONTROL,5,0.0186201195969,-0.0667247119286,0.000703704125371,0.2,-0.2,-0.2,0
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,LOW,60,5,5,0.0025443743144,-0.195446151383,0.200534900011,0.193880428227,-0.189900190055,0.8,0.6,0.2,1,LOW_CONTROL,5,0.0633061102993,-0.0600863938138,0.0102265197315,0,0,-0.2,0
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,LOW,120,5,5,0.176487266876,-0.0656992909577,0.41867382471,0.440795915821,-0.189900190055,1,0.8,0.6,1,LOW_CONTROL,5,0.0234229330173,0.0697919864701,0.0102265197315,0.2,0,0,0
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,MODERATE,5,71,54,0.0166149484172,-0.0028131431163,0.0360430399508,0.0598579555799,-0.0415427090447,0.171296296296,0.0432098765432,0.0185185185185,0.125,LOW_CONTROL,71,0.0116885983364,0.0254667143686,0.00289108878061,0.0895061728395,0.0246913580247,0.0185185185185,0.00462962962963
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,MODERATE,10,71,54,-0.000137970287609,-0.0171666143432,0.016890673768,0.0749815066709,-0.0584054263891,0.236111111111,0.0524691358025,0.0185185185185,0.217592592593,LOW_CONTROL,71,-0.00514869967964,0.0164935858417,0.00365909848726,0.0833333333333,-0.00308641975309,-0.0185185185185,0.0833333333333
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,MODERATE,20,71,54,-0.0390018277147,-0.073271075347,-0.00473258008243,0.105571618992,-0.136354741033,0.37037037037,0.114197530864,0.0740740740741,0.640432098765,LOW_CONTROL,71,-0.000621285834511,0.00651582467486,0.00350968376218,0.0941358024691,-0.0123456790123,0,0.0787037037037
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,MODERATE,40,71,54,0.0201522932671,-0.0279595385962,0.0682641251304,0.169323366639,-0.14765055415,0.54012345679,0.320987654321,0.151234567901,0.677469135802,LOW_CONTROL,71,0.0385946581645,0.0444566284562,0.00035560960134,0.166666666667,0.114197530864,0.0771604938272,0.0555555555556
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,MODERATE,60,71,54,0.0254369110622,-0.0397129753722,0.0905867974967,0.247292971967,-0.164819827722,0.648148148148,0.467592592593,0.288580246914,0.70524691358,LOW_CONTROL,71,0.0504466859918,0.0876746767615,-0.00495289577594,0.157407407407,0.217592592593,0.195987654321,0.0555555555556
ACTIVE_STICKY,discovery,HIGH_CONTROL_LOW_MODERATE_PROFIT,ALL,MODERATE,120,71,54,0.143654997378,0.0704851740234,0.216824820733,0.395772206407,-0.182041628317,0.777777777778,0.657407407407,0.49537037037,0.723765432099,LOW_CONTROL,71,0.0943931469871,0.137421274986,-0.00206368517303,0.168209876543,0.183641975309,0.223765432099,0.0216049382716
