method_id,model,split,horizon,event_rows,independent_symbols,future_return_excess_vs_complement,classification
LOW_POSITION_LOCKED,UNIFORM,validation,5,12,8,0.000877376031577,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,UNIFORM,validation,10,12,8,-0.0249584453609,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,UNIFORM,validation,20,12,8,0.0214102386014,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,UNIFORM,validation,40,12,8,-0.0231137301629,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,UNIFORM,validation,60,12,8,-0.0130696708775,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,UNIFORM,validation,120,12,8,0.0506752127851,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,UNIFORM,holdout,5,3,3,0.00752901366327,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,UNIFORM,holdout,10,3,3,0.00585524538832,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,UNIFORM,holdout,20,3,3,0.00575021789048,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,UNIFORM,holdout,40,3,3,-0.106173155118,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,UNIFORM,holdout,60,3,3,-0.122476424171,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,UNIFORM,holdout,120,3,3,-0.167546099795,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,DISPOSITION,validation,5,4,3,-0.0125928879154,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,DISPOSITION,validation,10,4,3,-0.0295888555041,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,DISPOSITION,validation,20,4,3,-0.00545694091214,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,DISPOSITION,validation,40,4,3,-0.0504108819417,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,DISPOSITION,validation,60,4,3,-0.153569357115,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,DISPOSITION,validation,120,4,3,0.00556689780231,DESCRIPTIVE_ONLY
LOW_POSITION_LOCKED,DISPOSITION,holdout,5,2,2,0.0466906900044,DESCRIPTIVE_ONLY
