method_id,model,split,event_rows,independent_symbols,matched_return_excess_60,aligned_return_excess_60,seller_agreement_scope
LOCKED_PROFITABLE_INVENTORY,ACTIVE_STICKY,holdout,148,63,-0.0354155271638,-0.0354155271638,ALL_STATES
LOCKED_PROFITABLE_INVENTORY,ACTIVE_STICKY,validation,154,82,0.061776915272,0.061776915272,ALL_STATES
LOCKED_PROFITABLE_INVENTORY,DISPOSITION,holdout,41,22,0.0510147195426,0.0510147195426,ALL_STATES
LOCKED_PROFITABLE_INVENTORY,DISPOSITION,validation,37,25,0.0352363662122,0.0352363662122,ALL_STATES
LOCKED_PROFITABLE_INVENTORY,ENSEMBLE,holdout,70,34,0.0605458104149,0.0605458104149,ALL_STATES
LOCKED_PROFITABLE_INVENTORY,ENSEMBLE,validation,72,45,0.0162059796541,0.0162059796541,ALL_STATES
LOCKED_PROFITABLE_INVENTORY,UNIFORM,holdout,85,42,-0.0216648411881,-0.0216648411881,ALL_STATES
LOCKED_PROFITABLE_INVENTORY,UNIFORM,validation,69,43,0.0292566345619,0.0292566345619,ALL_STATES
COST_LOW_LOCK_WHILE_PRICE_RISES,ACTIVE_STICKY,holdout,148,63,-0.0354155271638,-0.0354155271638,ALL_STATES
COST_LOW_LOCK_WHILE_PRICE_RISES,ACTIVE_STICKY,validation,154,82,0.061776915272,0.061776915272,ALL_STATES
COST_LOW_LOCK_WHILE_PRICE_RISES,DISPOSITION,holdout,41,22,0.0510147195426,0.0510147195426,ALL_STATES
COST_LOW_LOCK_WHILE_PRICE_RISES,DISPOSITION,validation,37,25,0.0352363662122,0.0352363662122,ALL_STATES
COST_LOW_LOCK_WHILE_PRICE_RISES,ENSEMBLE,holdout,70,34,0.0605458104149,0.0605458104149,ALL_STATES
COST_LOW_LOCK_WHILE_PRICE_RISES,ENSEMBLE,validation,72,45,0.0162059796541,0.0162059796541,ALL_STATES
COST_LOW_LOCK_WHILE_PRICE_RISES,UNIFORM,holdout,85,42,-0.0216648411881,-0.0216648411881,ALL_STATES
COST_LOW_LOCK_WHILE_PRICE_RISES,UNIFORM,validation,69,43,0.0292566345619,0.0292566345619,ALL_STATES
LOW_COST_BASE_MIGRATION,ACTIVE_STICKY,holdout,39,33,-0.0215564805242,0.0215564805242,ALL_STATES
LOW_COST_BASE_MIGRATION,ACTIVE_STICKY,validation,72,61,-0.0906974437445,0.0906974437445,ALL_STATES
LOW_COST_BASE_MIGRATION,DISPOSITION,holdout,56,43,0.0162101832429,-0.0162101832429,ALL_STATES
LOW_COST_BASE_MIGRATION,DISPOSITION,validation,87,63,-0.0178480189977,0.0178480189977,ALL_STATES
LOW_COST_BASE_MIGRATION,ENSEMBLE,holdout,52,44,0.0202037112697,-0.0202037112697,ALL_STATES
LOW_COST_BASE_MIGRATION,ENSEMBLE,validation,92,67,-0.0319774288094,0.0319774288094,ALL_STATES
LOW_COST_BASE_MIGRATION,UNIFORM,holdout,64,55,-0.0476209367544,0.0476209367544,ALL_STATES
LOW_COST_BASE_MIGRATION,UNIFORM,validation,106,78,-0.0191786101591,0.0191786101591,ALL_STATES
DOWNSHIFT_METHOD,ACTIVE_STICKY,holdout,30,18,-0.132194245029,-0.132194245029,ALL_STATES
DOWNSHIFT_METHOD,ACTIVE_STICKY,validation,44,33,0.0113311735575,0.0113311735575,ALL_STATES
