model,split,side,touch_bucket,metric,horizon,N,independent_event_count,effect,ci_low,ci_high
ACTIVE_STICKY,discovery,RESISTANCE,FIRST,reaction_probability,3,3008,3008,0.436835106383,0.41952293883,0.453465757979
ACTIVE_STICKY,discovery,RESISTANCE,FIRST,close_favorable_probability,0,3078,3078,0.471410006498,0.453525016244,0.489603638726
ACTIVE_STICKY,discovery,RESISTANCE,FIRST,cross_probability_10,10,2859,2859,0.303602658272,0.288195173137,0.317952081147
ACTIVE_STICKY,discovery,RESISTANCE,FIRST,time_to_cross_10,10,2901,2901,8.59910375733,8.46431402964,8.7356601172
ACTIVE_STICKY,discovery,RESISTANCE,FIRST,future_return_5,5,2972,2972,-0.000249001298964,-0.00315701451708,0.00311435276617
ACTIVE_STICKY,discovery,RESISTANCE,FIRST,mae_10,10,2859,2859,-0.0808579042001,-0.0833438316408,-0.0785150202099
ACTIVE_STICKY,discovery,RESISTANCE,FIRST,mfe_10,10,2859,2859,0.0921464991458,0.088065459317,0.0954363192142
ACTIVE_STICKY,discovery,RESISTANCE,SECOND,reaction_probability,3,1973,1973,0.541814495692,0.519994931576,0.562620375063
ACTIVE_STICKY,discovery,RESISTANCE,SECOND,close_favorable_probability,0,2055,2055,0.563503649635,0.542080291971,0.585888077859
ACTIVE_STICKY,discovery,RESISTANCE,SECOND,cross_probability_10,10,1769,1769,0.256076879593,0.23629169022,0.279267947993
ACTIVE_STICKY,discovery,RESISTANCE,SECOND,time_to_cross_10,10,1830,1830,9.07540983607,8.91797814208,9.24651639344
ACTIVE_STICKY,discovery,RESISTANCE,SECOND,future_return_5,5,1914,1914,-0.0124665512642,-0.0161533625891,-0.00899723001929
ACTIVE_STICKY,discovery,RESISTANCE,SECOND,mae_10,10,1769,1769,-0.088283465524,-0.0910849664872,-0.0852198265628
ACTIVE_STICKY,discovery,RESISTANCE,SECOND,mfe_10,10,1769,1769,0.0771753267634,0.0721267795928,0.0816052168404
ACTIVE_STICKY,discovery,RESISTANCE,THIRD_PLUS,reaction_probability,3,2188,1177,0.468770481855,0.447878332726,0.491303404539
ACTIVE_STICKY,discovery,RESISTANCE,THIRD_PLUS,close_favorable_probability,0,2525,1286,0.48736762201,0.46400744279,0.509451695919
ACTIVE_STICKY,discovery,RESISTANCE,THIRD_PLUS,cross_probability_10,10,1572,957,0.307461312634,0.280508284819,0.337851234015
ACTIVE_STICKY,discovery,RESISTANCE,THIRD_PLUS,time_to_cross_10,10,1722,1015,8.28185080929,8.04842352803,8.47766654938
ACTIVE_STICKY,discovery,RESISTANCE,THIRD_PLUS,future_return_5,5,1977,1104,-0.00508695345557,-0.00953363212693,-0.000614762622055
ACTIVE_STICKY,discovery,RESISTANCE,THIRD_PLUS,mae_10,10,1572,957,-0.0743153905862,-0.0781621522054,-0.0705832278834
ACTIVE_STICKY,discovery,RESISTANCE,THIRD_PLUS,mfe_10,10,1572,957,0.0835091186842,0.0768144940849,0.0901109454231
ACTIVE_STICKY,discovery,SUPPORT,FIRST,reaction_probability,3,1669,1669,0.408627920911,0.385245656081,0.431995206711
ACTIVE_STICKY,discovery,SUPPORT,FIRST,close_favorable_probability,0,1675,1675,0.475820895522,0.451925373134,0.496134328358
ACTIVE_STICKY,discovery,SUPPORT,FIRST,cross_probability_10,10,1631,1631,0.377069282649,0.351931330472,0.39920294298
ACTIVE_STICKY,discovery,SUPPORT,FIRST,time_to_cross_10,10,1636,1636,7.90892420538,7.7059596577,8.11758863081
ACTIVE_STICKY,discovery,SUPPORT,FIRST,future_return_5,5,1658,1658,0.0150134797144,0.0105665022833,0.0200963615983
ACTIVE_STICKY,discovery,SUPPORT,FIRST,mae_10,10,1631,1631,-0.0780804600242,-0.0811933824212,-0.0751137996904
ACTIVE_STICKY,discovery,SUPPORT,FIRST,mfe_10,10,1631,1631,0.0951944217268,0.089654589624,0.100490511721
ACTIVE_STICKY,discovery,SUPPORT,SECOND,reaction_probability,3,1078,1078,0.473098330241,0.444318181818,0.501878478664
ACTIVE_STICKY,discovery,SUPPORT,SECOND,close_favorable_probability,0,1120,1120,0.561607142857,0.533035714286,0.5884375
ACTIVE_STICKY,discovery,SUPPORT,SECOND,cross_probability_10,10,948,948,0.289029535865,0.261577004219,0.315400843882
ACTIVE_STICKY,discovery,SUPPORT,SECOND,time_to_cross_10,10,969,969,9.17647058824,8.98235294118,9.37360681115
ACTIVE_STICKY,discovery,SUPPORT,SECOND,future_return_5,5,1056,1056,0.00556566512089,0.00141412370313,0.00993467801771
ACTIVE_STICKY,discovery,SUPPORT,SECOND,mae_10,10,948,948,-0.0699986679106,-0.0742686567119,-0.0656352214277
