side,source,model,split,metric,horizon,N,independent_event_count,effect,ci_low,ci_high,expected_direction
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,reaction_probability,3,3008,1671,0.450059844405,0.429232495512,0.469203820068,HIGHER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,close_favorable_probability,0,3078,1698,0.493718099725,0.472680359246,0.51248650373,HIGHER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,volume_response_ratio,3,3078,1698,2.00112752667,1.93912152429,2.07246480854,HIGHER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,turnover_response_ratio,3,3078,1698,1.99899494712,1.92499413029,2.0690671778,HIGHER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,range_response_ratio,3,3078,1698,1.46736842464,1.43507464205,1.50159440545,HIGHER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,future_return_1,1,3046,1686,0.00297177809074,0.00160834273199,0.00425546812646,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,mfe_1,1,3046,1686,0.0259741232627,0.0247346828738,0.0271473983419,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,mae_1,1,3046,1686,-0.0204943740734,-0.0214649568946,-0.0195098479779,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,cross_probability_1,1,3046,1686,0.0725385527877,0.0630871886121,0.082400899565,LOWER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,time_to_cross_1,1,3046,1686,1.92746144721,1.91776196125,1.93760429023,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,sessions_beyond_1,1,3046,1686,0.110893633847,0.0992558817715,0.12264729142,LOWER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,future_return_3,3,3008,1671,0.00578802186634,0.00332386956432,0.00861844049613,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,mfe_3,3,3008,1671,0.0490665794749,0.0467753905163,0.0516663591522,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,mae_3,3,3008,1671,-0.0360283909426,-0.0375188528993,-0.0347298696171,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,cross_probability_3,3,3008,1671,0.142629164173,0.128780670257,0.156115848793,LOWER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,time_to_cross_3,3,3014,1672,3.66988636364,3.63652163078,3.70491552033,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,sessions_beyond_3,3,3008,1671,0.407949331737,0.372205016956,0.44517454618,LOWER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,future_return_5,5,2972,1661,-0.00429098438258,-0.00763730265983,-0.000807435454295,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,mfe_5,5,2972,1661,0.0619010559966,0.0584857229966,0.0653964748125,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,mae_5,5,2972,1661,-0.0492660175347,-0.0509595526262,-0.0473663685403,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,cross_probability_5,5,2972,1661,0.182079068834,0.167696166968,0.19670931166,LOWER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,time_to_cross_5,5,2984,1662,5.31491175291,5.25643677296,5.38120562575,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,sessions_beyond_5,5,2972,1661,0.703562111178,0.645678306241,0.759047260686,LOWER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,future_return_10,10,2859,1618,-0.0287569069983,-0.0332180517778,-0.0244153229668,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,mfe_10,10,2859,1618,0.0796291720125,0.0749917301628,0.0841781973225,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,mae_10,10,2859,1618,-0.0805553608801,-0.0831995488907,-0.0777214282881,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,cross_probability_10,10,2859,1618,0.233601153688,0.217210805521,0.252190718995,LOWER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,time_to_cross_10,10,2901,1631,9.16703453914,9.02574468629,9.3012987942,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,sessions_beyond_10,10,2859,1618,1.36791306139,1.25504815616,1.48541486403,LOWER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,future_return_20,20,2518,1490,-0.0387579991671,-0.0450737889451,-0.0321394316865,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,mfe_20,20,2518,1490,0.104297707554,0.0977353193157,0.111089590039,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,mae_20,20,2518,1490,-0.124983605874,-0.129026960062,-0.121355964966,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,cross_probability_20,20,2518,1490,0.31029082774,0.290639541387,0.331190995526,LOWER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,time_to_cross_20,20,2664,1532,15.9340839861,15.5895909487,16.2486178198,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,sessions_beyond_20,20,2518,1490,2.78054809843,2.53084200224,3.02579110738,LOWER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,future_return_40,40,0,0,,,,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,mfe_40,40,0,0,,,,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,mae_40,40,0,0,,,,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,cross_probability_40,40,0,0,,,,LOWER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,time_to_cross_40,40,1339,776,9.62815721649,9.06737542955,10.3541865335,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,discovery,sessions_beyond_40,40,0,0,,,,LOWER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,holdout,reaction_probability,3,2018,1235,0.445681511471,0.420349865047,0.473099190283,HIGHER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,holdout,close_favorable_probability,0,2062,1248,0.50578258547,0.482355101496,0.526331129808,HIGHER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,holdout,volume_response_ratio,3,2062,1248,2.08869371524,1.99664647518,2.17308627341,HIGHER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,holdout,turnover_response_ratio,3,2062,1248,2.08757729495,1.99693555383,2.16647763532,HIGHER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,holdout,range_response_ratio,3,2062,1248,1.44489750493,1.41407668084,1.47972734365,HIGHER_IS_SUPPORTIVE
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,holdout,future_return_1,1,2050,1245,0.00145245879706,-0.000141455742843,0.00298694273885,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,holdout,mfe_1,1,2050,1245,0.0222145884556,0.0207795054041,0.0238200153721,CONTEXT_DEPENDENT
RESISTANCE,REAL_CHIP,ACTIVE_STICKY,holdout,mae_1,1,2050,1245,-0.0200616435284,-0.0211401449388,-0.018821206469,CONTEXT_DEPENDENT
